Team 1,Team 2,Team 1 Win %,Team 2 Win %,Team 1 At Home,Team 1 Won
Cleveland Cavaliers,New Orleans Pelicans,0.540650406504065,0.47154471544715443,0,0
Oklahoma City Thunder,Chicago Bulls,0.524390243902439,0.3,0,1
Houston Rockets,Memphis Grizzlies,0.6997677119628339,0.7303523035230354,0,0
Boston Celtics,Miami Heat,0.6598915989159891,0.43333333333333335,0,1
Dallas Mavericks,Philadelphia 76ers,0.22938443670150988,0.33604336043360433,1,0
Los Angeles Lakers,Utah Jazz,0.3279132791327913,0.540650406504065,0,0
Phoenix Suns,Portland Trail Blazers,0.3197831978319783,0.611111111111111,0,0
Los Angeles Clippers,Detroit Pistons,0.7406504065040651,0.5948509485094851,1,0
Atlanta Hawks,Milwaukee Bucks,0.2700348432055749,0.6151761517615176,1,0
San Antonio Spurs,Indiana Pacers,0.6924119241192411,0.5040650406504065,0,0
Denver Nuggets,Brooklyn Nets,0.4959349593495935,0.3670150987224157,0,1
Charlotte Hornets,Orlando Magic,0.4796747967479675,0.5623306233062331,1,1
Washington Wizards,Sacramento Kings,0.643631436314363,0.24119241192411925,0,1
Cleveland Cavaliers,New York Knicks,0.4930313588850174,0.39268292682926836,1,0
Detroit Pistons,Golden State Warriors,0.6265969802555168,0.6533101045296167,0,1
San Antonio Spurs,Boston Celtics,0.6289198606271776,0.6916376306620209,0,0
Minnesota Timberwolves,Miami Heat,0.5069686411149825,0.38888888888888884,0,1
New York Knicks,Denver Nuggets,0.4593495934959349,0.4483159117305459,1,1
Houston Rockets,Philadelphia 76ers,0.6402439024390244,0.3995354239256678,1,0
Charlotte Hornets,Memphis Grizzlies,0.5272938443670151,0.6509872241579558,0,1
New Orleans Pelicans,Orlando Magic,0.42392566782810687,0.5940766550522648,1,0
Utah Jazz,Dallas Mavericks,0.5882694541231127,0.21747967479674798,1,1
Toronto Raptors,Portland Trail Blazers,0.6517615176151761,0.5476190476190476,0,1
Los Angeles Clippers,Golden State Warriors,0.6517615176151761,0.6890243902439024,1,0
Sacramento Kings,Indiana Pacers,0.22531939605110338,0.5516840882694541,0,0
Phoenix Suns,Brooklyn Nets,0.38327526132404177,0.3313008130081301,0,1
Milwaukee Bucks,Oklahoma City Thunder,0.5516840882694541,0.5720092915214866,1,0
Los Angeles Lakers,Detroit Pistons,0.39140534262485477,0.5670731707317073,1,1
Charlotte Hornets,Milwaukee Bucks,0.5630081300813008,0.5040650406504065,1,1
Indiana Pacers,Cleveland Cavaliers,0.5873983739837398,0.4573170731707317,0,1
Atlanta Hawks,Philadelphia 76ers,0.258130081300813,0.4471544715447155,0,0
Phoenix Suns,Washington Wizards,0.43089430894308944,0.5801393728222997,0,1
Sacramento Kings,Boston Celtics,0.21341463414634146,0.7154471544715447,0,0
Miami Heat,Chicago Bulls,0.4523809523809524,0.27777777777777773,1,1
Memphis Grizzlies,Orlando Magic,0.5914634146341463,0.6178861788617885,1,0
Minnesota Timberwolves,New Orleans Pelicans,0.5426829268292682,0.3882113821138211,0,1
Houston Rockets,New York Knicks,0.6680216802168021,0.41173054587688734,0,1
Denver Nuggets,Toronto Raptors,0.4959349593495935,0.5882694541231127,1,1
Portland Trail Blazers,Utah Jazz,0.5,0.6239837398373984,0,0
Los Angeles Clippers,Dallas Mavericks,0.6835075493612078,0.2082204155374887,1,1
San Antonio Spurs,Golden State Warriors,0.5813008130081301,0.7168021680216802,1,0
Los Angeles Lakers,Portland Trail Blazers,0.3556910569105691,0.5370370370370371,0,0
Detroit Pistons,Milwaukee Bucks,0.5948509485094851,0.46702800361336944,1,1
Chicago Bulls,Orlando Magic,0.35714285714285715,0.5623306233062331,0,1
Indiana Pacers,Philadelphia 76ers,0.5411020776874436,0.4841915085817525,0,0
Washington Wizards,Cleveland Cavaliers,0.5325203252032521,0.5036133694670281,1,0
Atlanta Hawks,Houston Rockets,0.24887082204155375,0.6902439024390244,1,0
New York Knicks,Phoenix Suns,0.4593495934959349,0.3938572719060524,1,1
Dallas Mavericks,New Orleans Pelicans,0.20081300813008132,0.4345076784101174,1,0
San Antonio Spurs,Charlotte Hornets,0.6183378500451672,0.5167118337850045,1,1
Miami Heat,Denver Nuggets,0.4166666666666667,0.5329719963866305,0,0
Utah Jazz,Toronto Raptors,0.5776874435411021,0.6239837398373984,1,0
Oklahoma City Thunder,Boston Celtics,0.524390243902439,0.7339656729900632,1,0
Brooklyn Nets,Los Angeles Lakers,0.3035230352303523,0.4019873532068654,0,0
Memphis Grizzlies,Los Angeles Clippers,0.6192411924119241,0.6239837398373984,0,1
Detroit Pistons,Sacramento Kings,0.6170731707317073,0.2041553748870822,1,1
Chicago Bulls,New Orleans Pelicans,0.3333333333333333,0.47154471544715443,1,0
Dallas Mavericks,Minnesota Timberwolves,0.19475240206947522,0.5704607046070461,0,0
Golden State Warriors,Denver Nuggets,0.7390243902439023,0.4959349593495935,0,1
Atlanta Hawks,Cleveland Cavaliers,0.30813008130081304,0.47398373983739833,0,1
Miami Heat,Los Angeles Clippers,0.46296296296296297,0.5776874435411021,0,1
Orlando Magic,Boston Celtics,0.5178861788617887,0.7487804878048782,1,0
Toronto Raptors,Washington Wizards,0.5776874435411021,0.5695573622402891,1,0
