Home Win %,Visitor Win %,Home Won
0.579,0.334,1
0.48,0.526,0
0.571,0.312,1
0.558,0.442,1
0.313,0.587,0
0.421,0.457,1
0.636,0.32,1
0.551,0.541,0
0.219,0.437,0
0.5,0.467,1
0.561,0.617,0
0.348,0.625,1
0.584,0.689,1
0.46,0.304,1
0.329,0.763,0
0.557,0.306,1
0.445,0.592,0
0.463,0.548,1
0.511,0.214,1
0.465,0.472,0
0.439,0.513,1
0.567,0.569,1
0.483,0.662,1
0.567,0.543,1
0.563,0.646,0
0.314,0.699,0
0.295,0.352,0
0.339,0.477,0
0.741,0.626,0
0.459,0.542,1
0.458,0.671,0
0.56,0.3,1
0.428,0.451,0
0.498,0.528,1
0.209,0.478,0
0.527,0.554,1
0.346,0.708,0
0.438,0.635,0
0.308,0.493,0
0.286,0.655,0
0.581,0.652,1
0.634,0.544,1
0.473,0.452,1
0.472,0.482,1
0.746,0.55,1
0.522,0.541,1
0.604,0.331,1
0.54,0.204,1
0.541,0.529,1
0.466,0.616,1
0.527,0.558,0
0.426,0.571,0
0.304,0.726,1
0.341,0.491,0
0.321,0.636,1
0.459,0.591,0
0.556,0.506,1
0.2,0.444,0
0.615,0.717,0
0.495,0.517,1
0.581,0.477,1
0.329,0.598,1
0.361,0.481,1
0.324,0.319,0
0.315,0.615,0
0.575,0.516,0
0.551,0.459,1
0.634,0.46,0
0.512,0.472,0
0.707,0.624,0
0.569,0.528,1
0.316,0.48,0
0.59,0.471,1
0.566,0.497,1
0.626,0.46,1
0.31,0.489,0
0.632,0.355,1
0.644,0.517,1
0.507,0.414,1
0.607,0.559,1
0.196,0.643,0
0.725,0.447,1
0.525,0.449,1
0.531,0.537,1
0.581,0.193,1
0.627,0.713,0
0.492,0.484,1
0.374,0.31,1
0.599,0.615,1
0.551,0.334,0
0.461,0.635,0
0.57,0.524,1
0.472,0.627,1
0.519,0.323,1
0.529,0.438,1
0.5,0.436,1
0.709,0.718,0
0.545,0.51,1
0.593,0.612,1
0.427,0.305,1
0.213,0.505,1
0.644,0.318,1
0.48,0.326,0
0.348,0.452,1
0.368,0.623,0
0.536,0.608,0
0.556,0.452,0
0.615,0.611,1
0.534,0.702,1
0.487,0.717,0
0.44,0.518,1
0.468,0.519,0
0.496,0.629,1
0.543,0.557,0
0.581,0.322,0
0.62,0.598,1
0.231,0.425,1
0.361,0.313,1
0.363,0.544,0
0.615,0.32,1
0.466,0.506,1
0.491,0.498,0
0.461,0.466,0
0.622,0.686,1
0.484,0.631,0
0.314,0.248,0
0.568,0.508,1
0.437,0.486,1
0.628,0.317,1
0.592,0.53,1
0.724,0.53,1
0.585,0.544,0
0.601,0.379,0
0.33,0.457,1
0.373,0.493,1
0.629,0.479,1
0.48,0.374,1
0.429,0.602,0
0.538,0.308,1
