game,date,age,playerTeam,homeGame,opponent,result,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gameScoreStat
1,2012-10-30,27-305,MIA,True,BOS,W (+13),1,10,16,.625,2,4,.500,4,5,.800,1,9,10,3,2,0,0,2,26,25.1
2,2012-11-02,27-308,MIA,False,NYK,L (-20),1,8,16,.500,2,3,.667,5,6,.833,0,7,7,5,0,3,5,2,23,16.5
3,2012-11-03,27-309,MIA,True,DEN,W (+3),1,8,17,.471,0,1,.000,4,4,1.000,1,8,9,11,0,2,0,2,20,22.7
4,2012-11-05,27-311,MIA,True,PHO,W (+25),1,10,17,.588,2,3,.667,1,3,.333,3,8,11,1,0,0,3,2,23,15.7
5,2012-11-07,27-313,MIA,True,BRK,W (+30),1,7,12,.583,2,3,.667,4,4,1.000,4,8,12,8,1,0,2,1,20,23.8
6,2012-11-09,27-315,MIA,False,ATL,W (+6),1,10,17,.588,0,2,.000,1,3,.333,2,9,11,9,1,0,2,2,21,20.9
7,2012-11-11,27-317,MIA,False,MEM,L (-18),1,10,19,.526,0,1,.000,0,4,.000,3,7,10,6,2,1,2,2,20,17.4
8,2012-11-12,27-318,MIA,False,HOU,W (+3),1,14,26,.538,5,8,.625,5,8,.625,1,9,10,6,0,0,0,1,38,31.4
9,2012-11-14,27-320,MIA,False,LAC,L (-7),1,12,23,.522,0,3,.000,6,9,.667,0,5,5,7,1,2,4,3,30,21.1
10,2012-11-15,27-321,MIA,False,DEN,W (+5),1,11,23,.478,0,1,.000,5,6,.833,1,6,7,12,1,3,4,0,27,24.9
11,2012-11-17,27-323,MIA,False,PHO,W (+9),1,8,20,.400,1,3,.333,4,7,.571,0,7,7,3,2,0,1,1,21,13.8
12,2012-11-21,27-327,MIA,True,MIL,W (+7),1,11,21,.524,2,4,.500,4,8,.500,2,8,10,8,1,1,1,3,28,25.0
13,2012-11-24,27-330,MIA,True,CLE,W (+2),1,10,16,.625,2,5,.400,8,9,.889,1,5,6,5,0,1,7,3,30,20.6
14,2012-11-29,27-335,MIA,True,SAS,W (+5),1,9,16,.563,2,5,.400,3,6,.500,3,6,9,7,4,0,4,2,23,22.2
15,2012-12-01,27-337,MIA,True,BRK,W (+13),1,8,15,.533,1,2,.500,4,6,.667,1,8,9,6,1,0,2,3,21,18.0
16,2012-12-04,27-340,MIA,False,WAS,L (-4),1,12,24,.500,1,4,.250,1,3,.333,2,11,13,11,3,2,3,1,26,26.6
17,2012-12-06,27-342,MIA,True,NYK,L (-20),1,11,20,.550,3,5,.600,6,9,.667,2,8,10,9,3,0,2,0,31,31.3
18,2012-12-08,27-344,MIA,True,NOH,W (+16),1,11,16,.688,0,0,,2,3,.667,1,4,5,7,2,0,4,2,24,20.8
19,2012-12-10,27-346,MIA,True,ATL,W (+9),1,10,16,.625,1,2,.500,6,7,.857,1,6,7,6,2,0,3,0,27,25.1
20,2012-12-12,27-348,MIA,True,GSW,L (-2),1,12,23,.522,2,4,.500,5,5,1.000,1,2,3,5,1,0,4,0,31,21.5
21,2012-12-15,27-351,MIA,True,WAS,W (+30),1,8,15,.533,0,3,.000,7,11,.636,0,10,10,5,1,0,2,0,23,19.6
22,2012-12-18,27-354,MIA,True,MIN,W (+11),1,8,18,.444,2,5,.400,4,5,.800,0,6,6,11,1,4,0,0,22,25.5
23,2012-12-20,27-356,MIA,False,DAL,W (+15),1,9,13,.692,3,5,.600,3,4,.750,0,9,9,5,1,1,5,0,24,21.0
24,2012-12-22,27-358,MIA,True,UTA,W (+16),1,11,20,.550,1,1,1.000,7,10,.700,1,8,9,7,0,0,4,0,30,23.2
25,2012-12-25,27-361,MIA,True,OKC,W (+6),1,12,20,.600,0,3,.000,5,5,1.000,3,5,8,9,2,1,3,3,29,28.2
26,2012-12-26,27-362,MIA,False,CHA,W (+13),1,9,19,.474,2,4,.500,7,8,.875,2,10,12,8,4,2,3,1,27,28.9
27,2012-12-28,27-364,MIA,False,DET,L (-10),1,15,22,.682,2,4,.500,3,4,.750,1,5,6,5,6,1,3,1,35,34.2
28,2012-12-29,27-365,MIA,False,MIL,L (-19),1,11,20,.550,1,2,.500,3,5,.600,1,5,6,7,2,1,6,2,26,18.6
29,2012-12-31,28-001,MIA,False,ORL,W (+2),1,10,22,.455,1,6,.167,15,16,.938,1,7,8,11,1,0,3,2,36,31.9
30,2013-01-02,28-003,MIA,True,DAL,W (+10),1,11,20,.550,1,3,.333,9,11,.818,1,11,12,9,3,1,4,0,32,31.6
