game,date,age,playerTeam,homeGame,opponent,result,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gameScoreStat
1,2010-10-26,25-300,MIA,False,BOS,L (-8),1,10,21,.476,3,6,.500,8,12,.667,0,4,4,3,1,2,8,1,31,16.0
2,2010-10-27,25-301,MIA,False,PHI,W (+10),1,5,12,.417,0,2,.000,6,6,1.000,0,6,6,7,2,1,9,1,16,9.6
3,2010-10-29,25-303,MIA,True,ORL,W (+26),1,6,13,.462,2,3,.667,1,2,.500,0,6,6,7,0,0,3,4,15,10.0
4,2010-10-31,25-305,MIA,False,NJN,W (+23),1,5,12,.417,0,4,.000,10,12,.833,0,7,7,7,2,0,5,3,20,15.6
5,2010-11-02,25-307,MIA,True,MIN,W (+32),1,7,12,.583,0,2,.000,6,8,.750,0,0,0,12,2,1,1,0,20,23.7
6,2010-11-05,25-310,MIA,False,NOH,L (-3),1,6,16,.375,1,2,.500,7,8,.875,0,7,7,10,3,1,3,0,20,20.6
7,2010-11-06,25-311,MIA,True,NJN,W (+12),1,9,16,.563,2,4,.500,3,5,.600,0,3,3,9,2,0,4,1,23,19.4
8,2010-11-09,25-314,MIA,True,UTA,L (-2),1,5,18,.278,0,1,.000,10,11,.909,2,9,11,14,1,3,2,3,20,22.8
9,2010-11-11,25-316,MIA,True,BOS,L (-5),1,9,21,.429,0,5,.000,17,22,.773,0,10,10,9,3,0,4,3,35,29.0
10,2010-11-13,25-318,MIA,True,TOR,W (+9),1,8,21,.381,0,1,.000,7,11,.636,1,1,2,11,2,0,3,0,23,17.6
11,2010-11-17,25-322,MIA,True,PHO,W (+27),1,9,15,.600,0,2,.000,2,3,.667,3,5,8,9,3,0,3,5,20,20.6
12,2010-11-19,25-324,MIA,True,CHA,W (+8),1,12,25,.480,2,5,.400,6,7,.857,0,2,2,5,2,0,4,1,32,20.6
13,2010-11-20,25-325,MIA,False,MEM,L (-2),1,11,23,.478,2,4,.500,5,6,.833,0,3,3,11,1,0,4,2,29,21.7
14,2010-11-22,25-327,MIA,True,IND,L (-16),1,6,14,.429,2,8,.250,11,15,.733,0,5,5,6,1,0,6,3,25,15.5
15,2010-11-24,25-329,MIA,False,ORL,L (-9),1,9,18,.500,1,3,.333,6,8,.750,1,5,6,4,1,0,3,3,25,17.0
16,2010-11-26,25-331,MIA,True,PHI,W (+9),1,5,15,.333,1,5,.200,9,11,.818,1,7,8,6,2,1,2,1,20,18.0
17,2010-11-27,25-332,MIA,False,DAL,L (-11),1,5,19,.263,0,4,.000,13,15,.867,2,6,8,4,1,0,5,3,23,11.7
18,2010-11-29,25-334,MIA,True,WAS,W (+11),1,10,18,.556,1,1,1.000,9,11,.818,1,5,6,5,1,1,7,3,30,19.8
19,2010-12-01,25-336,MIA,True,DET,W (+25),1,8,15,.533,1,1,1.000,1,2,.500,2,4,6,3,1,0,4,0,18,12.0
20,2010-12-02,25-337,MIA,False,CLE,W (+28),1,15,25,.600,2,7,.286,6,9,.667,0,5,5,8,1,1,0,1,38,33.7
21,2010-12-04,25-339,MIA,True,ATL,W (+12),1,5,11,.455,1,1,1.000,11,13,.846,0,7,7,4,1,1,2,1,22,19.7
22,2010-12-06,25-341,MIA,False,MIL,W (+10),1,7,16,.438,1,3,.333,2,4,.500,0,6,6,6,1,1,1,5,17,12.5
23,2010-12-08,25-343,MIA,False,UTA,W (+13),1,12,20,.600,3,5,.600,6,7,.857,1,6,7,9,0,0,2,4,33,28.6
24,2010-12-10,25-345,MIA,False,GSW,W (+22),1,10,18,.556,3,4,.750,2,3,.667,0,7,7,9,1,1,4,1,25,21.7
25,2010-12-11,25-346,MIA,False,SAC,W (+21),1,10,19,.526,2,3,.667,3,5,.600,1,9,10,3,2,0,3,1,25,19.0
26,2010-12-13,25-348,MIA,True,NOH,W (+12),1,6,16,.375,0,3,.000,8,10,.800,1,3,4,7,0,0,5,2,20,11.1
27,2010-12-15,25-350,MIA,True,CLE,W (+6),1,5,15,.333,0,4,.000,11,18,.611,2,11,13,5,1,0,4,1,21,14.5
28,2010-12-17,25-352,MIA,False,NYK,W (+22),1,14,23,.609,3,6,.500,1,3,.333,1,10,11,10,1,0,5,1,32,27.0
29,2010-12-18,25-353,MIA,False,WAS,W (+1),1,9,19,.474,3,7,.429,11,12,.917,1,6,7,6,1,0,4,3,32,24.4
30,2010-12-20,25-355,MIA,True,DAL,L (-2),1,6,17,.353,2,4,.500,5,7,.714,3,7,10,7,0,0,5,4,19,11.2
31,2010-12-23,25-358,MIA,False,PHO,W (+12),1,13,22,.591,2,5,.400,8,8,1.000,1,5,6,4,3,0,5,5,36,26.8
