game,date,age,playerTeam,homeGame,opponent,result,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gameScoreStat
1,2003-10-29,18-303,CLE,False,SAC,L (-14),1,12,20,.600,0,2,.000,1,3,.333,2,4,6,9,4,0,2,3,25,24.7
2,2003-10-30,18-304,CLE,False,PHO,L (-9),1,8,17,.471,1,5,.200,4,7,.571,2,10,12,8,1,0,7,1,21,14.7
3,2003-11-01,18-306,CLE,False,POR,L (-19),1,3,12,.250,0,1,.000,2,2,1.000,0,4,4,6,2,0,2,3,8,5.0
4,2003-11-05,18-310,CLE,True,DEN,L (-4),1,3,11,.273,0,2,.000,1,1,1.000,2,9,11,7,2,3,2,1,7,11.2
5,2003-11-07,18-312,CLE,False,IND,L (-1),1,8,18,.444,1,2,.500,6,7,.857,0,5,5,3,0,0,7,2,23,9.0
6,2003-11-08,18-313,CLE,True,WAS,W (+13),1,8,19,.421,0,0,,1,4,.250,5,3,8,9,1,1,2,1,17,15.7
7,2003-11-10,18-315,CLE,True,NYK,W (+14),1,7,12,.583,3,3,1.000,0,0,,1,4,5,4,1,1,2,0,17,15.8
8,2003-11-12,18-317,CLE,False,MIA,L (-5),1,6,15,.400,2,5,.400,4,6,.667,1,2,3,7,2,1,4,3,18,12.8
9,2003-11-14,18-319,CLE,False,BOS,L (-9),1,3,12,.250,2,4,.500,2,4,.500,1,4,5,3,0,0,4,3,10,0.8
10,2003-11-15,18-320,CLE,True,PHI,W (+3),1,10,19,.526,0,1,.000,2,4,.500,0,5,5,8,1,2,5,2,22,15.6
11,2003-11-18,18-323,CLE,True,LAC,W (+8),1,6,16,.375,0,2,.000,2,4,.500,2,5,7,8,0,1,3,2,14,9.8
12,2003-11-19,18-324,CLE,False,WAS,L (-11),1,10,18,.556,2,4,.500,6,8,.750,2,5,7,8,2,1,4,2,28,25.0
13,2003-11-21,18-326,CLE,True,MIN,L (-14),1,8,19,.421,0,2,.000,3,3,1.000,2,7,9,2,1,0,1,4,19,12.2
14,2003-11-22,18-327,CLE,False,ATL,L (-9),1,3,16,.188,0,1,.000,9,10,.900,2,4,6,4,2,1,3,1,15,9.3
15,2003-11-26,18-331,CLE,False,NOH,L (-10),1,5,17,.294,1,4,.250,4,4,1.000,2,6,8,9,0,0,4,1,15,10.2
16,2003-11-28,18-333,CLE,False,DET,L (-4),1,2,8,.250,0,2,.000,2,3,.667,0,2,2,7,0,0,4,3,6,1.1
17,2003-11-29,18-334,CLE,True,MEM,L (-7),1,14,28,.500,3,6,.500,2,3,.667,2,14,16,7,1,1,8,1,33,22.4
18,2003-12-02,18-337,CLE,False,DEN,L (-12),1,6,19,.316,2,3,.667,5,7,.714,3,3,6,5,2,0,2,4,19,12.2
19,2003-12-03,18-338,CLE,False,LAC,L (-10),1,2,13,.154,0,3,.000,0,0,,4,2,6,8,2,0,5,2,4,0.9
20,2003-12-06,18-341,CLE,True,ATL,W (+10),1,4,12,.333,0,2,.000,0,0,,1,5,6,5,2,1,3,2,8,5.8
21,2003-12-09,18-344,CLE,True,TOR,L (-7),1,7,16,.438,0,0,,4,4,1.000,0,5,5,3,1,0,2,2,18,11.4
22,2003-12-11,18-346,CLE,True,DET,W (+9),1,8,21,.381,1,3,.333,6,8,.750,1,2,3,9,1,1,4,3,23,14.8
23,2003-12-13,18-348,CLE,True,BOS,L (-7),1,10,20,.500,1,5,.200,16,18,.889,1,2,3,4,0,0,2,2,37,27.5
24,2003-12-15,18-350,CLE,False,IND,L (-10),1,10,16,.625,0,3,.000,7,8,.875,1,3,4,6,3,3,6,1,27,23.9
25,2003-12-17,18-352,CLE,True,HOU,L (-4),1,7,19,.368,2,4,.500,1,2,.500,0,1,1,3,0,0,2,2,17,5.7
26,2003-12-19,18-354,CLE,False,PHI,W (+7),1,14,24,.583,5,7,.714,3,3,1.000,1,3,4,5,4,0,4,1,36,29.5
27,2003-12-20,18-355,CLE,False,CHI,W (+8),1,11,22,.500,0,5,.000,10,12,.833,1,5,6,10,2,2,4,2,32,28.0
28,2003-12-23,18-358,CLE,True,NOH,W (+11),1,7,22,.318,1,6,.167,7,8,.875,2,4,6,2,6,1,5,1,22,14.3
29,2003-12-25,18-360,CLE,False,ORL,L (-12),1,13,28,.464,4,10,.400,4,5,.800,1,1,2,6,2,1,8,0,34,19.1
30,2003-12-26,18-361,CLE,True,CHI,L (-7),1,7,24,.292,1,4,.250,3,4,.750,1,2,3,4,1,2,5,0,18,5.1
31,2003-12-28,18-363,CLE,True,POR,W (+12),1,15,23,.652,0,2,.000,2,2,1.000,3,7,10,9,3,0,5,1,32,30.0
32,2003-12-30,19-000,CLE,True,IND,L (-3),1,9,20,.450,0,4,.000,4,6,.667,2,8,10,4,0,0,4,2,22,12.6
33,2004-01-02,19-003,CLE,False,NJN,L (-15),1,6,19,.316,0,4,.000,2,4,.500,1,3,4,9,1,0,3,2,14,7.4
34,2004-01-06,19-007,CLE,True,NYK,W (+11),1,6,17,.353,0,2,.000,2,2,1.000,0,4,4,10,1,1,4,1,14,10.0
35,2004-01-07,19-008,CLE,False,TOR,L (-6),1,10,23,.435,0,3,.000,1,2,.500,0,2,2,5,0,0,2,3,21,9.4
36,2004-01-09,19-010,CLE,False,BOS,L (-25),1,7,19,.368,0,3,.000,5,7,.714,0,3,3,6,3,0,5,1,19,10.4
37,2004-01-12,19-013,CLE,False,LAL,L (-10),1,6,20,.300,0,3,.000,4,5,.800,1,4,5,7,1,1,6,3,16,5.3
38,2004-01-13,19-014,CLE,False,SEA,W (+8),1,11,26,.423,0,1,.000,5,6,.833,4,5,9,9,2,0,4,2,27,20.6
39,2004-01-15,19-016,CLE,False,GSW,L (-17),1,8,21,.381,2,5,.400,11,13,.846,2,4,6,6,3,0,2,0,29,24.5
40,2004-01-17,19-018,CLE,False,UTA,W (+6),1,12,28,.429,2,4,.500,3,5,.600,1,6,7,2,2,1,4,2,29,15.2
,2004-01-20,19-021,CLE,True,SEA,W (+5),,,,,,,,,,,,,,,,,,,,
