game,date,age,playerTeam,homeGame,opponent,result,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gameScoreStat
1,2014-10-30,29-304,CLE,True,NYK,L (-5),1,5,15,.333,1,5,.200,6,7,.857,0,5,5,4,0,0,8,3,17,3.2
2,2014-10-31,29-305,CLE,False,CHI,W (+6),1,14,30,.467,1,3,.333,7,9,.778,1,7,8,5,4,1,3,1,36,27.4
3,2014-11-04,29-309,CLE,False,POR,L (-19),1,4,12,.333,2,4,.500,1,1,1.000,1,6,7,7,1,0,3,2,11,8.8
4,2014-11-05,29-310,CLE,False,UTA,L (-2),1,8,18,.444,3,5,.600,12,12,1.000,0,3,3,4,3,0,4,2,31,23.5
5,2014-11-07,29-312,CLE,False,DEN,W (+9),1,8,18,.444,1,5,.200,5,6,.833,0,7,7,11,1,1,3,1,22,20.3
6,2014-11-10,29-315,CLE,True,NOP,W (+7),1,9,17,.529,1,3,.333,13,17,.765,2,9,11,9,1,1,4,1,32,29.8
7,2014-11-14,29-319,CLE,False,BOS,W (+1),1,16,27,.593,3,8,.375,6,9,.667,0,4,4,7,0,1,3,4,41,29.5
8,2014-11-15,29-320,CLE,True,ATL,W (+33),1,13,20,.650,4,5,.800,2,4,.500,2,4,6,7,0,1,3,1,32,27.2
9,2014-11-17,29-322,CLE,True,DEN,L (-9),1,8,18,.444,1,4,.250,5,7,.714,0,9,9,5,0,2,4,2,22,14.6
10,2014-11-19,29-324,CLE,True,SAS,L (-2),1,6,17,.353,2,3,.667,1,1,1.000,3,3,6,9,1,1,5,3,15,10.3
11,2014-11-21,29-326,CLE,False,WAS,L (-13),1,8,21,.381,2,7,.286,4,7,.571,3,1,4,4,1,1,3,0,22,13.2
12,2014-11-22,29-327,CLE,True,TOR,L (-17),1,6,12,.500,1,4,.250,2,3,.667,0,1,1,10,1,1,5,2,15,11.8
13,2014-11-24,29-329,CLE,True,ORL,W (+32),1,9,17,.529,2,4,.500,9,11,.818,1,3,4,11,3,0,1,0,29,31.2
14,2014-11-26,29-331,CLE,True,WAS,W (+26),1,7,14,.500,1,5,.200,14,17,.824,1,9,10,8,3,0,4,3,29,27.6
15,2014-11-29,29-334,CLE,True,IND,W (+12),1,9,18,.500,0,1,.000,1,2,.500,0,2,2,7,1,0,3,1,19,12.7
16,2014-12-02,29-337,CLE,True,MIL,W (+3),1,6,15,.400,0,4,.000,14,21,.667,1,4,5,10,0,0,7,1,26,16.6
17,2014-12-04,29-339,CLE,False,NYK,W (+3),1,7,17,.412,1,6,.167,4,7,.571,1,4,5,12,2,0,4,2,19,16.2
18,2014-12-05,29-340,CLE,False,TOR,W (+14),1,9,18,.500,2,4,.500,4,6,.667,0,7,7,13,3,1,4,2,24,24.3
19,2014-12-08,29-343,CLE,False,BRK,W (+22),1,8,17,.471,1,3,.333,1,2,.500,0,4,4,7,3,0,3,2,18,14.2
20,2014-12-09,29-344,CLE,True,TOR,W (+4),1,12,21,.571,2,5,.400,9,9,1.000,1,1,2,4,2,2,2,1,35,29.9
,2014-12-11,29-346,CLE,False,OKC,L (-9),,,,,,,,,,,,,,,,,,,,
21,2014-12-12,29-347,CLE,False,NOP,L (-5),1,17,24,.708,2,2,1.000,5,8,.625,0,5,5,5,0,1,2,1,41,33.1
22,2014-12-15,29-350,CLE,True,CHO,W (+9),1,11,19,.579,2,3,.667,3,4,.750,0,7,7,14,1,3,5,2,27,26.9
23,2014-12-17,29-352,CLE,True,ATL,L (-29),1,8,16,.500,0,2,.000,5,7,.714,0,3,3,2,2,0,2,0,21,14.5
24,2014-12-19,29-354,CLE,True,BRK,W (+4),1,7,18,.389,2,4,.500,6,8,.750,1,3,4,9,2,0,4,4,22,15.7
25,2014-12-21,29-356,CLE,True,MEM,W (+14),1,9,15,.600,3,5,.600,4,6,.667,0,1,1,11,0,1,5,1,25,20.6
26,2014-12-23,29-358,CLE,True,MIN,W (+21),1,8,16,.500,4,7,.571,4,5,.800,0,4,4,3,1,3,2,3,24,18.8
27,2014-12-25,29-360,CLE,False,MIA,L (-10),1,9,16,.563,2,8,.250,10,18,.556,0,4,4,8,0,0,4,1,30,21.6
28,2014-12-26,29-361,CLE,False,ORL,W (+9),1,10,20,.500,0,5,.000,9,11,.818,0,5,5,8,2,2,4,1,29,24.3
29,2014-12-28,29-363,CLE,True,DET,L (-23),1,5,19,.263,2,6,.333,5,5,1.000,1,9,10,7,1,0,7,3,17,6.8
,2014-12-30,30-000,CLE,False,ATL,L (-8),,,,,,,,,,,,,,,,,,,,
,2014-12-31,30-001,CLE,True,MIL,L (-16),,,,,,,,,,,,,,,,,,,,
,2015-01-02,30-003,CLE,False,CHO,W (+4),,,,,,,,,,,,,,,,,,,,
,2015-01-04,30-005,CLE,True,DAL,L (-19),,,,,,,,,,,,,,,,,,,,
,2015-01-05,30-006,CLE,False,PHI,L (-3),,,,,,,,,,,,,,,,,,,,
,2015-01-07,30-008,CLE,True,HOU,L (-12),,,,,,,,,,,,,,,,,,,,
,2015-01-09,30-010,CLE,False,GSW,L (-18),,,,,,,,,,,,,,,,,,,,
,2015-01-11,30-012,CLE,False,SAC,L (-19),,,,,,,,,,,,,,,,,,,,
30,2015-01-13,30-014,CLE,False,PHO,L (-7),1,11,18,.611,3,8,.375,8,13,.615,1,6,7,5,1,0,5,3,33,23.6
31,2015-01-15,30-016,CLE,False,LAL,W (+7),1,12,23,.522,4,9,.444,8,13,.615,1,3,4,5,2,0,1,2,36,28.0
32,2015-01-16,30-017,CLE,False,LAC,W (+5),1,11,23,.478,3,8,.375,7,12,.583,0,11,11,7,3,0,9,4,32,18.9
33,2015-01-19,30-020,CLE,True,CHI,W (+14),1,12,23,.522,0,3,.000,2,3,.667,1,4,5,4,0,0,6,4,26,11.4
34,2015-01-21,30-022,CLE,True,UTA,W (+14),1,8,16,.500,0,2,.000,10,14,.714,2,5,7,9,4,0,7,0,26,22.6
35,2015-01-23,30-024,CLE,True,CHO,W (+39),1,9,15,.600,2,4,.500,5,6,.833,1,5,6,9,4,1,2,1,25,28.5
36,2015-01-25,30-026,CLE,True,OKC,W (+10),1,11,25,.440,2,6,.333,10,13,.769,0,7,7,5,1,2,2,1,34,25.3
37,2015-01-27,30-028,CLE,False,DET,W (+8),1,11,24,.458,0,4,.000,10,11,.909,0,6,6,7,1,0,4,3,32,21.7
,2015-01-28,30-029,CLE,True,POR,W (+5),,,,,,,,,,,,,,,,,,,,
38,2015-01-30,30-031,CLE,True,SAC,W (+11),1,7,16,.438,1,4,.250,4,6,.667,0,3,3,7,4,2,6,1,19,14.6
39,2015-01-31,30-032,CLE,False,MIN,W (+16),1,14,25,.560,3,8,.375,5,8,.625,3,3,6,5,0,1,2,1,36,27.7
40,2015-02-02,30-034,CLE,True,PHI,W (+13),1,6,17,.353,1,4,.250,5,6,.833,0,3,3,11,2,0,6,2,18,11.9
41,2015-02-05,30-037,CLE,True,LAC,W (+11),1,8,14,.571,1,2,.500,6,7,.857,0,3,3,9,1,0,2,0,23,22.2
42,2015-02-06,30-038,CLE,False,IND,L (-4),1,10,21,.476,0,4,.000,5,8,.625,0,6,6,5,2,1,7,3,25,12.9
43,2015-02-08,30-040,CLE,True,LAL,W (+15),1,8,16,.500,2,7,.286,4,5,.800,2,8,10,8,1,0,6,2,22,17.2
44,2015-02-11,30-043,CLE,True,MIA,W (+20),1,6,16,.375,0,4,.000,6,7,.857,0,9,9,7,1,0,5,2,18,11.6
45,2015-02-12,30-044,CLE,False,CHI,L (-15),1,12,26,.462,2,9,.222,5,6,.833,0,5,5,4,0,0,8,3,31,12.3
46,2015-02-20,30-052,CLE,False,WAS,W (+38),1,12,21,.571,3,5,.600,1,3,.333,0,5,5,6,1,0,2,3,28,20.8
47,2015-02-22,30-054,CLE,False,NYK,W (+18),1,7,17,.412,1,6,.167,3,5,.600,0,7,7,7,2,0,4,2,18,12.3
