game,date,age,playerTeam,homeGame,opponent,result,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gameScoreStat
1,2005-11-02,20-307,CLE,True,NOK,W (+22),1,9,16,.563,6,7,.857,7,8,.875,1,2,3,4,2,0,3,3,31,24.9
2,2005-11-04,20-309,CLE,False,SAS,L (-26),1,7,16,.438,0,3,.000,6,7,.857,0,6,6,4,0,1,3,3,20,12.3
3,2005-11-05,20-310,CLE,False,MEM,L (-7),1,14,29,.483,4,9,.444,4,5,.800,0,2,2,6,2,0,2,2,36,24.9
4,2005-11-07,20-312,CLE,False,TOR,W (+12),1,9,17,.529,0,2,.000,9,12,.750,0,3,3,6,1,2,1,3,27,22.8
5,2005-11-09,20-314,CLE,True,SEA,W (+27),1,10,18,.556,0,2,.000,11,11,1.000,1,4,5,1,0,1,4,1,31,21.3
6,2005-11-11,20-316,CLE,True,MEM,W (+19),1,5,11,.455,0,1,.000,6,6,1.000,1,5,6,2,3,1,3,5,16,12.6
7,2005-11-13,20-318,CLE,False,ORL,W (+8),1,9,20,.450,1,4,.250,7,11,.636,0,5,5,3,0,1,2,2,26,15.5
8,2005-11-15,20-320,CLE,True,WAS,W (+15),1,15,23,.652,2,3,.667,5,5,1.000,1,9,10,4,0,2,3,1,37,31.1
9,2005-11-18,20-323,CLE,True,ORL,W (+18),1,6,17,.353,0,3,.000,4,6,.667,1,5,6,4,2,0,4,2,16,7.9
10,2005-11-19,20-324,CLE,False,PHI,W (+3),1,14,24,.583,0,2,.000,8,10,.800,2,9,11,10,1,1,5,1,36,31.4
11,2005-11-22,20-327,CLE,True,BOS,W (+22),1,13,20,.650,1,3,.333,9,11,.818,0,5,5,4,2,2,1,4,36,31.5
12,2005-11-24,20-329,CLE,False,IND,L (-22),1,6,20,.300,0,4,.000,7,11,.636,1,9,10,4,5,1,6,4,19,10.1
13,2005-11-26,20-331,CLE,True,MIN,L (-4),1,13,29,.448,6,11,.545,6,6,1.000,2,3,5,2,4,0,2,2,38,27.8
14,2005-11-30,20-335,CLE,True,LAC,W (+7),1,7,20,.350,0,3,.000,14,17,.824,0,7,7,9,1,1,6,1,28,19.3
15,2005-12-02,20-337,CLE,False,SEA,L (-7),1,14,27,.519,0,5,.000,6,8,.750,0,3,3,8,1,3,1,1,34,28.1
16,2005-12-03,20-338,CLE,False,LAC,L (-12),1,8,25,.320,3,5,.600,11,14,.786,0,5,5,6,1,1,1,3,30,19.7
17,2005-12-06,20-341,CLE,False,SAC,W (+5),1,10,23,.435,1,5,.200,9,12,.750,2,4,6,6,2,3,5,2,30,21.8
18,2005-12-09,20-344,CLE,True,NJN,L (-9),1,11,26,.423,0,4,.000,10,15,.667,2,4,6,3,0,1,7,3,32,13.4
19,2005-12-10,20-345,CLE,False,MIL,L (-5),1,19,29,.655,5,9,.556,9,10,.900,0,7,7,7,2,0,3,5,52,42.9
20,2005-12-13,20-348,CLE,True,ATL,L (-6),1,13,23,.565,3,6,.500,10,16,.625,0,10,10,6,2,0,6,5,39,26.9
21,2005-12-15,20-350,CLE,True,DEN,W (+9),1,11,18,.611,1,4,.250,3,6,.500,0,4,4,9,1,0,3,3,26,20.9
22,2005-12-17,20-352,CLE,True,MIA,W (+8),1,12,19,.632,2,4,.500,15,16,.938,0,5,5,10,1,0,4,3,41,36.4
23,2005-12-20,20-355,CLE,True,UTA,W (+25),1,8,12,.667,1,1,1.000,8,9,.889,2,4,6,4,3,2,5,1,25,23.8
24,2005-12-22,20-357,CLE,False,CHI,W (+8),1,12,25,.480,4,6,.667,9,13,.692,0,5,5,6,4,0,2,2,37,29.6
25,2005-12-23,20-358,CLE,True,IND,W (+5),1,4,16,.250,0,1,.000,6,11,.545,1,7,8,9,1,0,3,1,14,9.1
26,2005-12-26,20-361,CLE,True,CHI,W (+11),1,12,25,.480,0,5,.000,8,12,.667,1,7,8,6,2,2,2,0,32,26.1
27,2005-12-27,20-362,CLE,False,NJN,L (-5),1,12,21,.571,1,5,.200,6,9,.667,1,9,10,8,2,0,4,3,31,25.7
