game,date,age,playerTeam,homeGame,opponent,result,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gameScoreStat
1,2007-10-31,22-305,CLE,True,DAL,L (-18),1,2,11,.182,0,2,.000,6,10,.600,1,4,5,4,1,0,5,4,10,0.6
2,2007-11-02,22-307,CLE,True,NYK,W (+4),1,13,28,.464,3,5,.600,16,22,.727,3,4,7,7,3,1,3,1,45,36.7
3,2007-11-04,22-309,CLE,False,PHO,L (-11),1,11,26,.423,3,5,.600,2,2,1.000,1,4,5,8,2,4,3,0,27,22.5
4,2007-11-06,22-311,CLE,False,GSW,W (+4),1,9,16,.563,1,2,.500,5,7,.714,1,12,13,9,0,3,2,1,24,25.9
5,2007-11-07,22-312,CLE,False,UTA,L (-2),1,12,27,.444,1,4,.250,7,15,.467,2,13,15,13,3,2,4,4,32,27.9
6,2007-11-09,22-314,CLE,False,SAC,W (+2),1,10,19,.526,0,2,.000,6,8,.750,0,4,4,4,1,1,1,1,26,20.2
7,2007-11-11,22-316,CLE,False,LAC,W (+8),1,9,21,.429,0,2,.000,4,8,.500,1,4,5,8,6,1,5,3,22,17.3
8,2007-11-12,22-317,CLE,False,DEN,L (-22),1,9,16,.563,1,3,.333,8,14,.571,0,1,1,4,2,0,4,3,27,16.9
9,2007-11-14,22-319,CLE,True,ORL,L (-1),1,15,27,.556,2,4,.500,7,9,.778,4,9,13,14,0,2,4,1,39,37.6
10,2007-11-16,22-321,CLE,True,UTA,W (+5),1,13,27,.481,1,3,.333,13,15,.867,2,8,10,9,0,3,5,3,40,31.5
11,2007-11-20,22-325,CLE,True,MIL,L (-4),1,11,22,.500,1,7,.143,11,12,.917,0,7,7,7,1,1,3,4,34,26.7
12,2007-11-21,22-326,CLE,False,MIN,W (+11),1,17,26,.654,6,10,.600,5,8,.625,2,6,8,5,3,2,3,2,45,39.7
13,2007-11-24,22-329,CLE,True,TOR,W (+3),1,14,29,.483,2,8,.250,7,8,.875,3,9,12,12,3,1,4,3,37,33.6
14,2007-11-25,22-330,CLE,False,IND,W (+5),1,10,21,.476,1,6,.167,9,15,.600,3,8,11,10,4,1,2,1,30,30.7
15,2007-11-27,22-332,CLE,True,BOS,W (+5),1,11,25,.440,2,8,.250,14,15,.933,0,4,4,13,2,2,3,2,38,34.4
16,2007-11-28,22-333,CLE,False,DET,L (-35),1,5,11,.455,0,2,.000,5,9,.556,0,1,1,3,0,0,0,1,15,9.7
,2007-11-30,22-335,CLE,False,TOR,L (-9),,,,,,,,,,,,,,,,,,,,
,2007-12-02,22-337,CLE,False,BOS,L (-10),,,,,,,,,,,,,,,,,,,,
,2007-12-04,22-339,CLE,True,NJN,L (-21),,,,,,,,,,,,,,,,,,,,
,2007-12-05,22-340,CLE,False,WAS,L (-19),,,,,,,,,,,,,,,,,,,,
,2007-12-08,22-343,CLE,False,CHA,L (-3),,,,,,,,,,,,,,,,,,,,
17,2007-12-11,22-346,CLE,True,IND,W (+13),0,5,9,.556,0,1,.000,7,10,.700,1,2,3,5,1,1,4,2,17,13.2
18,2007-12-14,22-349,CLE,False,NJN,L (-8),1,12,25,.480,3,9,.333,2,3,.667,0,6,6,8,2,0,6,3,29,18.1
