game,date,age,playerTeam,homeGame,opponent,result,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gameScoreStat
1,2019-10-22,34-296,LAL,False,LAC,L (-10),1,7,19,.368,1,5,.200,3,4,.750,1,9,10,8,1,1,5,3,18,11.6
2,2019-10-25,34-299,LAL,True,UTA,W (+9),1,12,22,.545,1,4,.250,7,8,.875,2,5,7,10,1,0,1,0,32,30.9
3,2019-10-27,34-301,LAL,True,CHO,W (+19),1,7,14,.500,1,3,.333,5,5,1.000,1,5,6,12,1,0,4,0,20,20.6
4,2019-10-29,34-303,LAL,True,MEM,W (+29),1,8,15,.533,2,5,.400,5,7,.714,0,2,2,8,0,1,6,0,23,15.8
5,2019-11-01,34-306,LAL,False,DAL,W (+9),1,13,23,.565,4,9,.444,9,11,.818,0,12,12,16,4,1,4,5,39,40.8
6,2019-11-03,34-308,LAL,False,SAS,W (+7),1,8,23,.348,0,6,.000,5,10,.500,1,10,11,13,2,1,5,2,21,15.8
7,2019-11-05,34-310,LAL,False,CHI,W (+6),1,10,19,.526,2,6,.333,8,9,.889,0,10,10,11,2,1,2,3,30,30.5
8,2019-11-08,34-313,LAL,True,MIA,W (+15),1,10,19,.526,4,7,.571,1,2,.500,1,3,4,6,0,0,3,2,25,17.3
9,2019-11-10,34-315,LAL,True,TOR,L (-9),1,5,15,.333,0,2,.000,3,6,.500,3,10,13,15,0,1,2,0,13,17.6
10,2019-11-12,34-317,LAL,False,PHO,W (+8),1,8,18,.444,1,4,.250,2,7,.286,0,7,7,11,0,0,1,0,19,16.4
11,2019-11-13,34-318,LAL,True,GSW,W (+26),1,11,21,.524,1,5,.200,0,1,.000,2,4,6,12,1,1,4,1,23,20.6
12,2019-11-15,34-320,LAL,True,SAC,W (+2),1,10,20,.500,2,7,.286,7,7,1.000,3,1,4,11,3,0,2,1,29,29.7
13,2019-11-17,34-322,LAL,True,ATL,W (+21),1,13,21,.619,6,10,.600,1,1,1.000,0,7,7,12,1,1,0,1,33,35.3
14,2019-11-19,34-324,LAL,True,OKC,W (+5),1,10,21,.476,2,5,.400,3,5,.600,0,11,11,10,2,0,7,2,25,18.0
15,2019-11-22,34-327,LAL,False,OKC,W (+3),1,9,20,.450,1,3,.333,4,6,.667,1,5,6,14,1,1,5,2,23,19.7
16,2019-11-23,34-328,LAL,False,MEM,W (+1),1,14,27,.519,2,9,.222,0,0,,1,5,6,4,2,0,5,1,30,18.3
17,2019-11-25,34-330,LAL,False,SAS,W (+10),1,13,24,.542,4,7,.571,3,8,.375,1,3,4,14,0,1,3,2,33,27.7
18,2019-11-27,34-332,LAL,False,NOP,W (+4),1,10,18,.556,2,6,.333,7,11,.636,2,3,5,11,2,1,5,2,29,25.7
19,2019-11-29,34-334,LAL,True,WAS,W (+22),1,9,16,.563,4,8,.500,1,2,.500,0,3,3,11,2,1,6,1,23,19.9
20,2019-12-01,34-336,LAL,True,DAL,L (-14),1,11,20,.550,0,5,.000,3,3,1.000,0,9,9,8,4,0,6,3,25,20.5
21,2019-12-03,34-338,LAL,False,DEN,W (+9),1,9,18,.500,1,4,.250,6,6,1.000,2,4,6,9,0,0,4,3,25,19.7
22,2019-12-04,34-339,LAL,False,UTA,W (+25),1,9,21,.429,1,6,.167,1,1,1.000,0,4,4,12,1,0,1,3,20,17.3
23,2019-12-06,34-341,LAL,False,POR,W (+23),1,11,23,.478,4,9,.444,5,7,.714,1,6,7,8,0,1,3,1,31,23.9
24,2019-12-08,34-343,LAL,True,MIN,W (+17),1,12,20,.600,6,8,.750,2,2,1.000,1,3,4,13,1,0,5,4,32,27.9
25,2019-12-11,34-346,LAL,False,ORL,W (+9),1,11,24,.458,1,6,.167,2,5,.400,2,9,11,10,2,0,6,2,25,17.7
26,2019-12-13,34-348,LAL,False,MIA,W (+3),1,11,22,.500,4,8,.500,2,4,.500,2,7,9,12,1,0,8,2,28,20.3
27,2019-12-15,34-350,LAL,False,ATL,W (+5),1,12,21,.571,4,10,.400,4,7,.571,1,12,13,7,1,3,4,1,32,28.8
28,2019-12-17,34-352,LAL,False,IND,L (-3),1,8,20,.400,0,6,.000,4,8,.500,1,8,9,9,0,0,5,2,20,11.2
29,2019-12-19,34-354,LAL,False,MIL,L (-7),1,8,19,.421,3,7,.429,2,2,1.000,0,12,12,11,0,0,4,5,21,16.2
,2019-12-22,34-357,LAL,True,DEN,L (-24),,,,,,,,,,,,,,,,,,,,
30,2019-12-25,34-360,LAL,True,LAC,L (-5),1,9,24,.375,2,12,.167,3,4,.750,3,6,9,10,2,1,2,3,23,19.8
31,2019-12-28,34-363,LAL,False,POR,W (+8),1,7,15,.467,1,4,.250,6,8,.750,1,6,7,16,2,1,1,2,21,27.1
32,2019-12-29,34-364,LAL,True,DAL,W (+13),1,3,10,.300,2,4,.500,5,6,.833,0,6,6,13,2,0,2,2,13,16.9
33,2020-01-01,35-002,LAL,True,PHO,W (+10),1,11,21,.524,1,4,.250,8,12,.667,2,11,13,12,2,1,5,0,31,29.9
