game,date,age,playerTeam,homeGame,opponent,result,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gameScoreStat
1,2015-10-27,30-301,CLE,False,CHI,L (-2),1,12,22,.545,1,5,.200,0,3,.000,0,10,10,5,1,0,1,3,25,18.5
2,2015-10-28,30-302,CLE,False,MEM,W (+30),1,4,13,.308,0,3,.000,4,8,.500,1,6,7,5,3,0,3,1,12,8.5
3,2015-10-30,30-304,CLE,True,MIA,W (+10),1,13,19,.684,0,2,.000,3,5,.600,2,3,5,4,1,0,4,3,29,21.0
4,2015-11-02,30-307,CLE,False,PHI,W (+7),1,9,19,.474,0,3,.000,4,4,1.000,0,9,9,11,4,2,3,3,22,23.9
5,2015-11-04,30-309,CLE,True,NYK,W (+10),1,9,23,.391,1,5,.200,4,7,.571,2,3,5,3,4,1,3,1,23,15.0
6,2015-11-06,30-311,CLE,True,PHI,W (+6),1,12,22,.545,3,5,.600,4,6,.667,0,4,4,13,2,0,2,1,31,29.5
7,2015-11-08,30-313,CLE,True,IND,W (+4),1,10,23,.435,0,3,.000,9,14,.643,0,6,6,4,0,0,2,0,29,17.5
8,2015-11-10,30-315,CLE,True,UTA,W (+4),1,11,19,.579,1,3,.333,8,12,.667,3,4,7,8,2,0,5,2,31,25.6
9,2015-11-13,30-318,CLE,False,NYK,W (+6),1,12,21,.571,0,2,.000,7,10,.700,0,3,3,6,2,1,3,4,31,23.1
10,2015-11-14,30-319,CLE,False,MIL,L (-3),1,13,27,.481,5,11,.455,6,12,.500,4,8,12,5,1,3,7,3,37,24.5
11,2015-11-17,30-322,CLE,False,DET,L (-5),1,11,21,.524,4,7,.571,4,5,.800,0,6,6,3,0,0,4,3,30,18.0
12,2015-11-19,30-324,CLE,True,MIL,W (+15),1,9,13,.692,1,1,1.000,8,9,.889,3,6,9,6,0,0,4,3,27,24.0
13,2015-11-21,30-326,CLE,True,ATL,W (+12),1,8,15,.533,1,2,.500,2,2,1.000,2,9,11,8,0,2,3,1,19,19.4
14,2015-11-23,30-328,CLE,True,ORL,W (+14),1,7,14,.500,0,2,.000,1,5,.200,0,6,6,13,1,0,2,0,15,16.3
15,2015-11-25,30-330,CLE,False,TOR,L (-4),1,6,16,.375,1,5,.200,11,12,.917,2,4,6,8,0,0,2,1,24,20.6
16,2015-11-27,30-332,CLE,False,CHO,W (+5),1,8,20,.400,2,5,.400,7,9,.778,2,11,13,5,0,0,3,2,25,17.8
17,2015-11-28,30-333,CLE,True,BRK,W (+2),1,10,22,.455,1,6,.167,5,6,.833,2,7,9,5,1,0,2,0,26,20.2
18,2015-12-01,30-336,CLE,True,WAS,L (-12),1,8,20,.400,0,3,.000,8,8,1.000,4,9,13,4,1,1,9,3,24,13.0
19,2015-12-04,30-339,CLE,False,NOP,L (-6),1,13,29,.448,1,5,.200,10,11,.909,2,5,7,8,1,1,5,4,37,25.1
,2015-12-05,30-340,CLE,False,MIA,L (-15),,,,,,,,,,,,,,,,,,,,
20,2015-12-08,30-343,CLE,True,POR,W (+5),1,14,24,.583,1,3,.333,4,4,1.000,1,9,10,3,2,3,2,3,33,28.2
21,2015-12-11,30-346,CLE,False,ORL,W (+35),1,10,15,.667,0,1,.000,5,8,.625,0,3,3,8,4,0,4,0,25,23.8
