game,date,age,playerTeam,homeGame,opponent,result,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gameScoreStat
1,2011-12-25,26-360,MIA,False,DAL,W (+11),1,11,19,.579,0,0,,15,19,.789,3,7,10,6,2,2,3,3,37,34.1
2,2011-12-27,26-362,MIA,True,BOS,W (+8),1,9,14,.643,0,0,,8,9,.889,1,5,6,5,2,1,3,3,26,23.6
3,2011-12-28,26-363,MIA,False,CHA,W (+1),1,13,23,.565,0,0,,9,9,1.000,0,6,6,7,3,2,2,0,35,33.2
4,2011-12-30,27-000,MIA,False,MIN,W (+2),1,16,26,.615,0,1,.000,2,4,.500,1,7,8,10,4,1,4,2,34,31.1
5,2012-01-01,27-002,MIA,True,CHA,W (+39),1,6,10,.600,0,0,,4,6,.667,0,9,9,5,1,0,2,2,16,15.0
6,2012-01-02,27-003,MIA,True,ATL,L (-8),1,11,18,.611,0,0,,6,9,.667,2,5,7,6,0,0,4,1,28,21.3
7,2012-01-04,27-005,MIA,True,IND,W (+35),1,12,21,.571,0,0,,9,11,.818,2,6,8,13,2,0,2,2,33,33.8
,2012-01-05,27-006,MIA,False,ATL,W (+7),,,,,,,,,,,,,,,,,,,,
8,2012-01-07,27-008,MIA,False,NJN,W (+11),1,11,17,.647,0,1,.000,10,12,.833,0,7,7,9,2,1,8,2,32,26.0
9,2012-01-10,27-011,MIA,False,GSW,L (-5),1,10,19,.526,0,2,.000,6,8,.750,1,10,11,7,2,0,5,1,26,21.1
10,2012-01-11,27-012,MIA,False,LAC,L (-6),1,7,19,.368,0,1,.000,9,17,.529,2,11,13,7,2,0,6,5,23,12.9
11,2012-01-13,27-014,MIA,False,DEN,L (-13),1,13,20,.650,3,5,.600,6,11,.545,1,4,5,6,2,1,4,0,35,29.0
12,2012-01-17,27-018,MIA,True,SAS,W (+22),1,12,21,.571,4,6,.667,5,9,.556,1,4,5,10,0,0,4,0,33,26.4
