game,date,age,playerTeam,homeGame,opponent,result,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gameScoreStat
1,2017-10-17,32-291,CLE,True,BOS,W (+3),1,12,19,.632,1,5,.200,4,4,1.000,1,15,16,9,0,2,4,3,29,28.2
2,2017-10-20,32-294,CLE,False,MIL,W (+19),1,10,16,.625,2,4,.500,2,2,1.000,1,4,5,8,1,1,5,2,24,20.2
3,2017-10-21,32-295,CLE,True,ORL,L (-21),1,8,15,.533,1,3,.333,5,6,.833,0,4,4,2,1,1,1,0,22,17.6
4,2017-10-24,32-298,CLE,True,CHI,W (+7),1,13,20,.650,4,6,.667,4,5,.800,0,2,2,13,3,0,2,1,34,35.1
5,2017-10-25,32-299,CLE,False,BRK,L (-5),1,12,20,.600,1,2,.500,4,8,.500,1,9,10,13,0,4,8,1,29,25.1
6,2017-10-28,32-302,CLE,False,NOP,L (-22),1,6,11,.545,1,3,.333,5,6,.833,0,3,3,8,0,0,4,3,18,13.6
7,2017-10-29,32-303,CLE,True,NYK,L (-19),1,7,15,.467,1,4,.250,1,1,1.000,1,9,10,7,2,0,4,2,16,13.8
8,2017-11-01,32-306,CLE,True,IND,L (-17),1,14,22,.636,1,5,.200,4,5,.800,1,5,6,11,2,1,8,1,33,27.0
9,2017-11-03,32-308,CLE,False,WAS,W (+8),1,23,34,.676,2,4,.500,9,9,1.000,5,6,11,7,3,2,3,2,57,53.2
10,2017-11-05,32-310,CLE,True,ATL,L (-2),1,10,17,.588,0,3,.000,6,6,1.000,2,3,5,13,1,2,6,4,26,24.3
11,2017-11-07,32-312,CLE,True,MIL,W (+5),1,10,20,.500,2,4,.500,8,10,.800,1,7,8,9,3,0,1,1,30,29.9
12,2017-11-09,32-314,CLE,False,HOU,L (-4),1,15,24,.625,1,4,.250,2,3,.667,0,4,4,7,1,1,8,4,33,20.0
13,2017-11-11,32-316,CLE,False,DAL,W (+7),1,6,14,.429,1,3,.333,6,8,.750,1,10,11,4,0,1,6,3,19,10.8
14,2017-11-13,32-318,CLE,False,NYK,W (+3),1,7,14,.500,2,4,.500,7,10,.700,3,6,9,12,0,3,5,1,23,23.8
15,2017-11-15,32-320,CLE,False,CHO,W (+8),1,12,24,.500,4,7,.571,3,3,1.000,2,4,6,8,2,1,3,4,31,25.3
16,2017-11-17,32-322,CLE,True,LAC,W (+5),1,17,26,.654,4,9,.444,1,5,.200,1,13,14,6,0,0,6,0,39,28.8
17,2017-11-20,32-325,CLE,False,DET,W (+28),1,7,14,.500,3,5,.600,1,1,1.000,0,2,2,8,1,1,0,2,18,18.1
18,2017-11-22,32-327,CLE,True,BRK,W (+10),1,11,17,.647,4,7,.571,7,9,.778,1,5,6,5,2,0,3,2,33,28.6
19,2017-11-24,32-329,CLE,True,CHO,W (+1),1,10,20,.500,3,8,.375,4,7,.571,1,15,16,13,0,3,3,2,27,28.4
20,2017-11-27,32-332,CLE,False,PHI,W (+22),1,12,23,.522,3,7,.429,3,4,.750,3,11,14,6,0,0,3,0,30,24.9
21,2017-11-28,32-333,CLE,True,MIA,W (+11),1,10,16,.625,1,3,.333,0,1,.000,2,10,12,6,5,1,2,1,21,25.3
22,2017-11-30,32-335,CLE,False,ATL,W (+7),1,8,11,.727,3,6,.500,5,7,.714,1,5,6,12,2,2,3,3,24,28.5
23,2017-12-02,32-337,CLE,True,MEM,W (+5),1,13,22,.591,0,3,.000,8,8,1.000,0,2,2,12,0,1,5,1,34,28.1
24,2017-12-04,32-339,CLE,False,CHI,W (+22),1,9,15,.600,2,4,.500,3,4,.750,0,7,7,6,2,0,2,1,23,21.6
