game,date,age,playerTeam,homeGame,opponent,result,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gameScoreStat
1,2009-10-27,24-301,CLE,True,BOS,L (-6),1,12,22,.545,4,9,.444,10,13,.769,0,4,4,8,2,4,5,4,38,31.2
2,2009-10-28,24-302,CLE,False,TOR,L (-10),1,7,19,.368,1,5,.200,8,14,.571,2,9,11,12,2,0,4,1,23,20.2
3,2009-10-30,24-304,CLE,False,MIN,W (+17),1,10,18,.556,2,3,.667,2,3,.667,2,7,9,6,1,1,2,1,24,22.0
4,2009-10-31,24-305,CLE,True,CHA,W (+11),1,5,11,.455,0,1,.000,4,6,.667,1,6,7,9,0,0,4,1,14,11.9
5,2009-11-03,24-308,CLE,True,WAS,W (+12),1,7,16,.438,2,7,.286,11,13,.846,3,5,8,6,3,0,4,0,27,24.6
6,2009-11-05,24-310,CLE,True,CHI,L (-1),1,9,17,.529,1,4,.250,6,9,.667,0,7,7,6,1,1,3,0,25,20.5
7,2009-11-06,24-311,CLE,False,NYK,W (+9),1,12,17,.706,2,4,.500,7,9,.778,0,8,8,9,3,0,7,3,33,28.6
8,2009-11-11,24-316,CLE,False,ORL,W (+9),1,13,23,.565,2,3,.667,8,9,.889,2,6,8,4,1,0,4,2,36,26.9
9,2009-11-12,24-317,CLE,False,MIA,W (+7),1,8,20,.400,2,4,.500,16,18,.889,1,3,4,7,2,1,2,2,34,28.8
10,2009-11-14,24-319,CLE,True,UTA,W (+4),1,6,15,.400,0,3,.000,9,12,.750,0,6,6,9,2,1,2,1,21,20.1
11,2009-11-17,24-322,CLE,True,GSW,W (+6),1,11,19,.579,1,5,.200,8,10,.800,0,5,5,12,1,2,2,2,31,30.8
12,2009-11-18,24-323,CLE,False,WAS,L (-17),1,12,20,.600,3,7,.429,7,8,.875,0,2,2,9,2,0,6,4,34,25.7
13,2009-11-20,24-325,CLE,False,IND,W (+10),1,13,25,.520,1,3,.333,13,14,.929,2,7,9,7,1,1,2,1,40,35.0
14,2009-11-21,24-326,CLE,True,PHI,W (+6),1,13,20,.650,2,4,.500,4,6,.667,0,7,7,9,0,0,5,3,32,24.6
15,2009-11-25,24-330,CLE,False,DET,W (+10),1,12,24,.500,1,4,.250,9,11,.818,1,7,8,7,1,0,5,2,34,24.1
16,2009-11-27,24-332,CLE,False,CHA,L (-7),1,10,19,.526,2,7,.286,3,4,.750,0,6,6,4,0,0,6,4,25,12.3
17,2009-11-28,24-333,CLE,True,DAL,W (+16),1,10,20,.500,0,2,.000,5,7,.714,0,5,5,12,0,0,1,2,25,22.3
18,2009-12-02,24-337,CLE,True,PHO,W (+17),1,6,15,.400,0,3,.000,0,0,,1,7,8,10,1,1,3,0,12,12.4
19,2009-12-04,24-339,CLE,True,CHI,W (+14),1,8,17,.471,1,3,.333,6,10,.600,0,6,6,11,0,0,1,1,23,20.8
20,2009-12-06,24-341,CLE,False,MIL,W (+15),1,4,10,.400,0,0,,6,7,.857,1,4,5,10,1,1,5,2,14,13.0
21,2009-12-08,24-343,CLE,False,MEM,L (-2),1,14,29,.483,4,11,.364,11,12,.917,4,9,13,6,0,1,5,2,43,32.5
22,2009-12-09,24-344,CLE,False,HOU,L (-10),1,8,21,.381,2,4,.500,9,10,.900,1,5,6,7,1,1,5,2,27,18.1
23,2009-12-11,24-346,CLE,True,POR,W (+5),1,14,24,.583,1,2,.500,4,6,.667,1,6,7,7,1,2,4,1,33,26.4
24,2009-12-13,24-348,CLE,False,OKC,W (+13),1,16,29,.552,5,8,.625,7,10,.700,0,7,7,6,4,1,1,1,44,38.5
25,2009-12-15,24-350,CLE,True,NJN,W (+10),1,9,19,.474,1,5,.200,4,6,.667,1,5,6,7,2,0,6,3,23,14.4
26,2009-12-16,24-351,CLE,False,PHI,W (+7),1,12,26,.462,3,6,.500,9,11,.818,1,5,6,7,3,1,3,2,36,28.8
27,2009-12-18,24-353,CLE,True,MIL,W (+3),1,6,13,.462,2,4,.500,12,14,.857,1,9,10,8,0,3,6,1,26,23.2
28,2009-12-20,24-355,CLE,False,DAL,L (-7),1,9,23,.391,2,6,.333,5,7,.714,0,3,3,6,2,2,2,3,25,17.0
29,2009-12-21,24-356,CLE,False,PHO,W (+18),1,11,21,.524,1,3,.333,6,6,1.000,1,5,6,4,2,0,3,3,29,21.5
30,2009-12-23,24-358,CLE,False,SAC,W (+13),1,14,30,.467,1,4,.250,5,7,.714,4,12,16,10,0,0,2,1,34,28.8
31,2009-12-25,24-360,CLE,False,LAL,W (+15),1,9,19,.474,2,7,.286,6,11,.545,0,4,4,9,2,1,7,3,26,16.3
32,2009-12-27,24-362,CLE,True,HOU,W (+25),1,12,20,.600,2,5,.400,3,4,.750,2,3,5,6,3,1,1,0,29,28.6
33,2009-12-29,24-364,CLE,False,ATL,W (+11),1,6,20,.300,0,5,.000,2,3,.667,1,7,8,10,5,1,4,2,14,12.7
34,2009-12-30,25-000,CLE,True,ATL,W (+5),1,15,23,.652,4,6,.667,14,16,.875,3,7,10,6,2,2,3,3,48,44.7
35,2010-01-02,25-003,CLE,False,NJN,W (+8),1,7,16,.438,1,4,.250,13,15,.867,1,8,9,7,1,2,1,0,28,28.2
36,2010-01-03,25-004,CLE,True,CHA,L (-3),1,13,21,.619,2,6,.333,1,2,.500,0,7,7,6,1,1,1,3,29,24.9
37,2010-01-06,25-007,CLE,True,WAS,W (+23),1,7,12,.583,1,4,.250,8,11,.727,2,5,7,8,1,2,1,0,23,26.1
38,2010-01-08,25-009,CLE,False,DEN,L (-2),1,12,28,.429,2,8,.250,9,13,.692,2,4,6,7,1,0,8,1,35,18.7
39,2010-01-10,25-011,CLE,False,POR,W (+12),1,13,19,.684,3,4,.750,12,14,.857,0,10,10,8,0,1,3,1,41,38.0
40,2010-01-11,25-012,CLE,False,GSW,W (+3),1,12,23,.522,1,4,.250,12,14,.857,1,7,8,11,2,4,2,1,37,37.8
41,2010-01-14,25-015,CLE,False,UTA,L (-1),1,12,20,.600,4,6,.667,8,12,.667,1,8,9,6,5,1,5,1,36,32.8
42,2010-01-16,25-017,CLE,False,LAC,W (+1),1,12,20,.600,3,6,.500,5,7,.714,2,2,4,4,2,1,5,3,32,23.3
43,2010-01-19,25-020,CLE,True,TOR,W (+8),1,8,18,.444,0,7,.000,12,14,.857,0,9,9,11,3,3,3,1,28,29.9
44,2010-01-21,25-022,CLE,True,LAL,W (+6),1,13,25,.520,1,9,.111,10,13,.769,0,5,5,9,2,1,4,3,37,28.8
45,2010-01-23,25-024,CLE,True,OKC,W (+1),1,9,19,.474,6,10,.600,13,19,.684,0,9,9,12,1,1,6,2,37,30.9
46,2010-01-25,25-026,CLE,False,MIA,W (+1),1,9,23,.391,2,9,.222,12,17,.706,0,9,9,4,1,0,4,3,32,18.8
47,2010-01-27,25-028,CLE,True,MIN,W (+14),1,3,8,.375,1,3,.333,5,6,.833,0,6,6,11,1,1,3,1,12,15.0
48,2010-01-29,25-030,CLE,False,IND,W (+21),1,6,18,.333,0,4,.000,10,17,.588,0,9,9,13,2,4,5,2,22,19.8
49,2010-01-31,25-032,CLE,True,LAC,W (+25),1,10,20,.500,5,6,.833,7,8,.875,1,2,3,11,1,0,1,1,32,30.2
50,2010-02-02,25-034,CLE,True,MEM,W (+16),1,7,14,.500,1,4,.250,7,7,1.000,1,5,6,15,1,1,4,2,22,24.6
51,2010-02-04,25-036,CLE,True,MIA,W (+16),1,9,16,.563,1,4,.250,17,21,.810,2,5,7,8,2,0,4,1,36,32.9
52,2010-02-06,25-038,CLE,True,NYK,W (+7),1,17,31,.548,6,12,.500,7,7,1.000,1,7,8,8,5,0,5,2,47,39.7
53,2010-02-09,25-041,CLE,True,NJN,W (+7),1,13,21,.619,1,4,.250,5,9,.556,0,3,3,11,1,0,3,0,32,27.5
54,2010-02-11,25-043,CLE,True,ORL,W (+9),1,10,21,.476,2,6,.333,10,12,.833,1,7,8,13,2,0,3,2,32,30.6
55,2010-02-18,25-050,CLE,True,DEN,L (-2),1,15,33,.455,1,9,.111,12,17,.706,1,12,13,15,2,4,3,1,43,40.1
56,2010-02-19,25-051,CLE,False,CHA,L (-17),1,6,14,.429,2,6,.333,8,10,.800,1,2,3,9,4,0,2,2,22,22.6
57,2010-02-21,25-053,CLE,False,ORL,L (-6),1,12,25,.480,1,6,.167,8,12,.667,0,9,9,6,2,1,5,0,33,23.3
58,2010-02-23,25-055,CLE,True,NOH,W (+10),1,7,16,.438,2,6,.333,4,4,1.000,1,4,5,13,2,0,0,0,20,24.6
59,2010-02-25,25-057,CLE,False,BOS,W (+20),1,11,23,.478,3,6,.500,11,15,.733,1,6,7,9,0,0,2,2,36,28.7
60,2010-02-26,25-058,CLE,False,TOR,W (+8),1,10,17,.588,1,4,.250,15,16,.938,0,6,6,9,2,0,1,2,36,36.0
61,2010-03-01,25-061,CLE,True,NYK,W (+31),1,9,17,.529,1,4,.250,3,5,.600,0,7,7,7,2,2,3,0,22,20.3
62,2010-03-03,25-063,CLE,False,NJN,W (+19),1,10,18,.556,0,4,.000,6,7,.857,2,5,7,14,3,1,3,1,26,30.0
63,2010-03-05,25-065,CLE,True,DET,W (+7),1,16,27,.593,3,7,.429,5,6,.833,2,11,13,6,3,2,4,1,40,36.0
,2010-03-06,25-066,CLE,False,MIL,L (-7),,,,,,,,,,,,,,,,,,,,
,2010-03-08,25-068,CLE,True,SAS,W (+2),,,,,,,,,,,,,,,,,,,,
