game,date,age,playerTeam,homeGame,opponent,result,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gameScoreStat
1,2008-10-28,23-303,CLE,False,BOS,L (-5),1,9,21,.429,0,4,.000,4,8,.500,1,6,7,6,2,1,3,4,22,14.1
2,2008-10-30,23-305,CLE,True,CHA,W (+17),1,7,15,.467,0,2,.000,8,12,.667,2,7,9,9,0,1,5,3,22,17.0
3,2008-11-01,23-307,CLE,False,NOH,L (-12),1,6,15,.400,0,3,.000,3,4,.750,2,5,7,13,3,0,5,3,15,15.3
4,2008-11-03,23-309,CLE,False,DAL,W (+19),1,8,20,.400,0,2,.000,13,15,.867,2,6,8,3,2,1,1,1,29,24.0
5,2008-11-05,23-311,CLE,True,CHI,W (+14),1,13,23,.565,0,2,.000,15,16,.938,2,7,9,6,4,0,5,1,41,36.0
6,2008-11-07,23-313,CLE,True,IND,W (+4),1,11,24,.458,1,6,.167,4,7,.571,2,7,9,8,1,4,4,2,27,21.5
7,2008-11-08,23-314,CLE,False,CHI,W (+9),1,13,29,.448,4,7,.571,11,13,.846,4,9,13,4,0,0,2,1,41,31.0
8,2008-11-11,23-317,CLE,True,MIL,W (+6),1,16,24,.667,1,4,.250,8,10,.800,0,5,5,6,3,0,2,2,41,35.7
9,2008-11-13,23-319,CLE,True,DEN,W (+11),1,10,20,.500,0,0,,2,4,.500,1,7,8,11,3,0,5,4,22,18.1
10,2008-11-15,23-321,CLE,True,UTA,W (+12),1,13,21,.619,3,7,.429,9,11,.818,3,2,5,7,2,2,2,2,38,35.9
11,2008-11-18,23-324,CLE,False,NJN,W (+24),1,9,20,.450,1,4,.250,12,17,.706,0,8,8,4,0,1,3,3,31,20.3
12,2008-11-19,23-325,CLE,False,DET,L (-7),1,8,21,.381,0,4,.000,9,10,.900,1,5,6,6,4,0,3,1,25,20.1
13,2008-11-22,23-328,CLE,True,ATL,W (+14),1,8,19,.421,1,4,.250,7,7,1.000,1,6,7,8,2,0,2,3,24,20.8
14,2008-11-25,23-331,CLE,False,NYK,W (+18),1,7,14,.500,3,7,.429,9,11,.818,0,4,4,1,1,1,1,0,26,20.8
15,2008-11-26,23-332,CLE,True,OKC,W (+35),1,7,12,.583,0,1,.000,0,0,,0,3,3,3,1,3,0,0,14,14.5
16,2008-11-28,23-334,CLE,True,GSW,W (+15),1,9,13,.692,3,4,.750,2,4,.500,1,6,7,8,3,1,2,2,23,25.7
17,2008-11-29,23-335,CLE,False,MIL,W (+12),1,12,27,.444,1,5,.200,7,10,.700,1,6,7,5,2,1,3,3,32,21.2
18,2008-12-03,23-339,CLE,True,NYK,W (+36),1,5,10,.500,1,4,.250,10,10,1.000,0,5,5,6,5,1,0,0,21,27.4
19,2008-12-05,23-341,CLE,True,IND,W (+24),1,4,12,.333,0,4,.000,3,4,.750,2,6,8,11,1,3,2,2,11,15.0
20,2008-12-06,23-342,CLE,False,CHA,W (+20),1,8,17,.471,2,4,.500,7,8,.875,2,3,5,4,2,2,3,3,25,20.2
21,2008-12-09,23-345,CLE,True,TOR,W (+20),1,11,18,.611,2,5,.400,7,8,.875,0,5,5,4,3,0,2,1,31,27.3
22,2008-12-10,23-346,CLE,False,PHI,W (+8),1,10,22,.455,2,6,.333,7,8,.875,2,2,4,5,0,2,1,4,29,21.5
23,2008-12-12,23-348,CLE,True,PHI,W (+16),1,9,21,.429,1,4,.250,9,12,.750,3,4,7,7,1,3,0,2,28,26.2
24,2008-12-13,23-349,CLE,False,ATL,L (-5),1,10,19,.526,2,7,.286,11,12,.917,2,4,6,9,4,1,1,2,33,35.1
25,2008-12-17,23-353,CLE,False,MIN,W (+23),1,14,20,.700,2,6,.333,2,4,.500,0,6,6,3,2,2,0,1,32,29.7
26,2008-12-19,23-355,CLE,False,DEN,W (+17),1,13,20,.650,0,2,.000,7,8,.875,3,7,10,8,0,0,6,3,33,26.4
27,2008-12-21,23-357,CLE,False,OKC,W (+11),1,14,24,.583,2,4,.500,1,2,.500,2,2,4,7,3,1,3,1,31,26.6
28,2008-12-23,23-359,CLE,True,HOU,W (+9),1,11,23,.478,0,3,.000,5,7,.714,1,8,9,5,3,1,7,2,27,17.0
29,2008-12-25,23-361,CLE,True,WAS,W (+4),1,6,13,.462,0,2,.000,6,10,.600,0,5,5,6,3,1,3,1,18,15.7
30,2008-12-28,23-364,CLE,True,MIA,W (+7),1,12,19,.632,2,4,.500,7,12,.583,0,6,6,9,0,1,2,1,33,28.9
31,2008-12-30,24-000,CLE,False,MIA,L (-9),1,12,24,.500,3,8,.375,11,14,.786,0,2,2,7,0,2,5,2,38,25.9
32,2009-01-02,24-003,CLE,True,CHI,W (+25),1,3,8,.375,2,3,.667,8,8,1.000,1,9,10,11,2,3,5,1,16,21.4
33,2009-01-04,24-005,CLE,False,WAS,L (-3),1,11,22,.500,3,9,.333,5,8,.625,0,6,6,10,1,2,7,4,30,20.4
34,2009-01-07,24-008,CLE,True,CHA,W (+30),1,9,16,.563,0,1,.000,3,3,1.000,0,4,4,4,2,2,4,1,21,16.4
35,2009-01-09,24-010,CLE,True,BOS,W (+15),1,13,25,.520,3,7,.429,9,9,1.000,1,6,7,6,4,3,3,2,38,34.7
36,2009-01-13,24-014,CLE,False,MEM,W (+15),1,9,15,.600,1,5,.200,11,14,.786,0,11,11,10,3,1,2,2,30,33.1
37,2009-01-15,24-016,CLE,False,CHI,L (-9),1,8,28,.286,1,6,.167,11,16,.688,3,11,14,7,1,1,8,4,28,12.0
