game,date,age,playerTeam,homeGame,opponent,result,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gameScoreStat
1,2018-10-18,33-292,LAL,False,POR,L (-9),1,9,16,.563,0,4,.000,8,9,.889,2,10,12,6,1,0,6,3,26,20.4
2,2018-10-20,33-294,LAL,True,HOU,L (-9),1,9,22,.409,1,7,.143,5,7,.714,0,5,5,5,2,1,1,0,24,18.1
3,2018-10-22,33-296,LAL,True,SAS,L (-1),1,11,25,.440,2,8,.250,8,11,.727,2,6,8,14,1,1,5,2,32,26.6
4,2018-10-24,33-298,LAL,False,PHO,W (+18),1,7,16,.438,1,5,.200,4,4,1.000,0,7,7,10,3,0,0,1,19,22.3
5,2018-10-25,33-299,LAL,True,DEN,W (+7),1,10,17,.588,1,5,.200,7,10,.700,0,11,11,11,3,0,2,3,28,29.7
6,2018-10-27,33-301,LAL,False,SAS,L (-4),1,13,21,.619,2,6,.333,7,8,.875,1,10,11,4,2,0,4,3,35,28.4
7,2018-10-29,33-303,LAL,False,MIN,L (-4),1,11,23,.478,3,6,.500,4,5,.800,3,7,10,8,2,2,5,2,29,24.3
8,2018-10-31,33-305,LAL,True,DAL,W (+1),1,11,19,.579,2,3,.667,5,7,.714,0,5,5,6,3,0,3,3,29,23.8
9,2018-11-03,33-308,LAL,False,POR,W (+4),1,9,20,.450,1,5,.200,9,11,.818,0,5,5,7,0,2,3,1,28,21.2
10,2018-11-04,33-309,LAL,True,TOR,L (-14),1,6,12,.500,2,3,.667,4,7,.571,0,2,2,6,0,1,3,3,18,12.1
11,2018-11-07,33-312,LAL,True,MIN,W (+4),1,10,21,.476,3,9,.333,1,2,.500,1,10,11,9,0,2,3,1,24,20.9
12,2018-11-10,33-315,LAL,False,SAC,W (+15),1,10,18,.556,3,6,.500,2,3,.667,1,6,7,2,1,0,3,2,25,17.1
13,2018-11-11,33-316,LAL,True,ATL,W (+1),1,10,20,.500,3,9,.333,3,7,.429,3,4,7,4,2,0,4,1,26,18.1
14,2018-11-14,33-319,LAL,True,POR,W (+9),1,13,19,.684,5,6,.833,13,15,.867,2,8,10,9,1,3,4,0,44,44.3
15,2018-11-17,33-322,LAL,False,ORL,L (-13),1,8,19,.421,3,6,.500,3,4,.750,0,4,4,7,0,1,3,0,22,15.3
16,2018-11-18,33-323,LAL,False,MIA,W (+16),1,19,31,.613,6,8,.750,7,10,.700,1,7,8,3,2,1,2,3,51,40.1
17,2018-11-21,33-326,LAL,False,CLE,W (+4),1,11,20,.550,2,6,.333,8,12,.667,2,12,14,7,0,1,4,3,32,26.2
18,2018-11-23,33-328,LAL,True,UTA,W (+7),1,8,17,.471,2,5,.400,4,6,.667,1,9,10,7,2,1,5,1,22,18.1
19,2018-11-25,33-330,LAL,True,ORL,L (-4),1,8,14,.571,2,7,.286,6,11,.545,0,4,4,7,0,1,6,4,24,14.6
20,2018-11-27,33-332,LAL,False,DEN,L (-32),1,5,15,.333,0,4,.000,4,6,.667,0,7,7,2,2,2,4,0,14,7.6
21,2018-11-29,33-334,LAL,True,IND,W (+8),1,15,27,.556,2,7,.286,6,10,.600,1,8,9,7,2,0,4,2,38,28.7
22,2018-11-30,33-335,LAL,True,DAL,W (+11),1,12,21,.571,2,4,.500,2,4,.500,2,3,5,4,0,1,4,3,28,17.9
