game,date,age,playerTeam,homeGame,opponent,result,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gameScoreStat
1,2006-11-01,21-306,CLE,True,WAS,W (+3),1,11,24,.458,2,4,.500,2,6,.333,3,7,10,5,0,2,5,2,26,15.3
2,2006-11-03,21-308,CLE,False,SAS,W (+7),1,14,26,.538,1,2,.500,6,11,.545,1,9,10,4,1,1,2,3,35,25.1
3,2006-11-04,21-309,CLE,False,CHA,L (-4),1,3,13,.231,1,3,.333,9,10,.900,4,5,9,7,0,1,2,0,16,15.6
4,2006-11-07,21-312,CLE,True,ATL,L (-9),1,13,26,.500,3,8,.375,5,11,.455,0,7,7,6,2,1,2,1,34,25.2
5,2006-11-09,21-314,CLE,True,CHI,W (+19),1,6,13,.462,0,1,.000,7,8,.875,0,4,4,12,3,2,3,0,19,22.9
6,2006-11-11,21-316,CLE,True,BOS,W (+1),1,9,17,.529,1,4,.250,19,23,.826,1,7,8,5,3,0,2,4,38,33.8
7,2006-11-13,21-318,CLE,False,NYK,W (+6),1,10,19,.526,3,4,.750,6,9,.667,0,4,4,6,2,1,3,2,29,22.8
8,2006-11-15,21-320,CLE,True,POR,W (+13),1,10,15,.667,3,6,.500,9,11,.818,0,7,7,7,2,1,4,2,32,29.6
9,2006-11-17,21-322,CLE,True,MIN,W (+16),1,12,24,.500,2,5,.400,11,14,.786,2,7,9,6,1,2,4,1,37,29.5
10,2006-11-18,21-323,CLE,False,WAS,L (-12),1,8,20,.400,0,1,.000,4,5,.800,2,3,5,4,2,0,3,2,20,12.1
11,2006-11-21,21-326,CLE,True,MEM,W (+3),1,7,21,.333,1,5,.200,0,1,.000,0,1,1,9,3,1,3,1,15,9.6
12,2006-11-22,21-327,CLE,False,TOR,L (-8),1,11,24,.458,2,7,.286,6,9,.667,0,10,10,8,4,0,2,1,30,26.6
