game,date,age,playerTeam,homeGame,opponent,result,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gameScoreStat
48,2014-02-08,29-040,MIA,False,UTA,L (-5),1,4,13,.308,1,6,.167,4,6,.667,0,7,7,5,0,0,5,2,13,4.5
49,2014-02-11,29-043,MIA,False,PHO,W (+6),1,12,22,.545,2,5,.400,11,14,.786,1,8,9,3,5,0,4,2,37,30.6
50,2014-02-12,29-044,MIA,False,GSW,W (+1),1,14,26,.538,4,8,.500,4,7,.571,1,12,13,9,2,0,2,1,36,32.4
51,2014-02-18,29-050,MIA,False,DAL,W (+11),1,16,23,.696,4,8,.500,6,8,.750,2,7,9,6,2,0,3,2,42,37.4
52,2014-02-20,29-052,MIA,False,OKC,W (+22),1,15,22,.682,1,5,.200,2,5,.400,1,6,7,3,4,0,8,1,33,22.6
,2014-02-23,29-055,MIA,True,CHI,W (+14),,,,,,,,,,,,,,,,,,,,
53,2014-02-27,29-059,MIA,True,NYK,W (+26),1,13,19,.684,1,2,.500,4,6,.667,0,4,4,4,0,0,1,0,31,25.1
54,2014-03-01,29-061,MIA,True,ORL,W (+14),1,8,12,.667,0,2,.000,4,5,.800,1,8,9,7,4,0,2,1,20,24.0
55,2014-03-03,29-063,MIA,True,CHA,W (+17),1,22,33,.667,8,10,.800,9,12,.750,3,4,7,4,0,0,2,2,61,48.8
56,2014-03-04,29-064,MIA,False,HOU,L (-3),1,9,18,.500,0,3,.000,4,6,.667,1,0,1,6,3,0,1,1,22,18.7
57,2014-03-06,29-066,MIA,False,SAS,L (-24),1,6,18,.333,0,3,.000,7,9,.778,3,5,8,7,2,0,5,5,19,11.5
58,2014-03-09,29-069,MIA,False,CHI,L (-7),1,8,23,.348,1,3,.333,0,0,,1,8,9,8,3,1,4,1,17,12.1
59,2014-03-10,29-070,MIA,True,WAS,W (+9),1,10,15,.667,3,4,.750,0,0,,2,5,7,8,3,0,3,3,23,23.8
60,2014-03-12,29-072,MIA,True,BRK,L (-1),1,6,13,.462,1,4,.250,6,9,.667,0,5,5,7,3,0,5,1,19,15.1
61,2014-03-14,29-074,MIA,True,DEN,L (-4),1,8,17,.471,0,4,.000,5,7,.714,0,6,6,6,1,0,4,3,21,13.3
62,2014-03-16,29-076,MIA,True,HOU,W (+9),1,8,17,.471,1,3,.333,7,8,.875,0,5,5,6,2,0,5,3,24,16.4
63,2014-03-18,29-078,MIA,False,CLE,W (+4),1,14,19,.737,6,8,.750,9,13,.692,0,6,6,4,2,3,0,1,43,42.0
,2014-03-19,29-079,MIA,False,BOS,L (-5),,,,,,,,,,,,,,,,,,,,
64,2014-03-21,29-081,MIA,True,MEM,W (+5),1,7,14,.500,0,2,.000,1,2,.500,1,5,6,7,2,1,3,0,15,14.4
65,2014-03-22,29-082,MIA,False,NOP,L (-10),1,10,18,.556,2,4,.500,3,3,1.000,1,7,8,9,0,1,3,1,25,22.8
66,2014-03-24,29-084,MIA,True,POR,W (+2),1,13,23,.565,0,1,.000,6,9,.667,4,2,6,5,4,0,5,2,32,25.0
67,2014-03-26,29-086,MIA,False,IND,L (-1),1,11,19,.579,2,6,.333,14,15,.933,0,8,8,5,0,0,6,3,38,27.4
68,2014-03-28,29-088,MIA,False,DET,W (+32),1,7,13,.538,1,3,.333,2,2,1.000,2,8,10,12,1,0,1,0,17,22.9
69,2014-03-29,29-089,MIA,False,MIL,W (+21),1,5,10,.500,1,3,.333,2,4,.500,2,5,7,2,0,0,4,1,13,7.1
70,2014-03-31,29-091,MIA,True,TOR,W (+10),1,11,20,.550,1,6,.167,9,11,.818,0,7,7,8,1,0,6,2,32,23.5
71,2014-04-02,29-093,MIA,True,MIL,W (+19),1,7,12,.583,1,3,.333,2,5,.400,0,4,4,8,1,1,2,0,17,16.7
72,2014-04-04,29-095,MIA,True,MIN,L (-1),1,12,24,.500,2,4,.500,8,10,.800,2,6,8,5,4,1,4,5,34,26.6
73,2014-04-06,29-097,MIA,True,NYK,W (+11),1,13,22,.591,3,7,.429,9,12,.750,0,5,5,6,1,0,5,0,38,28.3
74,2014-04-08,29-099,MIA,True,BRK,L (-1),1,9,16,.563,0,3,.000,11,14,.786,1,9,10,6,2,0,3,0,29,26.8
75,2014-04-09,29-100,MIA,False,MEM,L (-5),1,14,23,.609,3,5,.600,6,7,.857,1,5,6,5,2,0,5,1,37,28.4
76,2014-04-11,29-102,MIA,True,IND,W (+12),1,11,20,.550,2,4,.500,12,13,.923,1,5,6,1,1,1,2,1,36,28.2
77,2014-04-12,29-103,MIA,False,ATL,L (-13),1,10,22,.455,3,7,.429,4,8,.500,3,5,8,5,0,1,3,2,27,18.0
,2014-04-14,29-105,MIA,False,WAS,L (-21),,,,,,,,,,,,,,,,,,,,
,2014-04-16,29-107,MIA,True,PHI,L (-13),,,,,,,,,,,,,,,,,,,,
