game,date,age,playerTeam,homeGame,opponent,result,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gameScoreStat
1,2013-10-29,28-303,MIA,True,CHI,W (+12),1,5,11,.455,0,1,.000,7,9,.778,0,6,6,8,1,0,2,0,17,16.9
2,2013-10-30,28-304,MIA,False,PHI,L (-4),1,9,17,.529,4,7,.571,3,4,.750,0,4,4,13,0,0,4,3,25,21.4
3,2013-11-01,28-306,MIA,False,BRK,L (-1),1,11,19,.579,1,2,.500,3,5,.600,1,6,7,6,2,1,5,2,26,19.9
4,2013-11-03,28-308,MIA,True,WAS,W (+10),1,9,14,.643,3,5,.600,4,5,.800,0,3,3,5,1,0,6,2,25,17.0
5,2013-11-05,28-310,MIA,False,TOR,W (+9),1,13,20,.650,1,3,.333,8,8,1.000,2,6,8,8,0,1,1,2,35,33.9
6,2013-11-07,28-312,MIA,True,LAC,W (+5),1,6,13,.462,1,3,.333,5,9,.556,0,5,5,6,1,0,4,4,18,10.8
7,2013-11-09,28-314,MIA,True,BOS,L (-1),1,9,13,.692,0,0,,7,9,.778,1,7,8,10,0,0,5,1,25,23.1
8,2013-11-12,28-317,MIA,True,MIL,W (+23),1,13,21,.619,4,7,.571,3,6,.500,0,3,3,2,0,0,3,0,33,21.6
9,2013-11-15,28-320,MIA,True,DAL,W (+6),1,14,18,.778,1,1,1.000,10,11,.909,0,6,6,4,1,0,6,0,39,31.2
10,2013-11-16,28-321,MIA,False,CHA,W (+16),1,13,18,.722,0,0,,4,4,1.000,1,3,4,7,1,1,3,1,30,27.4
11,2013-11-19,28-324,MIA,True,ATL,W (+16),1,6,13,.462,0,0,,1,3,.333,2,4,6,5,1,0,3,0,13,9.6
12,2013-11-20,28-325,MIA,False,ORL,W (+28),1,5,11,.455,0,2,.000,11,11,1.000,1,5,6,7,1,1,4,0,21,20.1
13,2013-11-23,28-328,MIA,True,ORL,W (+2),1,7,13,.538,3,6,.500,5,7,.714,0,9,9,7,3,0,3,0,22,22.5
14,2013-11-25,28-330,MIA,True,PHO,W (+15),1,11,14,.786,2,4,.500,11,11,1.000,0,5,5,4,1,1,4,0,35,31.6
15,2013-11-27,28-332,MIA,False,CLE,W (+11),1,9,19,.474,1,3,.333,9,11,.818,0,8,8,8,3,0,1,3,28,26.3
16,2013-11-29,28-334,MIA,False,TOR,W (+7),1,10,17,.588,3,5,.600,4,6,.667,1,5,6,3,1,1,3,2,27,20.5
17,2013-12-01,28-336,MIA,True,CHA,W (+1),1,8,13,.615,1,3,.333,9,10,.900,0,5,5,4,1,1,3,0,26,22.7
18,2013-12-03,28-338,MIA,True,DET,L (-10),1,8,15,.533,2,5,.400,5,8,.625,3,2,5,6,2,1,6,2,23,17.3
19,2013-12-05,28-340,MIA,False,CHI,L (-20),1,7,17,.412,1,4,.250,6,8,.750,0,5,5,2,3,0,1,2,21,15.2
20,2013-12-07,28-342,MIA,False,MIN,W (+21),1,9,12,.750,0,0,,3,5,.600,4,10,14,8,2,0,7,3,21,20.6
21,2013-12-08,28-343,MIA,False,DET,W (+15),1,10,15,.667,0,2,.000,4,5,.800,1,6,7,9,2,0,6,2,24,21.1
22,2013-12-10,28-345,MIA,False,IND,L (-6),1,6,16,.375,1,4,.250,4,6,.667,1,13,14,6,2,0,5,3,17,12.0
23,2013-12-14,28-349,MIA,True,CLE,W (+7),1,9,12,.750,0,2,.000,7,10,.700,2,7,9,9,4,0,2,2,25,30.0
24,2013-12-16,28-351,MIA,True,UTA,W (+23),1,13,17,.765,0,1,.000,4,5,.800,1,8,9,9,1,0,3,1,30,29.9
25,2013-12-18,28-353,MIA,True,IND,W (+3),1,8,14,.571,1,3,.333,7,7,1.000,0,9,9,7,3,0,3,3,24,23.8
26,2013-12-20,28-355,MIA,True,SAC,W (+19),1,8,11,.727,1,2,.500,1,2,.500,2,4,6,8,1,1,1,1,18,21.6
27,2013-12-23,28-358,MIA,True,ATL,W (+2),1,16,28,.571,4,9,.444,2,6,.333,4,4,8,6,2,0,0,2,38,32.6
28,2013-12-25,28-360,MIA,False,LAL,W (+6),1,7,14,.500,0,4,.000,5,9,.556,0,8,8,4,0,0,2,2,19,12.8
29,2013-12-27,28-362,MIA,False,SAC,L (-5),1,12,23,.522,4,9,.444,5,6,.833,0,8,8,8,0,0,2,3,33,26.1
,2013-12-28,28-363,MIA,False,POR,W (+1),,,,,,,,,,,,,,,,,,,,
30,2013-12-30,29-000,MIA,False,DEN,W (+3),1,8,15,.533,5,9,.556,5,8,.625,1,5,6,10,0,1,4,0,26,23.4
31,2014-01-02,29-003,MIA,True,GSW,L (-9),1,10,16,.625,1,4,.250,5,8,.625,0,5,5,5,0,1,8,0,26,15.3
32,2014-01-04,29-005,MIA,False,ORL,W (+16),1,5,13,.385,0,1,.000,5,8,.625,1,7,8,8,1,0,3,1,15,12.7
33,2014-01-05,29-006,MIA,True,TOR,W (+5),1,12,18,.667,0,0,,6,7,.857,1,3,4,5,1,0,1,1,30,26.5
34,2014-01-07,29-008,MIA,True,NOP,W (+19),1,13,22,.591,3,6,.500,3,3,1.000,1,2,3,5,2,0,3,1,32,25.2
35,2014-01-09,29-010,MIA,False,NYK,L (-10),1,12,17,.706,1,4,.250,7,11,.636,0,5,5,6,1,1,6,2,32,23.9
36,2014-01-10,29-011,MIA,False,BRK,L (-9),1,12,21,.571,2,5,.400,10,12,.833,3,4,7,5,0,0,4,6,36,25.7
37,2014-01-15,29-016,MIA,False,WAS,L (-17),1,8,18,.444,0,4,.000,9,10,.900,2,6,8,7,2,0,4,1,25,20.9
38,2014-01-17,29-018,MIA,False,PHI,W (+15),1,7,13,.538,0,1,.000,7,8,.875,1,7,8,10,2,1,3,3,21,22.6
39,2014-01-18,29-019,MIA,False,CHA,W (+8),1,13,25,.520,0,3,.000,8,10,.800,2,6,8,6,1,0,2,4,34,25.7
40,2014-01-20,29-021,MIA,False,ATL,L (-7),1,11,21,.524,3,7,.429,5,8,.625,1,3,4,6,1,0,3,1,30,21.9
41,2014-01-21,29-022,MIA,True,BOS,W (+7),1,10,19,.526,0,4,.000,9,11,.818,1,7,8,4,2,0,3,1,29,23.1
42,2014-01-23,29-024,MIA,True,LAL,W (+7),1,9,15,.600,2,4,.500,7,13,.538,2,11,13,6,1,0,5,1,27,22.2
43,2014-01-26,29-027,MIA,True,SAS,W (+12),1,8,15,.533,1,3,.333,1,1,1.000,0,7,7,6,1,0,4,4,18,12.4
44,2014-01-29,29-030,MIA,True,OKC,L (-17),1,12,20,.600,1,5,.200,9,9,1.000,1,2,3,3,0,0,3,1,34,24.8
45,2014-02-01,29-033,MIA,False,NYK,W (+15),1,13,22,.591,1,3,.333,3,6,.500,1,7,8,7,6,0,2,3,30,29.1
46,2014-02-03,29-035,MIA,True,DET,W (+6),1,9,19,.474,0,3,.000,6,8,.750,1,7,8,11,2,2,1,1,24,26.0
47,2014-02-05,29-037,MIA,False,LAC,W (+4),1,11,20,.550,3,7,.429,6,8,.750,1,7,8,12,3,1,7,2,31,27.7
