Team Name,Wins,Losses
Milwaukee Bucks,60,22
Toronto Raptors,58,24
Golden State Warriors,57,25
Denver Nuggets,54,28
Houston Rockets,53,29
Portland Trail Blazers,53,29
Philadelphia 76ers,51,31
Utah Jazz,50,32
Boston Celtics,49,33
Oklahoma City Thunder,49,33
Indiana Pacers,48,34
Los Angeles Clippers,48,34
San Antonio Spurs,48,34
Brooklyn Nets,42,40
Orlando Magic,42,40
Detroit Pistons,41,41
Charlotte Hornets,39,43
Miami Heat,39,43
Sacramento Kings,39,43
Los Angeles Lakers,37,45
Minnesota Timberwolves,36,46
Dallas Mavericks,33,49
Memphis Grizzlies,33,49
New Orleans Pelicans,33,49
Washington Wizards,32,50
Atlanta Hawks,29,53
Chicago Bulls,22,60
Cleveland Cavaliers,19,63
Phoenix Suns,19,63
New York Knicks,17,65
