Home,Home Points,Visitor,Visitor Points
Phoenix Suns,102,Memphis Grizzlies,100
Portland Trail Blazers,111,Minnesota Timberwolves,81
Los Angeles Lakers,107,Toronto Raptors,121
Detroit Pistons,115,Miami Heat,120
Indiana Pacers,94,Houston Rockets,98
Orlando Magic,102,Cleveland Cavaliers,100
New York Knicks,115,Chicago Bulls,116
Oklahoma City Thunder,122,New Orleans Pelicans,116
Denver Nuggets,115,Boston Celtics,107
Utah Jazz,111,Toronto Raptors,124
Golden State Warriors,117,Memphis Grizzlies,101
Los Angeles Clippers,120,Minnesota Timberwolves,109
Charlotte Hornets,113,Atlanta Hawks,102
Dallas Mavericks,119,Washington Wizards,100
Phoenix Suns,82,Brooklyn Nets,104
Portland Trail Blazers,118,Milwaukee Bucks,103
Cleveland Cavaliers,86,Oklahoma City Thunder,95
Orlando Magic,96,Detroit Pistons,103
Atlanta Hawks,107,New York Knicks,112
Miami Heat,95,San Antonio Spurs,88
Indiana Pacers,94,Philadelphia 76ers,100
Memphis Grizzlies,89,Denver Nuggets,87
New Orleans Pelicans,107,Chicago Bulls,98
Utah Jazz,117,Dallas Mavericks,102
Sacramento Kings,105,Toronto Raptors,114
Los Angeles Lakers,114,Minnesota Timberwolves,110
Oklahoma City Thunder,98,Houston Rockets,80
Phoenix Suns,109,Boston Celtics,116
Portland Trail Blazers,116,Los Angeles Clippers,105
Golden State Warriors,111,Milwaukee Bucks,134
Orlando Magic,117,Washington Wizards,108
Philadelphia 76ers,133,Charlotte Hornets,132
Atlanta Hawks,109,Detroit Pistons,124
Miami Heat,102,Indiana Pacers,110
Denver Nuggets,110,Brooklyn Nets,112
Utah Jazz,123,Boston Celtics,115
Sacramento Kings,121,Minnesota Timberwolves,110
Toronto Raptors,128,New York Knicks,112
Los Angeles Clippers,128,Milwaukee Bucks,126
New Orleans Pelicans,119,Phoenix Suns,99
Chicago Bulls,99,Cleveland Cavaliers,98
Memphis Grizzlies,112,Philadelphia 76ers,106
Miami Heat,110,Washington Wizards,116
Golden State Warriors,116,Brooklyn Nets,100
San Antonio Spurs,96,Houston Rockets,89
Dallas Mavericks,111,Oklahoma City Thunder,96
Sacramento Kings,86,Los Angeles Lakers,101
Detroit Pistons,103,Charlotte Hornets,113
Houston Rockets,115,Indiana Pacers,103
New York Knicks,89,Orlando Magic,115
Denver Nuggets,114,Milwaukee Bucks,121
Portland Trail Blazers,100,Boston Celtics,94
Los Angeles Lakers,107,Atlanta Hawks,106
Washington Wizards,117,Orlando Magic,109
Miami Heat,114,Philadelphia 76ers,124
Toronto Raptors,110,New Orleans Pelicans,126
Chicago Bulls,98,Dallas Mavericks,103
Memphis Grizzlies,88,Utah Jazz,96
Minnesota Timberwolves,120,Brooklyn Nets,113
Oklahoma City Thunder,118,Phoenix Suns,101
Sacramento Kings,104,San Antonio Spurs,99
Los Angeles Clippers,121,Golden State Warriors,116
Cleveland Cavaliers,113,Charlotte Hornets,89
Denver Nuggets,99,Houston Rockets,109
Golden State Warriors,110,Atlanta Hawks,103
Orlando Magic,111,Philadelphia 76ers,106
Washington Wizards,119,Cleveland Cavaliers,95
Boston Celtics,111,Chicago Bulls,82
Brooklyn Nets,107,Miami Heat,120
Toronto Raptors,104,Detroit Pistons,106
Milwaukee Bucks,113,Memphis Grizzlies,116
Minnesota Timberwolves,107,New Orleans Pelicans,100
Oklahoma City Thunder,128,New York Knicks,103
Dallas Mavericks,118,Utah Jazz,68
Phoenix Suns,116,San Antonio Spurs,96
Los Angeles Lakers,126,Portland Trail Blazers,117
Houston Rockets,107,Golden State Warriors,86
Denver Nuggets,138,Atlanta Hawks,93
Los Angeles Clippers,116,San Antonio Spurs,111
Boston Celtics,123,Toronto Raptors,116
Indiana Pacers,99,Miami Heat,91
Philadelphia 76ers,113,Utah Jazz,107
Washington Wizards,104,Brooklyn Nets,115
Memphis Grizzlies,112,Sacramento Kings,104
Minnesota Timberwolves,112,Portland Trail Blazers,96
New Orleans Pelicans,129,New York Knicks,124
Milwaukee Bucks,123,Chicago Bulls,104
Brooklyn Nets,119,Los Angeles Clippers,127
Charlotte Hornets,119,Philadelphia 76ers,122
Indiana Pacers,97,Atlanta Hawks,89
New Orleans Pelicans,125,Denver Nuggets,115
Orlando Magic,130,Los Angeles Lakers,117
Boston Celtics,86,Utah Jazz,98
Chicago Bulls,83,Toronto Raptors,122
Houston Rockets,132,Sacramento Kings,112
Dallas Mavericks,112,Golden State Warriors,109
Phoenix Suns,100,Oklahoma City Thunder,110
Minnesota Timberwolves,87,Memphis Grizzlies,100
Miami Heat,97,Los Angeles Lakers,113
Orlando Magic,131,New York Knicks,117
Washington Wizards,109,Portland Trail Blazers,119
San Antonio Spurs,104,Golden State Warriors,92
Charlotte Hornets,117,Boston Celtics,112
Detroit Pistons,113,Cleveland Cavaliers,102
Indiana Pacers,121,Utah Jazz,94
Philadelphia 76ers,119,Phoenix Suns,114
Atlanta Hawks,119,Los Angeles Clippers,127
Memphis Grizzlies,98,Dallas Mavericks,88
Milwaukee Bucks,104,Denver Nuggets,98
New Orleans Pelicans,140,San Antonio Spurs,126
Sacramento Kings,117,Oklahoma City Thunder,113
Orlando Magic,91,Toronto Raptors,93
Washington Wizards,125,Los Angeles Clippers,118
Miami Heat,92,Brooklyn Nets,104
New York Knicks,114,Portland Trail Blazers,118
Charlotte Hornets,127,Indiana Pacers,109
Philadelphia 76ers,121,New Orleans Pelicans,120
Atlanta Hawks,108,Toronto Raptors,124
Boston Celtics,109,New York Knicks,117
Chicago Bulls,124,Phoenix Suns,116
Cleveland Cavaliers,105,Los Angeles Lakers,109
Houston Rockets,126,Detroit Pistons,124
Milwaukee Bucks,143,Portland Trail Blazers,100
Minnesota Timberwolves,101,Denver Nuggets,103
Dallas Mavericks,119,Brooklyn Nets,113
San Antonio Spurs,103,Memphis Grizzlies,104
Utah Jazz,110,Sacramento Kings,119
Golden State Warriors,95,Oklahoma City Thunder,123
Brooklyn Nets,102,Minnesota Timberwolves,112
Los Angeles Clippers,112,Memphis Grizzlies,107
Detroit Pistons,116,Houston Rockets,111
Atlanta Hawks,96,Boston Celtics,114
New York Knicks,114,New Orleans Pelicans,109
Philadelphia 76ers,112,Cleveland Cavaliers,121
Toronto Raptors,125,Washington Wizards,107
Chicago Bulls,96,Miami Heat,103
Indiana Pacers,100,San Antonio Spurs,111
Oklahoma City Thunder,109,Charlotte Hornets,104
