Home,Home Points,Visitor,Visitor Points
Cleveland Cavaliers,117,New York Knicks,88
Portland Trail Blazers,113,Utah Jazz,104
Golden State Warriors,100,San Antonio Spurs,129
Indiana Pacers,130,Dallas Mavericks,121
Orlando Magic,96,Miami Heat,108
Toronto Raptors,109,Detroit Pistons,91
Boston Celtics,122,Brooklyn Nets,117
Milwaukee Bucks,96,Charlotte Hornets,107
New Orleans Pelicans,102,Denver Nuggets,107
Memphis Grizzlies,102,Minnesota Timberwolves,98
Philadelphia 76ers,97,Oklahoma City Thunder,103
Phoenix Suns,94,Sacramento Kings,113
Los Angeles Lakers,120,Houston Rockets,114
Atlanta Hawks,114,Washington Wizards,99
Chicago Bulls,105,Boston Celtics,99
Portland Trail Blazers,106,Los Angeles Clippers,114
Sacramento Kings,94,San Antonio Spurs,102
Toronto Raptors,91,Cleveland Cavaliers,94
Brooklyn Nets,103,Indiana Pacers,94
Detroit Pistons,108,Orlando Magic,82
Oklahoma City Thunder,113,Phoenix Suns,110
Miami Heat,91,Charlotte Hornets,97
Dallas Mavericks,98,Houston Rockets,106
Utah Jazz,96,Los Angeles Lakers,89
New Orleans Pelicans,114,Golden State Warriors,122
Philadelphia 76ers,72,Atlanta Hawks,104
Charlotte Hornets,98,Boston Celtics,104
Cleveland Cavaliers,105,Orlando Magic,99
New York Knicks,111,Memphis Grizzlies,104
San Antonio Spurs,98,New Orleans Pelicans,79
Milwaukee Bucks,110,Brooklyn Nets,108
Chicago Bulls,118,Indiana Pacers,101
Denver Nuggets,113,Portland Trail Blazers,115
Sacramento Kings,106,Minnesota Timberwolves,103
Los Angeles Clippers,88,Utah Jazz,75
Detroit Pistons,98,Milwaukee Bucks,83
Miami Heat,99,San Antonio Spurs,106
Phoenix Suns,100,Golden State Warriors,106
Oklahoma City Thunder,113,Los Angeles Lakers,96
Houston Rockets,93,Dallas Mavericks,92
Memphis Grizzlies,112,Washington Wizards,103
Atlanta Hawks,106,Sacramento Kings,95
Brooklyn Nets,88,Chicago Bulls,118
Toronto Raptors,105,Denver Nuggets,102
Los Angeles Clippers,116,Phoenix Suns,98
Cleveland Cavaliers,128,Houston Rockets,120
Indiana Pacers,115,Los Angeles Lakers,108
Philadelphia 76ers,101,Orlando Magic,103
Detroit Pistons,102,New York Knicks,89
Miami Heat,108,Sacramento Kings,96
Minnesota Timberwolves,116,Memphis Grizzlies,80
New Orleans Pelicans,113,Milwaukee Bucks,117
San Antonio Spurs,91,Utah Jazz,106
Portland Trail Blazers,104,Golden State Warriors,127
Charlotte Hornets,109,Philadelphia 76ers,93
Washington Wizards,103,Toronto Raptors,113
Atlanta Hawks,116,Los Angeles Lakers,123
Brooklyn Nets,109,Detroit Pistons,101
New York Knicks,99,Houston Rockets,118
Boston Celtics,107,Chicago Bulls,100
Memphis Grizzlies,89,New Orleans Pelicans,83
Utah Jazz,97,Dallas Mavericks,81
Phoenix Suns,118,Portland Trail Blazers,115
Los Angeles Clippers,83,Oklahoma City Thunder,85
Orlando Magic,102,Sacramento Kings,94
Cleveland Cavaliers,128,Boston Celtics,122
Milwaukee Bucks,125,Indiana Pacers,107
Minnesota Timberwolves,99,Denver Nuggets,102
Golden State Warriors,122,Oklahoma City Thunder,96
Washington Wizards,95,Atlanta Hawks,92
Brooklyn Nets,95,Charlotte Hornets,99
Toronto Raptors,96,Miami Heat,87
Chicago Bulls,104,New York Knicks,117
Memphis Grizzlies,88,Los Angeles Clippers,99
New Orleans Pelicans,111,Phoenix Suns,112
Dallas Mavericks,95,Portland Trail Blazers,105
Utah Jazz,86,San Antonio Spurs,100
Los Angeles Lakers,117,Golden State Warriors,97
Oklahoma City Thunder,112,Minnesota Timberwolves,92
Detroit Pistons,103,Denver Nuggets,86
Indiana Pacers,111,Chicago Bulls,94
Orlando Magic,88,Washington Wizards,86
Philadelphia 76ers,101,Cleveland Cavaliers,102
