Home,Home Points,Visitor,Visitor Points
Atlanta Hawks,112,Houston Rockets,97
Milwaukee Bucks,117,Sacramento Kings,91
San Antonio Spurs,92,Los Angeles Clippers,116
New York Knicks,109,Utah Jazz,114
Memphis Grizzlies,94,Portland Trail Blazers,100
Toronto Raptors,91,Sacramento Kings,96
Dallas Mavericks,86,Milwaukee Bucks,75
Boston Celtics,107,Denver Nuggets,123
Los Angeles Lakers,119,Phoenix Suns,108
Charlotte Hornets,122,Indiana Pacers,100
Philadelphia 76ers,84,Utah Jazz,109
Washington Wizards,106,Houston Rockets,114
Chicago Bulls,112,Orlando Magic,80
Oklahoma City Thunder,97,Miami Heat,85
Golden State Warriors,116,New Orleans Pelicans,106
Los Angeles Clippers,114,Detroit Pistons,82
Cleveland Cavaliers,106,Atlanta Hawks,110
Brooklyn Nets,119,Minnesota Timberwolves,110
Memphis Grizzlies,108,Denver Nuggets,107
Portland Trail Blazers,124,Phoenix Suns,121
Los Angeles Lakers,97,Dallas Mavericks,109
Sacramento Kings,102,New Orleans Pelicans,94
Charlotte Hornets,104,Utah Jazz,98
Indiana Pacers,122,Philadelphia 76ers,115
New York Knicks,110,Brooklyn Nets,96
Orlando Magic,107,Minnesota Timberwolves,123
Washington Wizards,118,Boston Celtics,93
Atlanta Hawks,115,Chicago Bulls,107
Oklahoma City Thunder,102,Toronto Raptors,112
Phoenix Suns,107,Detroit Pistons,100
San Antonio Spurs,99,Houston Rockets,101
Golden State Warriors,116,Dallas Mavericks,95
Los Angeles Clippers,111,Portland Trail Blazers,80
Miami Heat,95,Chicago Bulls,98
Milwaukee Bucks,106,New Orleans Pelicans,112
Denver Nuggets,101,Golden State Warriors,125
Sacramento Kings,91,Los Angeles Lakers,101
Charlotte Hornets,111,Toronto Raptors,113
Orlando Magic,74,Utah Jazz,87
Philadelphia 76ers,109,Indiana Pacers,105
Washington Wizards,94,Cleveland Cavaliers,105
Boston Celtics,115,New York Knicks,87
Oklahoma City Thunder,108,Los Angeles Clippers,110
San Antonio Spurs,96,Detroit Pistons,86
Portland Trail Blazers,122,Sacramento Kings,120
Indiana Pacers,99,Boston Celtics,105
New Orleans Pelicans,99,Los Angeles Lakers,126
Atlanta Hawks,117,Philadelphia 76ers,96
Toronto Raptors,118,New York Knicks,107
Chicago Bulls,106,Washington Wizards,95
Houston Rockets,100,San Antonio Spurs,106
Miami Heat,91,Utah Jazz,102
Minnesota Timberwolves,105,Los Angeles Clippers,119
Milwaukee Bucks,106,Memphis Grizzlies,96
Denver Nuggets,95,Detroit Pistons,106
Phoenix Suns,104,Brooklyn Nets,122
Cleveland Cavaliers,100,Charlotte Hornets,93
Minnesota Timberwolves,125,Los Angeles Lakers,99
Oklahoma City Thunder,117,Orlando Magic,119
Golden State Warriors,133,Phoenix Suns,120
Portland Trail Blazers,112,Denver Nuggets,105
Indiana Pacers,88,Orlando Magic,69
Detroit Pistons,104,Oklahoma City Thunder,88
New York Knicks,93,Dallas Mavericks,77
Houston Rockets,115,Philadelphia 76ers,88
New Orleans Pelicans,106,Boston Celtics,105
San Antonio Spurs,94,Miami Heat,90
Utah Jazz,96,Memphis Grizzlies,102
Los Angeles Clippers,127,Brooklyn Nets,95
Cleveland Cavaliers,121,Toronto Raptors,117
Miami Heat,90,Atlanta Hawks,93
Minnesota Timberwolves,108,Charlotte Hornets,115
Portland Trail Blazers,88,Chicago Bulls,113
Los Angeles Lakers,125,Brooklyn Nets,118
Indiana Pacers,103,Cleveland Cavaliers,93
Orlando Magic,89,New Orleans Pelicans,82
Philadelphia 76ers,109,Washington Wizards,102
Atlanta Hawks,107,Milwaukee Bucks,100
Boston Celtics,90,Dallas Mavericks,83
New York Knicks,105,Detroit Pistons,102
Oklahoma City Thunder,105,Houston Rockets,103
Toronto Raptors,121,Golden State Warriors,127
Denver Nuggets,120,Phoenix Suns,104
Los Angeles Clippers,107,Memphis Grizzlies,111
Sacramento Kings,105,San Antonio Spurs,110
Washington Wizards,119,New York Knicks,112
Miami Heat,96,Milwaukee Bucks,73
Houston Rockets,126,Portland Trail Blazers,109
Minnesota Timberwolves,110,Philadelphia 76ers,86
Utah Jazz,77,Chicago Bulls,85
Charlotte Hornets,100,Atlanta Hawks,96
Indiana Pacers,96,Phoenix Suns,116
Cleveland Cavaliers,104,Detroit Pistons,81
Boston Celtics,88,Golden State Warriors,104
New Orleans Pelicans,113,Portland Trail Blazers,101
Oklahoma City Thunder,124,Brooklyn Nets,105
Dallas Mavericks,64,Memphis Grizzlies,80
Denver Nuggets,111,Toronto Raptors,113
Los Angeles Lakers,107,San Antonio Spurs,116
Sacramento Kings,115,Los Angeles Clippers,121
Houston Rockets,111,Utah Jazz,102
Detroit Pistons,92,Boston Celtics,94
New Orleans Pelicans,121,Charlotte Hornets,116
Orlando Magic,95,Dallas Mavericks,87
Washington Wizards,111,Miami Heat,114
Philadelphia 76ers,120,Phoenix Suns,105
Memphis Grizzlies,93,Minnesota Timberwolves,71
Milwaukee Bucks,121,Golden State Warriors,124
Los Angeles Clippers,102,Chicago Bulls,95
New York Knicks,104,Atlanta Hawks,94
Brooklyn Nets,109,Portland Trail Blazers,129
Oklahoma City Thunder,111,Indiana Pacers,115
Denver Nuggets,105,Utah Jazz,91
Sacramento Kings,102,Toronto Raptors,99
Los Angeles Lakers,110,Chicago Bulls,118
Charlotte Hornets,90,Memphis Grizzlies,105
Indiana Pacers,83,Golden State Warriors,120
Philadelphia 76ers,101,Miami Heat,94
Washington Wizards,106,Phoenix Suns,101
Detroit Pistons,96,Houston Rockets,99
Milwaukee Bucks,93,Orlando Magic,89
Minnesota Timberwolves,93,Boston Celtics,99
San Antonio Spurs,96,Dallas Mavericks,91
Los Angeles Clippers,123,Toronto Raptors,115
Atlanta Hawks,94,New Orleans Pelicans,112
New York Knicks,107,Portland Trail Blazers,103
Denver Nuggets,110,Chicago Bulls,107
Los Angeles Lakers,111,Oklahoma City Thunder,109
Charlotte Hornets,114,San Antonio Spurs,119
Cleveland Cavaliers,137,Portland Trail Blazers,125
Indiana Pacers,85,Atlanta Hawks,96
Orlando Magic,87,Phoenix Suns,92
Philadelphia 76ers,99,Memphis Grizzlies,104
Brooklyn Nets,92,Boston Celtics,111
Detroit Pistons,107,Miami Heat,84
Houston Rockets,102,Toronto Raptors,115
Dallas Mavericks,104,Los Angeles Clippers,124
Utah Jazz,108,Denver Nuggets,83
New Orleans Pelicans,117,Minnesota Timberwolves,96
Golden State Warriors,149,Los Angeles Lakers,106
Sacramento Kings,116,Oklahoma City Thunder,101
Boston Celtics,103,San Antonio Spurs,109
Orlando Magic,91,Washington Wizards,94
Cleveland Cavaliers,128,Dallas Mavericks,90
Detroit Pistons,108,Los Angeles Clippers,97
New York Knicks,113,Charlotte Hornets,111
Philadelphia 76ers,89,Chicago Bulls,105
Indiana Pacers,118,Brooklyn Nets,97
Memphis Grizzlies,81,Miami Heat,90
Milwaukee Bucks,99,Toronto Raptors,105
Utah Jazz,95,Atlanta Hawks,68
Denver Nuggets,129,Oklahoma City Thunder,132
Phoenix Suns,85,Minnesota Timberwolves,98
Portland Trail Blazers,119,New Orleans Pelicans,104
Los Angeles Lakers,85,Golden State Warriors,109
Sacramento Kings,104,Houston Rockets,117
Charlotte Hornets,107,New York Knicks,102
Washington Wizards,100,San Antonio Spurs,112
Miami Heat,107,Memphis Grizzlies,110
Oklahoma City Thunder,106,Detroit Pistons,88
Golden State Warriors,115,Minnesota Timberwolves,102
Philadelphia 76ers,108,Cleveland Cavaliers,112
Phoenix Suns,114,Denver Nuggets,120
Brooklyn Nets,105,Sacramento Kings,122
Indiana Pacers,91,Los Angeles Clippers,70
Orlando Magic,96,Milwaukee Bucks,104
Dallas Mavericks,91,New Orleans Pelicans,81
Portland Trail Blazers,114,Houston Rockets,130
Los Angeles Lakers,109,Atlanta Hawks,94
Washington Wizards,101,Sacramento Kings,95
Miami Heat,104,Boston Celtics,112
New York Knicks,103,Oklahoma City Thunder,112
Toronto Raptors,122,Philadelphia 76ers,95
Memphis Grizzlies,85,Charlotte Hornets,104
Minnesota Timberwolves,103,Utah Jazz,112
Golden State Warriors,105,Atlanta Hawks,100
Charlotte Hornets,89,Detroit Pistons,112
Brooklyn Nets,127,Los Angeles Clippers,122
Milwaukee Bucks,118,Cleveland Cavaliers,101
New Orleans Pelicans,105,Los Angeles Lakers,88
San Antonio Spurs,83,Orlando Magic,95
Utah Jazz,120,Houston Rockets,101
Boston Celtics,114,Detroit Pistons,121
Toronto Raptors,120,Memphis Grizzlies,105
Chicago Bulls,90,Los Angeles Lakers,96
Minnesota Timberwolves,104,New York Knicks,106
Oklahoma City Thunder,126,Washington Wizards,115
Dallas Mavericks,87,San Antonio Spurs,94
Denver Nuggets,98,Miami Heat,106
Phoenix Suns,109,Atlanta Hawks,107
Portland Trail Blazers,131,Indiana Pacers,109
Charlotte Hornets,97,Dallas Mavericks,87
Brooklyn Nets,93,Milwaukee Bucks,111
Cleveland Cavaliers,94,Los Angeles Clippers,113
Memphis Grizzlies,95,Orlando Magic,94
Utah Jazz,110,Miami Heat,111
Golden State Warriors,127,Houston Rockets,132
Philadelphia 76ers,88,Orlando Magic,105
Boston Celtics,97,Sacramento Kings,92
New York Knicks,118,Minnesota Timberwolves,114
Toronto Raptors,113,Los Angeles Lakers,80
Atlanta Hawks,85,Detroit Pistons,121
Chicago Bulls,111,Cleveland Cavaliers,105
New Orleans Pelicans,96,Los Angeles Clippers,114
San Antonio Spurs,107,Washington Wizards,105
Denver Nuggets,110,Houston Rockets,128
Milwaukee Bucks,112,Brooklyn Nets,103
Charlotte Hornets,120,Minnesota Timberwolves,125
Philadelphia 76ers,106,Boston Celtics,107
Toronto Raptors,128,Atlanta Hawks,84
Memphis Grizzlies,103,Los Angeles Lakers,100
Dallas Mavericks,107,Chicago Bulls,82
Utah Jazz,105,Denver Nuggets,98
Portland Trail Blazers,99,Miami Heat,92
Golden State Warriors,138,Phoenix Suns,109
Detroit Pistons,92,Orlando Magic,98
Oklahoma City Thunder,101,New Orleans Pelicans,92
New York Knicks,106,Sacramento Kings,98
Los Angeles Clippers,102,Indiana Pacers,111
Philadelphia 76ers,98,Denver Nuggets,106
Atlanta Hawks,99,Oklahoma City Thunder,102
Brooklyn Nets,113,Washington Wizards,118
Toronto Raptors,112,Cleveland Cavaliers,116
Chicago Bulls,110,Portland Trail Blazers,112
Houston Rockets,107,Boston Celtics,106
Milwaukee Bucks,96,San Antonio Spurs,97
New Orleans Pelicans,108,Memphis Grizzlies,110
Dallas Mavericks,101,Charlotte Hornets,109
Golden State Warriors,142,Indiana Pacers,106
Los Angeles Lakers,101,Utah Jazz,107
Washington Wizards,116,Orlando Magic,124
Detroit Pistons,102,Chicago Bulls,91
Miami Heat,103,New York Knicks,114
Memphis Grizzlies,96,Philadelphia 76ers,91
Minnesota Timberwolves,91,San Antonio Spurs,105
Utah Jazz,112,Phoenix Suns,105
Charlotte Hornets,87,Detroit Pistons,77
Orlando Magic,87,Boston Celtics,117
Atlanta Hawks,103,Miami Heat,95
Brooklyn Nets,116,Denver Nuggets,111
Houston Rockets,134,Los Angeles Lakers,95
Milwaukee Bucks,115,Portland Trail Blazers,107
New York Knicks,94,Cleveland Cavaliers,126
Dallas Mavericks,89,Sacramento Kings,120
Phoenix Suns,94,Indiana Pacers,109
Los Angeles Clippers,98,Golden State Warriors,115
Toronto Raptors,124,Minnesota Timberwolves,110
Washington Wizards,92,Denver Nuggets,85
Memphis Grizzlies,88,Portland Trail Blazers,86
New Orleans Pelicans,88,Philadelphia 76ers,99
Utah Jazz,99,Golden State Warriors,106
Chicago Bulls,95,San Antonio Spurs,91
Charlotte Hornets,109,Orlando Magic,88
Boston Celtics,94,Toronto Raptors,101
Cleveland Cavaliers,114,Miami Heat,84
Milwaukee Bucks,110,Atlanta Hawks,114
Minnesota Timberwolves,90,Detroit Pistons,117
Oklahoma City Thunder,99,Houston Rockets,102
Dallas Mavericks,111,Indiana Pacers,103
Los Angeles Lakers,115,Phoenix Suns,119
Sacramento Kings,100,New York Knicks,103
Indiana Pacers,118,Portland Trail Blazers,111
Orlando Magic,113,Denver Nuggets,121
Washington Wizards,110,Milwaukee Bucks,105
Cleveland Cavaliers,116,Charlotte Hornets,105
Chicago Bulls,105,Miami Heat,100
Houston Rockets,109,Dallas Mavericks,87
Memphis Grizzlies,110,Golden State Warriors,89
San Antonio Spurs,130,Brooklyn Nets,101
Utah Jazz,104,Sacramento Kings,84
Los Angeles Clippers,133,New Orleans Pelicans,105
Detroit Pistons,79,Philadelphia 76ers,97
Minnesota Timberwolves,108,Golden State Warriors,116
Oklahoma City Thunder,99,Boston Celtics,96
Phoenix Suns,119,New Orleans Pelicans,120
Los Angeles Lakers,112,New York Knicks,118
Indiana Pacers,110,Charlotte Hornets,94
Miami Heat,112,Washington Wizards,101
Toronto Raptors,122,Milwaukee Bucks,100
Houston Rockets,122,Brooklyn Nets,118
Dallas Mavericks,112,Denver Nuggets,92
Los Angeles Clippers,121,Portland Trail Blazers,120
Sacramento Kings,116,Los Angeles Lakers,92
Cleveland Cavaliers,103,Memphis Grizzlies,86
Atlanta Hawks,120,Orlando Magic,131
Chicago Bulls,94,Minnesota Timberwolves,99
New Orleans Pelicans,109,Golden State Warriors,113
Phoenix Suns,113,New York Knicks,111
Portland Trail Blazers,114,Oklahoma City Thunder,95
Miami Heat,95,Indiana Pacers,89
Orlando Magic,108,Los Angeles Clippers,113
Philadelphia 76ers,114,Toronto Raptors,123
Washington Wizards,109,Charlotte Hornets,106
Brooklyn Nets,107,Los Angeles Lakers,97
Houston Rockets,132,Sacramento Kings,98
Memphis Grizzlies,93,Cleveland Cavaliers,85
Dallas Mavericks,85,Detroit Pistons,95
Utah Jazz,109,Oklahoma City Thunder,89
San Antonio Spurs,108,Boston Celtics,101
Milwaukee Bucks,108,Chicago Bulls,97
New Orleans Pelicans,102,Indiana Pacers,95
Denver Nuggets,132,Portland Trail Blazers,120
Phoenix Suns,92,San Antonio Spurs,107
Golden State Warriors,103,New York Knicks,90
Orlando Magic,118,Brooklyn Nets,111
Washington Wizards,122,Detroit Pistons,108
Boston Celtics,96,Charlotte Hornets,88
Toronto Raptors,121,Atlanta Hawks,125
Chicago Bulls,69,Milwaukee Bucks,95
Houston Rockets,122,New Orleans Pelicans,100
Memphis Grizzlies,92,Sacramento Kings,96
Miami Heat,98,Los Angeles Clippers,102
Philadelphia 76ers,89,Los Angeles Lakers,100
Utah Jazz,103,Dallas Mavericks,100
Oklahoma City Thunder,114,Phoenix Suns,101
Detroit Pistons,90,Indiana Pacers,105
Atlanta Hawks,99,Charlotte Hornets,107
Cleveland Cavaliers,119,Los Angeles Lakers,108
Minnesota Timberwolves,109,Houston Rockets,111
Denver Nuggets,127,New York Knicks,114
Golden State Warriors,135,Portland Trail Blazers,90
Washington Wizards,117,Los Angeles Clippers,110
Dallas Mavericks,99,Sacramento Kings,79
Memphis Grizzlies,73,Utah Jazz,82
Miami Heat,95,Boston Celtics,105
Orlando Magic,79,Toronto Raptors,109
Philadelphia 76ers,108,Brooklyn Nets,107
San Antonio Spurs,113,New Orleans Pelicans,100
Indiana Pacers,107,Washington Wizards,105
Chicago Bulls,113,Detroit Pistons,82
Minnesota Timberwolves,115,Phoenix Suns,108
Oklahoma City Thunder,108,Atlanta Hawks,110
Denver Nuggets,117,Dallas Mavericks,107
Charlotte Hornets,117,Los Angeles Lakers,113
Philadelphia 76ers,93,New Orleans Pelicans,108
Miami Heat,130,Orlando Magic,136
New York Knicks,118,Indiana Pacers,111
Toronto Raptors,116,Brooklyn Nets,104
Houston Rockets,100,San Antonio Spurs,102
Memphis Grizzlies,109,Boston Celtics,112
Milwaukee Bucks,108,Cleveland Cavaliers,114
Golden State Warriors,104,Utah Jazz,74
Los Angeles Clippers,119,Denver Nuggets,102
Sacramento Kings,126,Portland Trail Blazers,121
Cleveland Cavaliers,113,Milwaukee Bucks,102
Atlanta Hawks,84,Minnesota Timberwolves,92
Detroit Pistons,86,Memphis Grizzlies,98
Chicago Bulls,97,Washington Wizards,107
New Orleans Pelicans,110,Oklahoma City Thunder,121
Phoenix Suns,111,Houston Rockets,125
Utah Jazz,93,Sacramento Kings,94
Portland Trail Blazers,95,Dallas Mavericks,96
Indiana Pacers,102,Boston Celtics,109
Brooklyn Nets,101,Golden State Warriors,117
New York Knicks,106,Orlando Magic,95
Miami Heat,115,Los Angeles Lakers,107
Los Angeles Clippers,106,San Antonio Spurs,101
Charlotte Hornets,103,Chicago Bulls,91
Orlando Magic,109,Los Angeles Lakers,90
Boston Celtics,112,Oklahoma City Thunder,117
Cleveland Cavaliers,119,Brooklyn Nets,99
Detroit Pistons,113,Golden State Warriors,119
Memphis Grizzlies,115,Houston Rockets,109
Milwaukee Bucks,123,Washington Wizards,96
Minnesota Timberwolves,105,Sacramento Kings,109
New Orleans Pelicans,91,Miami Heat,87
Denver Nuggets,108,Atlanta Hawks,109
Phoenix Suns,123,Philadelphia 76ers,116
Utah Jazz,98,Toronto Raptors,104
Portland Trail Blazers,90,San Antonio Spurs,110
Los Angeles Clippers,88,Dallas Mavericks,90
New York Knicks,114,Boston Celtics,119
Cleveland Cavaliers,109,Golden State Warriors,108
San Antonio Spurs,119,Chicago Bulls,100
Oklahoma City Thunder,112,Minnesota Timberwolves,100
Los Angeles Lakers,111,Los Angeles Clippers,102
Orlando Magic,112,Memphis Grizzlies,102
Washington Wizards,107,Milwaukee Bucks,102
Brooklyn Nets,120,Charlotte Hornets,118
Detroit Pistons,106,Cleveland Cavaliers,90
Chicago Bulls,90,Indiana Pacers,85
Houston Rockets,131,Phoenix Suns,115
Minnesota Timberwolves,104,Atlanta Hawks,90
New Orleans Pelicans,111,Dallas Mavericks,104
Portland Trail Blazers,91,Toronto Raptors,95
Los Angeles Clippers,102,Denver Nuggets,106
Sacramento Kings,102,Philadelphia 76ers,100
Boston Celtics,113,Memphis Grizzlies,103
Miami Heat,94,Oklahoma City Thunder,106
Dallas Mavericks,107,Houston Rockets,123
Los Angeles Lakers,100,Utah Jazz,102
Orlando Magic,101,Charlotte Hornets,120
Washington Wizards,111,Indiana Pacers,105
Atlanta Hawks,102,New York Knicks,98
Detroit Pistons,94,Milwaukee Bucks,119
Chicago Bulls,101,Brooklyn Nets,99
New Orleans Pelicans,102,Los Angeles Clippers,98
San Antonio Spurs,119,Phoenix Suns,98
Denver Nuggets,105,Minnesota Timberwolves,103
Portland Trail Blazers,102,Sacramento Kings,89
Golden State Warriors,121,Toronto Raptors,111
Charlotte Hornets,91,Miami Heat,82
Cleveland Cavaliers,124,Boston Celtics,118
Memphis Grizzlies,114,Oklahoma City Thunder,80
Phoenix Suns,99,Toronto Raptors,91
Utah Jazz,100,Philadelphia 76ers,83
Los Angeles Lakers,89,Dallas Mavericks,101
Indiana Pacers,111,Chicago Bulls,101
Washington Wizards,118,Brooklyn Nets,95
Boston Celtics,117,Miami Heat,114
Atlanta Hawks,105,Detroit Pistons,98
Houston Rockets,140,Los Angeles Clippers,116
Minnesota Timberwolves,116,Milwaukee Bucks,99
New Orleans Pelicans,104,New York Knicks,92
San Antonio Spurs,110,Portland Trail Blazers,94
Denver Nuggets,122,Philadelphia 76ers,124
Golden State Warriors,108,Dallas Mavericks,99
Sacramento Kings,98,Memphis Grizzlies,112
Chicago Bulls,96,Milwaukee Bucks,116
Charlotte Hornets,109,Cleveland Cavaliers,121
Houston Rockets,129,New York Knicks,122
Oklahoma City Thunder,114,Los Angeles Clippers,88
Utah Jazz,91,Phoenix Suns,86
Atlanta Hawks,114,San Antonio Spurs,112
Indiana Pacers,117,Orlando Magic,104
Miami Heat,98,Detroit Pistons,107
Minnesota Timberwolves,89,Portland Trail Blazers,95
Los Angeles Lakers,114,Toronto Raptors,123
Cleveland Cavaliers,90,New Orleans Pelicans,82
Milwaukee Bucks,98,Oklahoma City Thunder,94
Brooklyn Nets,89,Utah Jazz,101
New York Knicks,103,Orlando Magic,115
Chicago Bulls,118,Charlotte Hornets,111
Houston Rockets,101,Washington Wizards,91
Golden State Warriors,127,Denver Nuggets,119
Los Angeles Clippers,109,Phoenix Suns,98
Philadelphia 76ers,93,Minnesota Timberwolves,91
Boston Celtics,115,Utah Jazz,104
Detroit Pistons,116,Indiana Pacers,121
Dallas Mavericks,113,Washington Wizards,105
San Antonio Spurs,110,Toronto Raptors,82
Denver Nuggets,113,Sacramento Kings,120
Phoenix Suns,99,Miami Heat,90
Los Angeles Lakers,116,Memphis Grizzlies,102
Charlotte Hornets,123,Oklahoma City Thunder,112
Orlando Magic,92,Atlanta Hawks,111
New York Knicks,104,Milwaukee Bucks,105
Cleveland Cavaliers,94,Chicago Bulls,106
Golden State Warriors,125,Portland Trail Blazers,117
Los Angeles Clippers,115,Memphis Grizzlies,106
Sacramento Kings,102,Miami Heat,107
Indiana Pacers,121,Brooklyn Nets,109
Detroit Pistons,115,Charlotte Hornets,114
Toronto Raptors,101,Utah Jazz,93
Houston Rockets,118,Oklahoma City Thunder,116
New Orleans Pelicans,94,Atlanta Hawks,99
Dallas Mavericks,95,Phoenix Suns,102
Denver Nuggets,99,San Antonio Spurs,127
Portland Trail Blazers,118,Los Angeles Lakers,109
Orlando Magic,93,Houston Rockets,100
Washington Wizards,112,Minnesota Timberwolves,105
Boston Celtics,110,Philadelphia 76ers,106
Brooklyn Nets,108,Cleveland Cavaliers,116
Milwaukee Bucks,111,New York Knicks,116
Golden State Warriors,119,Memphis Grizzlies,128
Los Angeles Lakers,127,Miami Heat,100
Sacramento Kings,98,Los Angeles Clippers,106
Indiana Pacers,123,New York Knicks,109
Boston Celtics,117,New Orleans Pelicans,108
Chicago Bulls,123,Toronto Raptors,118
Minnesota Timberwolves,92,Utah Jazz,94
Oklahoma City Thunder,121,Denver Nuggets,106
Dallas Mavericks,82,Atlanta Hawks,97
San Antonio Spurs,102,Charlotte Hornets,85
Brooklyn Nets,95,Philadelphia 76ers,105
Milwaukee Bucks,101,Washington Wizards,107
Los Angeles Clippers,98,Miami Heat,86
Toronto Raptors,122,Houston Rockets,129
Memphis Grizzlies,88,Utah Jazz,79
Phoenix Suns,116,Cleveland Cavaliers,120
Portland Trail Blazers,124,Detroit Pistons,125
Sacramento Kings,106,Golden State Warriors,117
Los Angeles Lakers,111,Orlando Magic,95
New York Knicks,96,New Orleans Pelicans,110
Chicago Bulls,94,Oklahoma City Thunder,109
Minnesota Timberwolves,101,Dallas Mavericks,92
Washington Wizards,101,Chicago Bulls,99
Brooklyn Nets,97,Atlanta Hawks,117
Toronto Raptors,114,Boston Celtics,106
Houston Rockets,121,Charlotte Hornets,114
San Antonio Spurs,107,Milwaukee Bucks,109
Utah Jazz,100,Cleveland Cavaliers,92
Golden State Warriors,107,Miami Heat,95
Los Angeles Lakers,87,Portland Trail Blazers,108
Sacramento Kings,100,Detroit Pistons,94
Philadelphia 76ers,98,New York Knicks,97
Boston Celtics,117,Washington Wizards,108
Minnesota Timberwolves,119,Houston Rockets,105
Oklahoma City Thunder,103,Memphis Grizzlies,95
Los Angeles Clippers,105,Orlando Magic,96
Portland Trail Blazers,102,Cleveland Cavaliers,86
Denver Nuggets,140,Indiana Pacers,112
Brooklyn Nets,95,New Orleans Pelicans,104
New York Knicks,104,Chicago Bulls,89
San Antonio Spurs,134,Los Angeles Lakers,94
Phoenix Suns,108,Dallas Mavericks,113
Golden State Warriors,127,Detroit Pistons,107
Philadelphia 76ers,102,Charlotte Hornets,93
Toronto Raptors,132,Brooklyn Nets,113
Atlanta Hawks,101,Boston Celtics,103
Houston Rockets,105,Memphis Grizzlies,110
Milwaukee Bucks,116,Miami Heat,108
Minnesota Timberwolves,96,Oklahoma City Thunder,86
Portland Trail Blazers,109,Orlando Magic,115
Sacramento Kings,108,Cleveland Cavaliers,120
Utah Jazz,110,Detroit Pistons,77
