Team Name,Wins,Losses
Golden State Warriors,73,9
San Antonio Spurs,67,15
Cleveland Cavaliers,57,25
Toronto Raptors,56,26
Oklahoma City Thunder,55,27
Los Angeles Clippers,53,29
Atlanta Hawks,48,34
Boston Celtics,48,34
Charlotte Hornets,48,34
Miami Heat,48,34
Indiana Pacers,45,37
Detroit Pistons,44,38
Portland Trail Blazers,44,38
Dallas Mavericks,42,40
Memphis Grizzlies,42,40
Chicago Bulls,42,40
Houston Rockets,41,41
Washington Wizards,41,41
Utah Jazz,40,42
Orlando Magic,35,47
Denver Nuggets,33,49
Milwaukee Bucks,33,49
Sacramento Kings,33,49
New York Knicks,32,50
New Orleans Pelicans,30,52
Minnesota Timberwolves,29,53
Phoenix Suns,23,59
Brooklyn Nets,21,61
Los Angeles Lakers,17,65
Philadelphia 76ers,10,72
