Team 1,Team 1 Points,Team 2,Team 2 Points,Home Team
Atlanta Hawks,118,Detroit Pistons,115,Atlanta Hawks
Boston Celtics,99,Cleveland Cavaliers,121,Boston Celtics
Indiana Pacers,121,New York Knicks,113,Indiana Pacers
Houston Rockets,104,Dallas Mavericks,97,Houston Rockets
Minnesota Timberwolves,111,Sacramento Kings,106,Minnesota Timberwolves
Oklahoma City Thunder,110,Memphis Grizzlies,92,Oklahoma City Thunder
Portland Trail Blazers,96,Utah Jazz,115,Portland Trail Blazers
Detroit Pistons,103,New Orleans Pelicans,118,Detroit Pistons
Philadelphia 76ers,108,New York Knicks,92,Philadelphia 76ers
Brooklyn Nets,101,Los Angeles Clippers,114,Brooklyn Nets
Chicago Bulls,105,Orlando Magic,101,Chicago Bulls
Utah Jazz,101,San Antonio Spurs,99,Utah Jazz
Golden State Warriors,129,Phoenix Suns,83,Golden State Warriors
Toronto Raptors,115,Miami Heat,112,Toronto Raptors
Milwaukee Bucks,97,Atlanta Hawks,92,Milwaukee Bucks
Minnesota Timberwolves,108,Houston Rockets,126,Minnesota Timberwolves
Oklahoma City Thunder,112,Cleveland Cavaliers,120,Oklahoma City Thunder
Dallas Mavericks,109,Sacramento Kings,114,Dallas Mavericks
Denver Nuggets,117,San Antonio Spurs,109,Denver Nuggets
Detroit Pistons,104,Atlanta Hawks,98,Detroit Pistons
Orlando Magic,102,Charlotte Hornets,104,Orlando Magic
Philadelphia 76ers,104,Miami Heat,102,Philadelphia 76ers
Brooklyn Nets,103,Indiana Pacers,108,Brooklyn Nets
New York Knicks,113,Washington Wizards,118,New York Knicks
Boston Celtics,119,Los Angeles Clippers,129,Boston Celtics
Chicago Bulls,98,Toronto Raptors,122,Chicago Bulls
Houston Rockets,100,Sacramento Kings,91,Houston Rockets
Memphis Grizzlies,114,Oklahoma City Thunder,121,Memphis Grizzlies
New Orleans Pelicans,139,Los Angeles Lakers,117,New Orleans Pelicans
Utah Jazz,107,Phoenix Suns,97,Utah Jazz
Portland Trail Blazers,123,Golden State Warriors,117,Portland Trail Blazers
Milwaukee Bucks,123,Denver Nuggets,134,Milwaukee Bucks
Minnesota Timberwolves,119,Los Angeles Lakers,111,Minnesota Timberwolves
Charlotte Hornets,111,Brooklyn Nets,96,Charlotte Hornets
Orlando Magic,113,New York Knicks,120,Orlando Magic
Chicago Bulls,115,Philadelphia 76ers,116,Chicago Bulls
Cleveland Cavaliers,103,Washington Wizards,110,Cleveland Cavaliers
Sacramento Kings,107,Oklahoma City Thunder,110,Sacramento Kings
Golden State Warriors,134,Los Angeles Clippers,127,Golden State Warriors
Detroit Pistons,98,Boston Celtics,110,Detroit Pistons
Indiana Pacers,116,Atlanta Hawks,93,Indiana Pacers
Washington Wizards,105,Charlotte Hornets,122,Washington Wizards
Toronto Raptors,119,Milwaukee Bucks,122,Toronto Raptors
Houston Rockets,120,Minnesota Timberwolves,102,Houston Rockets
Memphis Grizzlies,89,Cleveland Cavaliers,112,Memphis Grizzlies
New Orleans Pelicans,124,Miami Heat,123,New Orleans Pelicans
Denver Nuggets,122,San Antonio Spurs,119,Denver Nuggets
Phoenix Suns,117,Los Angeles Clippers,128,Phoenix Suns
Utah Jazz,81,Portland Trail Blazers,100,Utah Jazz
Los Angeles Lakers,124,Dallas Mavericks,102,Los Angeles Lakers
Philadelphia 76ers,116,Orlando Magic,105,Philadelphia 76ers
Miami Heat,115,Memphis Grizzlies,89,Miami Heat
New York Knicks,112,Boston Celtics,121,New York Knicks
Golden State Warriors,112,Oklahoma City Thunder,80,Golden State Warriors
Minnesota Timberwolves,122,Chicago Bulls,104,Minnesota Timberwolves
Phoenix Suns,104,Portland Trail Blazers,106,Phoenix Suns
Utah Jazz,97,Dallas Mavericks,90,Utah Jazz
Sacramento Kings,108,Los Angeles Lakers,113,Sacramento Kings
Charlotte Hornets,114,Detroit Pistons,98,Charlotte Hornets
Milwaukee Bucks,121,New Orleans Pelicans,123,Milwaukee Bucks
Cleveland Cavaliers,94,San Antonio Spurs,110,Cleveland Cavaliers
Denver Nuggets,114,Houston Rockets,119,Denver Nuggets
