Home,Home Points,Visitor,Visitor Points
Chicago Bulls,97,Cleveland Cavaliers,95
Atlanta Hawks,94,Detroit Pistons,106
Golden State Warriors,111,New Orleans Pelicans,95
Orlando Magic,87,Washington Wizards,88
Boston Celtics,112,Philadelphia 76ers,95
Brooklyn Nets,100,Chicago Bulls,115
Detroit Pistons,92,Utah Jazz,87
Toronto Raptors,106,Indiana Pacers,99
Miami Heat,104,Charlotte Hornets,94
Milwaukee Bucks,97,New York Knicks,122
Oklahoma City Thunder,112,San Antonio Spurs,106
Memphis Grizzlies,76,Cleveland Cavaliers,106
Houston Rockets,85,Denver Nuggets,105
Phoenix Suns,95,Dallas Mavericks,111
Portland Trail Blazers,112,New Orleans Pelicans,94
Sacramento Kings,104,Los Angeles Clippers,111
Los Angeles Lakers,111,Minnesota Timberwolves,112
Indiana Pacers,103,Memphis Grizzlies,112
New York Knicks,101,Atlanta Hawks,112
Los Angeles Clippers,104,Dallas Mavericks,88
Cleveland Cavaliers,102,Miami Heat,92
Philadelphia 76ers,71,Utah Jazz,99
Orlando Magic,136,Oklahoma City Thunder,139
Boston Celtics,103,Toronto Raptors,113
Detroit Pistons,98,Chicago Bulls,94
Atlanta Hawks,97,Charlotte Hornets,94
Milwaukee Bucks,113,Washington Wizards,118
San Antonio Spurs,102,Brooklyn Nets,75
Denver Nuggets,78,Minnesota Timberwolves,95
Houston Rockets,92,Golden State Warriors,112
Sacramento Kings,132,Los Angeles Lakers,114
Phoenix Suns,110,Portland Trail Blazers,92
Indiana Pacers,76,Utah Jazz,97
Washington Wizards,110,New York Knicks,117
New Orleans Pelicans,120,Golden State Warriors,134
Memphis Grizzlies,101,Brooklyn Nets,91
Portland Trail Blazers,90,Phoenix Suns,101
Los Angeles Clippers,114,Sacramento Kings,109
Charlotte Hornets,92,Atlanta Hawks,94
Boston Celtics,87,San Antonio Spurs,95
Miami Heat,109,Houston Rockets,89
Toronto Raptors,106,Milwaukee Bucks,87
Chicago Bulls,92,Orlando Magic,87
Oklahoma City Thunder,117,Denver Nuggets,93
Los Angeles Lakers,93,Dallas Mavericks,103
Philadelphia 76ers,100,Cleveland Cavaliers,107
Brooklyn Nets,96,Milwaukee Bucks,103
New York Knicks,84,San Antonio Spurs,94
Houston Rockets,110,Oklahoma City Thunder,105
Minnesota Timberwolves,101,Portland Trail Blazers,106
Golden State Warriors,119,Memphis Grizzlies,69
Los Angeles Clippers,102,Phoenix Suns,96
Charlotte Hornets,130,Chicago Bulls,105
Detroit Pistons,82,Indiana Pacers,94
Miami Heat,92,Atlanta Hawks,98
New Orleans Pelicans,94,Orlando Magic,103
Dallas Mavericks,91,Toronto Raptors,102
Sacramento Kings,89,Memphis Grizzlies,103
Los Angeles Lakers,109,Denver Nuggets,120
Indiana Pacers,100,Boston Celtics,98
Washington Wizards,102,San Antonio Spurs,99
Atlanta Hawks,101,Brooklyn Nets,87
Cleveland Cavaliers,96,New York Knicks,86
Houston Rockets,119,Orlando Magic,114
Milwaukee Bucks,91,Philadelphia 76ers,87
Oklahoma City Thunder,98,Toronto Raptors,103
Phoenix Suns,118,Sacramento Kings,97
Utah Jazz,92,Portland Trail Blazers,108
Golden State Warriors,112,Los Angeles Clippers,108
Chicago Bulls,104,Oklahoma City Thunder,98
Minnesota Timberwolves,84,Miami Heat,96
Dallas Mavericks,94,Charlotte Hornets,108
Denver Nuggets,84,Utah Jazz,96
Portland Trail Blazers,115,Memphis Grizzlies,96
Orlando Magic,92,Toronto Raptors,87
Boston Celtics,118,Washington Wizards,98
Brooklyn Nets,98,Los Angeles Lakers,104
Cleveland Cavaliers,108,Philadelphia 76ers,102
New York Knicks,92,Milwaukee Bucks,99
Indiana Pacers,90,Miami Heat,87
New Orleans Pelicans,115,Atlanta Hawks,121
Phoenix Suns,92,Detroit Pistons,100
Golden State Warriors,119,Denver Nuggets,104
Sacramento Kings,110,Houston Rockets,116
Chicago Bulls,93,Minnesota Timberwolves,102
Philadelphia 76ers,97,Orlando Magic,105
Atlanta Hawks,114,Washington Wizards,99
Dallas Mavericks,107,New Orleans Pelicans,98
Milwaukee Bucks,94,Brooklyn Nets,86
San Antonio Spurs,114,Charlotte Hornets,94
Utah Jazz,89,Memphis Grizzlies,79
Sacramento Kings,94,Golden State Warriors,103
Los Angeles Clippers,105,Houston Rockets,109
Cleveland Cavaliers,101,Indiana Pacers,97
New York Knicks,99,Los Angeles Lakers,95
Miami Heat,96,Toronto Raptors,76
Oklahoma City Thunder,124,Phoenix Suns,103
Portland Trail Blazers,103,Detroit Pistons,120
Indiana Pacers,97,Orlando Magic,84
Philadelphia 76ers,88,Chicago Bulls,111
Atlanta Hawks,107,Minnesota Timberwolves,117
Denver Nuggets,108,Portland Trail Blazers,104
Sacramento Kings,88,San Antonio Spurs,106
Golden State Warriors,109,Detroit Pistons,95
Los Angeles Clippers,94,Memphis Grizzlies,92
Cleveland Cavaliers,118,Utah Jazz,114
Washington Wizards,101,Oklahoma City Thunder,125
Miami Heat,101,Los Angeles Lakers,88
Toronto Raptors,109,New York Knicks,111
Milwaukee Bucks,83,Boston Celtics,99
Minnesota Timberwolves,95,Charlotte Hornets,104
New Orleans Pelicans,120,Dallas Mavericks,105
Charlotte Hornets,95,New York Knicks,93
Orlando Magic,101,Los Angeles Lakers,99
Philadelphia 76ers,103,Toronto Raptors,119
Boston Celtics,91,Indiana Pacers,102
Atlanta Hawks,106,New Orleans Pelicans,98
Dallas Mavericks,118,Los Angeles Clippers,108
Houston Rockets,98,Brooklyn Nets,106
Memphis Grizzlies,84,Golden State Warriors,100
Denver Nuggets,103,Milwaukee Bucks,102
Sacramento Kings,101,Detroit Pistons,92
Portland Trail Blazers,101,San Antonio Spurs,113
Miami Heat,92,Utah Jazz,91
Minnesota Timberwolves,116,Golden State Warriors,129
Phoenix Suns,118,Los Angeles Clippers,104
Indiana Pacers,107,Minnesota Timberwolves,103
Orlando Magic,102,Utah Jazz,93
Boston Celtics,106,Atlanta Hawks,93
New York Knicks,84,Cleveland Cavaliers,90
Toronto Raptors,100,New Orleans Pelicans,81
Chicago Bulls,102,Charlotte Hornets,97
Memphis Grizzlies,101,Portland Trail Blazers,100
Oklahoma City Thunder,102,Philadelphia 76ers,85
Dallas Mavericks,90,Los Angeles Lakers,82
Denver Nuggets,107,Houston Rockets,98
Sacramento Kings,111,Brooklyn Nets,109
Los Angeles Clippers,101,Detroit Pistons,96
Washington Wizards,108,Orlando Magic,99
Houston Rockets,98,Dallas Mavericks,110
Milwaukee Bucks,108,Cleveland Cavaliers,105
San Antonio Spurs,92,Philadelphia 76ers,83
Phoenix Suns,105,Denver Nuggets,81
Golden State Warriors,107,Brooklyn Nets,99
New York Knicks,95,New Orleans Pelicans,87
Minnesota Timberwolves,106,Memphis Grizzlies,114
Charlotte Hornets,106,Portland Trail Blazers,94
Atlanta Hawks,96,Utah Jazz,97
Oklahoma City Thunder,85,Boston Celtics,100
Sacramento Kings,107,Toronto Raptors,101
Los Angeles Lakers,97,Detroit Pistons,85
Philadelphia 76ers,86,Dallas Mavericks,92
Chicago Bulls,96,Indiana Pacers,95
Houston Rockets,95,Boston Celtics,111
Memphis Grizzlies,122,Oklahoma City Thunder,114
San Antonio Spurs,93,Portland Trail Blazers,80
Phoenix Suns,120,Los Angeles Lakers,101
Washington Wizards,115,Milwaukee Bucks,86
Brooklyn Nets,90,Atlanta Hawks,88
Detroit Pistons,104,Cleveland Cavaliers,99
Miami Heat,91,Minnesota Timberwolves,103
New York Knicks,102,Charlotte Hornets,94
New Orleans Pelicans,98,Denver Nuggets,115
Golden State Warriors,115,Toronto Raptors,110
Charlotte Hornets,116,Brooklyn Nets,111
Orlando Magic,104,Minnesota Timberwolves,101
Philadelphia 76ers,85,Indiana Pacers,112
Boston Celtics,102,Dallas Mavericks,106
Atlanta Hawks,103,Sacramento Kings,97
Houston Rockets,108,Portland Trail Blazers,103
Oklahoma City Thunder,110,New Orleans Pelicans,103
San Antonio Spurs,109,Denver Nuggets,98
Utah Jazz,93,Toronto Raptors,89
Phoenix Suns,97,Chicago Bulls,103
Miami Heat,116,Sacramento Kings,109
Cleveland Cavaliers,115,Milwaukee Bucks,100
Los Angeles Clippers,117,Golden State Warriors,124
Charlotte Hornets,113,Philadelphia 76ers,88
Boston Celtics,120,Brooklyn Nets,95
Memphis Grizzlies,96,Houston Rockets,84
Minnesota Timberwolves,86,Detroit Pistons,96
New Orleans Pelicans,104,San Antonio Spurs,90
Oklahoma City Thunder,90,New York Knicks,93
Dallas Mavericks,102,Utah Jazz,93
Denver Nuggets,107,Phoenix Suns,114
Portland Trail Blazers,102,Los Angeles Clippers,91
Golden State Warriors,106,Chicago Bulls,94
Los Angeles Lakers,91,Toronto Raptors,102
Orlando Magic,91,Sacramento Kings,97
Indiana Pacers,123,Milwaukee Bucks,86
Cleveland Cavaliers,109,Atlanta Hawks,97
Detroit Pistons,95,Washington Wizards,97
Houston Rockets,102,New York Knicks,107
Miami Heat,96,Philadelphia 76ers,91
San Antonio Spurs,92,Memphis Grizzlies,82
Los Angeles Clippers,80,Toronto Raptors,91
Brooklyn Nets,111,Boston Celtics,101
New Orleans Pelicans,122,Phoenix Suns,116
Oklahoma City Thunder,117,Dallas Mavericks,114
Denver Nuggets,105,Golden State Warriors,118
Los Angeles Lakers,93,Portland Trail Blazers,107
Charlotte Hornets,127,Sacramento Kings,122
Cleveland Cavaliers,117,Orlando Magic,103
Miami Heat,95,New York Knicks,78
Milwaukee Bucks,109,Detroit Pistons,88
Minnesota Timberwolves,100,Philadelphia 76ers,95
San Antonio Spurs,98,Phoenix Suns,84
Utah Jazz,89,Oklahoma City Thunder,111
Washington Wizards,106,Indiana Pacers,123
Atlanta Hawks,121,Boston Celtics,97
Memphis Grizzlies,110,Dallas Mavericks,96
Denver Nuggets,94,Los Angeles Clippers,111
Portland Trail Blazers,88,Chicago Bulls,93
Golden State Warriors,111,Los Angeles Lakers,77
Charlotte Hornets,101,Washington Wizards,87
Orlando Magic,100,New York Knicks,91
Boston Celtics,84,Philadelphia 76ers,80
Detroit Pistons,104,Miami Heat,81
Toronto Raptors,103,Cleveland Cavaliers,99
Houston Rockets,93,Memphis Grizzlies,102
Milwaukee Bucks,118,Sacramento Kings,129
Minnesota Timberwolves,99,Atlanta Hawks,95
Oklahoma City Thunder,110,Brooklyn Nets,99
San Antonio Spurs,88,Dallas Mavericks,83
Phoenix Suns,114,New Orleans Pelicans,120
Los Angeles Clippers,91,Utah Jazz,102
Charlotte Hornets,90,Cleveland Cavaliers,95
Orlando Magic,114,Milwaukee Bucks,90
Boston Celtics,111,Washington Wizards,78
New York Knicks,78,Miami Heat,97
Houston Rockets,116,Philadelphia 76ers,114
Indiana Pacers,104,Chicago Bulls,92
Memphis Grizzlies,101,Atlanta Hawks,116
Oklahoma City Thunder,103,Detroit Pistons,87
Denver Nuggets,80,San Antonio Spurs,91
Phoenix Suns,116,Golden State Warriors,135
Sacramento Kings,91,Minnesota Timberwolves,101
Los Angeles Clippers,111,New Orleans Pelicans,90
Washington Wizards,82,Toronto Raptors,84
Cleveland Cavaliers,90,Brooklyn Nets,88
Dallas Mavericks,92,Denver Nuggets,81
San Antonio Spurs,108,Atlanta Hawks,88
Utah Jazz,101,New Orleans Pelicans,87
Portland Trail Blazers,108,Los Angeles Lakers,96
Golden State Warriors,120,Sacramento Kings,101
Charlotte Hornets,87,Milwaukee Bucks,82
Los Angeles Clippers,107,Minnesota Timberwolves,99
Brooklyn Nets,87,Detroit Pistons,83
Memphis Grizzlies,92,Philadelphia 76ers,84
Orlando Magic,110,Boston Celtics,91
Toronto Raptors,102,Phoenix Suns,107
New York Knicks,111,Houston Rockets,116
Los Angeles Lakers,103,Indiana Pacers,107
Detroit Pistons,116,Houston Rockets,105
Miami Heat,95,Boston Celtics,105
Atlanta Hawks,106,Oklahoma City Thunder,100
Chicago Bulls,92,San Antonio Spurs,89
Milwaukee Bucks,92,Denver Nuggets,74
Utah Jazz,103,Golden State Warriors,106
Sacramento Kings,112,Dallas Mavericks,98
Los Angeles Clippers,102,Portland Trail Blazers,87
Cleveland Cavaliers,85,Washington Wizards,97
Philadelphia 76ers,103,Los Angeles Lakers,91
Brooklyn Nets,94,Phoenix Suns,91
Minnesota Timberwolves,93,Orlando Magic,96
New Orleans Pelicans,104,Memphis Grizzlies,113
Portland Trail Blazers,112,Dallas Mavericks,115
Charlotte Hornets,99,Golden State Warriors,116
Washington Wizards,104,Los Angeles Lakers,108
Detroit Pistons,127,Phoenix Suns,122
New York Knicks,99,Philadelphia 76ers,87
Atlanta Hawks,86,Toronto Raptors,96
Chicago Bulls,99,Denver Nuggets,90
Houston Rockets,108,New Orleans Pelicans,101
San Antonio Spurs,95,Milwaukee Bucks,70
Los Angeles Clippers,91,Indiana Pacers,103
Miami Heat,97,Oklahoma City Thunder,95
Toronto Raptors,105,Denver Nuggets,106
Utah Jazz,94,Orlando Magic,103
Memphis Grizzlies,83,San Antonio Spurs,103
Portland Trail Blazers,123,Indiana Pacers,111
Sacramento Kings,97,Boston Celtics,114
New York Knicks,108,Brooklyn Nets,91
Washington Wizards,109,Phoenix Suns,106
Detroit Pistons,102,Milwaukee Bucks,95
