Date,Start Time,Home,Home Points,Visitor,Visitor Points,Winner,Attendance
"Tue, Oct 16, 2018",8:00p,Boston Celtics,105,Philadelphia 76ers,87,Boston Celtics,"18,624"
"Tue, Oct 16, 2018",10:30p,Golden State Warriors,108,Oklahoma City Thunder,100,Golden State Warriors,"19,596"
"Wed, Oct 17, 2018",7:00p,Charlotte Hornets,112,Milwaukee Bucks,113,Milwaukee Bucks,"17,889"
"Wed, Oct 17, 2018",7:00p,Detroit Pistons,103,Brooklyn Nets,100,Detroit Pistons,"20,332"
"Wed, Oct 17, 2018",7:00p,Indiana Pacers,111,Memphis Grizzlies,83,Indiana Pacers,"17,923"
"Wed, Oct 17, 2018",7:00p,Orlando Magic,104,Miami Heat,101,Orlando Magic,"19,191"
"Wed, Oct 17, 2018",7:30p,New York Knicks,126,Atlanta Hawks,107,New York Knicks,"18,249"
"Wed, Oct 17, 2018",7:30p,Toronto Raptors,116,Cleveland Cavaliers,104,Toronto Raptors,"19,915"
"Wed, Oct 17, 2018",8:00p,Houston Rockets,112,New Orleans Pelicans,131,New Orleans Pelicans,"18,055"
"Wed, Oct 17, 2018",8:30p,San Antonio Spurs,112,Minnesota Timberwolves,108,San Antonio Spurs,"18,354"
"Wed, Oct 17, 2018",10:00p,Sacramento Kings,117,Utah Jazz,123,Utah Jazz,"17,583"
"Wed, Oct 17, 2018",10:30p,Los Angeles Clippers,98,Denver Nuggets,107,Denver Nuggets,"19,068"
"Wed, Oct 17, 2018",10:30p,Phoenix Suns,121,Dallas Mavericks,100,Phoenix Suns,"18,055"
"Thu, Oct 18, 2018",8:00p,Philadelphia 76ers,127,Chicago Bulls,108,Philadelphia 76ers,"20,302"
"Thu, Oct 18, 2018",8:00p,Washington Wizards,112,Miami Heat,113,Miami Heat,"20,409"
"Thu, Oct 18, 2018",10:30p,Portland Trail Blazers,128,Los Angeles Lakers,119,Portland Trail Blazers,"19,996"
"Fri, Oct 19, 2018",7:00p,Orlando Magic,88,Charlotte Hornets,120,Charlotte Hornets,"17,668"
"Fri, Oct 19, 2018",7:30p,Brooklyn Nets,107,New York Knicks,105,Brooklyn Nets,"17,732"
"Fri, Oct 19, 2018",8:00p,Memphis Grizzlies,131,Atlanta Hawks,117,Memphis Grizzlies,"17,019"
"Fri, Oct 19, 2018",8:00p,Minnesota Timberwolves,131,Cleveland Cavaliers,123,Minnesota Timberwolves,"18,978"
"Fri, Oct 19, 2018",8:00p,New Orleans Pelicans,149,Sacramento Kings,129,New Orleans Pelicans,"18,337"
"Fri, Oct 19, 2018",8:00p,Toronto Raptors,113,Boston Celtics,101,Toronto Raptors,"19,800"
"Fri, Oct 19, 2018",8:30p,Milwaukee Bucks,118,Indiana Pacers,101,Milwaukee Bucks,"17,341"
"Fri, Oct 19, 2018",10:30p,Los Angeles Clippers,108,Oklahoma City Thunder,92,Los Angeles Clippers,"14,816"
"Fri, Oct 19, 2018",10:30p,Utah Jazz,123,Golden State Warriors,124,Golden State Warriors,"18,306"
"Sat, Oct 20, 2018",7:00p,Indiana Pacers,132,Brooklyn Nets,112,Indiana Pacers,"17,007"
"Sat, Oct 20, 2018",7:00p,Washington Wizards,113,Toronto Raptors,117,Toronto Raptors,"16,185"
"Sat, Oct 20, 2018",7:30p,New York Knicks,101,Boston Celtics,103,Boston Celtics,"19,427"
"Sat, Oct 20, 2018",7:30p,Philadelphia 76ers,116,Orlando Magic,115,Philadelphia 76ers,"20,300"
"Sat, Oct 20, 2018",8:00p,Chicago Bulls,116,Detroit Pistons,118,Detroit Pistons,"21,289"
"Sat, Oct 20, 2018",8:00p,Miami Heat,112,Charlotte Hornets,113,Charlotte Hornets,"19,600"
"Sat, Oct 20, 2018",8:30p,Dallas Mavericks,140,Minnesota Timberwolves,136,Dallas Mavericks,"20,205"
"Sat, Oct 20, 2018",9:00p,Denver Nuggets,119,Phoenix Suns,91,Denver Nuggets,"19,592"
"Sat, Oct 20, 2018",10:00p,Portland Trail Blazers,121,San Antonio Spurs,108,Portland Trail Blazers,"19,461"
"Sat, Oct 20, 2018",10:30p,Los Angeles Lakers,115,Houston Rockets,124,Houston Rockets,"18,997"
"Sun, Oct 21, 2018",6:00p,Cleveland Cavaliers,111,Atlanta Hawks,133,Atlanta Hawks,"19,432"
"Sun, Oct 21, 2018",7:00p,Oklahoma City Thunder,120,Sacramento Kings,131,Sacramento Kings,"18,203"
"Sun, Oct 21, 2018",8:00p,Denver Nuggets,100,Golden State Warriors,98,Denver Nuggets,"19,520"
"Sun, Oct 21, 2018",9:00p,Los Angeles Clippers,115,Houston Rockets,112,Los Angeles Clippers,"16,149"
"Mon, Oct 22, 2018",7:30p,Boston Celtics,90,Orlando Magic,93,Orlando Magic,"18,624"
"Mon, Oct 22, 2018",7:30p,Toronto Raptors,127,Charlotte Hornets,106,Toronto Raptors,"19,800"
"Mon, Oct 22, 2018",8:00p,Milwaukee Bucks,124,New York Knicks,113,Milwaukee Bucks,"16,228"
"Mon, Oct 22, 2018",8:00p,Minnesota Timberwolves,101,Indiana Pacers,91,Minnesota Timberwolves,"10,371"
"Mon, Oct 22, 2018",8:30p,Dallas Mavericks,115,Chicago Bulls,109,Dallas Mavericks,"19,291"
"Mon, Oct 22, 2018",9:00p,Utah Jazz,84,Memphis Grizzlies,92,Memphis Grizzlies,"18,306"
"Mon, Oct 22, 2018",10:00p,Portland Trail Blazers,124,Washington Wizards,125,Washington Wizards,"19,187"
"Mon, Oct 22, 2018",10:30p,Golden State Warriors,123,Phoenix Suns,103,Golden State Warriors,"19,596"
"Mon, Oct 22, 2018",10:30p,Los Angeles Lakers,142,San Antonio Spurs,143,San Antonio Spurs,"18,997"
"Tue, Oct 23, 2018",7:00p,Detroit Pistons,133,Philadelphia 76ers,132,Detroit Pistons,"14,418"
"Tue, Oct 23, 2018",8:00p,New Orleans Pelicans,116,Los Angeles Clippers,109,New Orleans Pelicans,"14,625"
"Tue, Oct 23, 2018",9:00p,Denver Nuggets,126,Sacramento Kings,112,Denver Nuggets,"13,214"
"Wed, Oct 24, 2018",7:00p,Atlanta Hawks,111,Dallas Mavericks,104,Atlanta Hawks,"16,705"
"Wed, Oct 24, 2018",7:00p,Cleveland Cavaliers,86,Brooklyn Nets,102,Brooklyn Nets,"19,432"
"Wed, Oct 24, 2018",7:30p,Miami Heat,110,New York Knicks,87,Miami Heat,"19,600"
"Wed, Oct 24, 2018",7:30p,Toronto Raptors,112,Minnesota Timberwolves,105,Toronto Raptors,"19,800"
"Wed, Oct 24, 2018",8:00p,Chicago Bulls,112,Charlotte Hornets,110,Chicago Bulls,"19,170"
"Wed, Oct 24, 2018",8:00p,Houston Rockets,89,Utah Jazz,100,Utah Jazz,"18,055"
"Wed, Oct 24, 2018",8:30p,San Antonio Spurs,96,Indiana Pacers,116,Indiana Pacers,"18,354"
"Wed, Oct 24, 2018",9:30p,Milwaukee Bucks,123,Philadelphia 76ers,108,Milwaukee Bucks,"17,341"
"Wed, Oct 24, 2018",10:00p,Phoenix Suns,113,Los Angeles Lakers,131,Los Angeles Lakers,"18,055"
"Wed, Oct 24, 2018",10:00p,Sacramento Kings,97,Memphis Grizzlies,92,Sacramento Kings,"14,198"
"Wed, Oct 24, 2018",10:30p,Golden State Warriors,144,Washington Wizards,122,Golden State Warriors,"19,596"
"Thu, Oct 25, 2018",7:00p,Detroit Pistons,110,Cleveland Cavaliers,103,Detroit Pistons,"15,896"
"Thu, Oct 25, 2018",7:00p,Orlando Magic,114,Portland Trail Blazers,128,Portland Trail Blazers,"15,114"
"Thu, Oct 25, 2018",8:00p,Oklahoma City Thunder,95,Boston Celtics,101,Boston Celtics,"18,203"
"Thu, Oct 25, 2018",10:30p,Los Angeles Lakers,121,Denver Nuggets,114,Los Angeles Lakers,"18,997"
"Fri, Oct 26, 2018",7:00p,Charlotte Hornets,135,Chicago Bulls,106,Charlotte Hornets,"15,220"
"Fri, Oct 26, 2018",7:30p,New York Knicks,100,Golden State Warriors,128,Golden State Warriors,"19,812"
"Fri, Oct 26, 2018",7:30p,Toronto Raptors,116,Dallas Mavericks,107,Toronto Raptors,"19,800"
"Fri, Oct 26, 2018",8:00p,Houston Rockets,113,Los Angeles Clippers,133,Los Angeles Clippers,"18,055"
"Fri, Oct 26, 2018",8:00p,Minnesota Timberwolves,95,Milwaukee Bucks,125,Milwaukee Bucks,"16,334"
