Date,Start Time,Home,Home Points,Visitor,Visitor Points,Winner,Attendance
"Tue, Oct 24, 2017",10:30p,Los Angeles Clippers,102,Utah Jazz,84,Los Angeles Clippers,"16,607"
"Wed, Oct 25, 2017",7:00p,Charlotte Hornets,110,Denver Nuggets,93,Charlotte Hornets,"14,253"
"Wed, Oct 25, 2017",7:00p,Detroit Pistons,122,Minnesota Timberwolves,101,Detroit Pistons,"13,790"
"Wed, Oct 25, 2017",7:00p,Philadelphia 76ers,104,Houston Rockets,105,Houston Rockets,"20,682"
"Wed, Oct 25, 2017",7:30p,Brooklyn Nets,112,Cleveland Cavaliers,107,Brooklyn Nets,"17,732"
"Wed, Oct 25, 2017",8:00p,Miami Heat,100,San Antonio Spurs,117,San Antonio Spurs,"19,600"
"Wed, Oct 25, 2017",8:00p,Oklahoma City Thunder,114,Indiana Pacers,96,Oklahoma City Thunder,"18,203"
"Wed, Oct 25, 2017",8:30p,Dallas Mavericks,103,Memphis Grizzlies,94,Dallas Mavericks,"19,674"
"Wed, Oct 25, 2017",10:00p,Phoenix Suns,97,Utah Jazz,88,Phoenix Suns,"16,022"
"Wed, Oct 25, 2017",10:30p,Golden State Warriors,117,Toronto Raptors,112,Golden State Warriors,"19,596"
"Wed, Oct 25, 2017",10:30p,Los Angeles Lakers,102,Washington Wizards,99,Los Angeles Lakers,"18,996"
"Thu, Oct 26, 2017",8:00p,Chicago Bulls,91,Atlanta Hawks,86,Chicago Bulls,"21,104"
"Thu, Oct 26, 2017",8:00p,Memphis Grizzlies,96,Dallas Mavericks,91,Memphis Grizzlies,"15,839"
"Thu, Oct 26, 2017",8:00p,Milwaukee Bucks,89,Boston Celtics,96,Boston Celtics,"11,046"
"Thu, Oct 26, 2017",10:00p,Portland Trail Blazers,103,Los Angeles Clippers,104,Los Angeles Clippers,"18,694"
"Thu, Oct 26, 2017",10:30p,Sacramento Kings,106,New Orleans Pelicans,114,New Orleans Pelicans,"17,583"
"Fri, Oct 27, 2017",7:00p,Charlotte Hornets,93,Houston Rockets,109,Houston Rockets,"17,339"
"Fri, Oct 27, 2017",7:00p,Orlando Magic,114,San Antonio Spurs,87,Orlando Magic,"17,337"
"Fri, Oct 27, 2017",7:30p,Atlanta Hawks,100,Denver Nuggets,105,Denver Nuggets,"16,220"
"Fri, Oct 27, 2017",7:30p,New York Knicks,107,Brooklyn Nets,86,New York Knicks,"19,812"
"Fri, Oct 27, 2017",8:00p,Minnesota Timberwolves,119,Oklahoma City Thunder,116,Minnesota Timberwolves,"17,620"
"Fri, Oct 27, 2017",10:30p,Golden State Warriors,120,Washington Wizards,117,Golden State Warriors,"19,596"
"Fri, Oct 27, 2017",10:30p,Los Angeles Lakers,92,Toronto Raptors,101,Toronto Raptors,"17,876"
"Sat, Oct 28, 2017",7:00p,New Orleans Pelicans,123,Cleveland Cavaliers,101,New Orleans Pelicans,"18,539"
"Sat, Oct 28, 2017",8:00p,Chicago Bulls,69,Oklahoma City Thunder,101,Oklahoma City Thunder,"21,706"
"Sat, Oct 28, 2017",8:00p,Memphis Grizzlies,103,Houston Rockets,89,Memphis Grizzlies,"17,033"
"Sat, Oct 28, 2017",8:00p,Miami Heat,90,Boston Celtics,96,Boston Celtics,"19,600"
"Sat, Oct 28, 2017",8:30p,Dallas Mavericks,110,Philadelphia 76ers,112,Philadelphia 76ers,"19,567"
"Sat, Oct 28, 2017",9:00p,Utah Jazz,96,Los Angeles Lakers,81,Utah Jazz,"18,306"
"Sat, Oct 28, 2017",10:00p,Portland Trail Blazers,114,Phoenix Suns,107,Portland Trail Blazers,"19,343"
"Sat, Oct 28, 2017",10:30p,Los Angeles Clippers,87,Detroit Pistons,95,Detroit Pistons,"17,247"
"Sun, Oct 29, 2017",3:30p,Atlanta Hawks,106,Milwaukee Bucks,117,Milwaukee Bucks,"14,014"
"Sun, Oct 29, 2017",4:30p,Indiana Pacers,97,San Antonio Spurs,94,Indiana Pacers,"15,013"
"Sun, Oct 29, 2017",6:00p,Brooklyn Nets,111,Denver Nuggets,124,Denver Nuggets,"14,854"
"Sun, Oct 29, 2017",6:00p,Charlotte Hornets,120,Orlando Magic,113,Charlotte Hornets,"15,531"
"Sun, Oct 29, 2017",6:00p,Sacramento Kings,83,Washington Wizards,110,Washington Wizards,"17,583"
"Sun, Oct 29, 2017",7:00p,Cleveland Cavaliers,95,New York Knicks,114,New York Knicks,"20,562"
"Sun, Oct 29, 2017",8:30p,Golden State Warriors,107,Detroit Pistons,115,Detroit Pistons,"19,596"
"Mon, Oct 30, 2017",7:30p,Boston Celtics,108,San Antonio Spurs,94,Boston Celtics,"18,624"
"Mon, Oct 30, 2017",7:30p,Miami Heat,122,Minnesota Timberwolves,125,Minnesota Timberwolves,"19,600"
"Mon, Oct 30, 2017",7:30p,New York Knicks,116,Denver Nuggets,110,New York Knicks,"19,812"
"Mon, Oct 30, 2017",8:00p,Houston Rockets,107,Philadelphia 76ers,115,Philadelphia 76ers,"16,714"
"Mon, Oct 30, 2017",8:00p,Memphis Grizzlies,99,Charlotte Hornets,104,Charlotte Hornets,"15,771"
"Mon, Oct 30, 2017",8:00p,New Orleans Pelicans,99,Orlando Magic,115,Orlando Magic,"14,004"
"Mon, Oct 30, 2017",9:00p,Utah Jazz,104,Dallas Mavericks,89,Utah Jazz,"16,221"
"Mon, Oct 30, 2017",10:00p,Portland Trail Blazers,85,Toronto Raptors,99,Toronto Raptors,"18,505"
"Mon, Oct 30, 2017",10:30p,Los Angeles Clippers,113,Golden State Warriors,141,Golden State Warriors,"19,068"
"Tue, Oct 31, 2017",7:00p,Indiana Pacers,101,Sacramento Kings,83,Indiana Pacers,"12,245"
"Tue, Oct 31, 2017",7:30p,Brooklyn Nets,114,Phoenix Suns,122,Phoenix Suns,"12,936"
"Tue, Oct 31, 2017",8:00p,Milwaukee Bucks,91,Oklahoma City Thunder,110,Oklahoma City Thunder,"16,713"
"Tue, Oct 31, 2017",10:30p,Los Angeles Lakers,113,Detroit Pistons,93,Los Angeles Lakers,"17,569"
"Wed, Nov 1, 2017",7:00p,Charlotte Hornets,126,Milwaukee Bucks,121,Charlotte Hornets,"15,655"
"Wed, Nov 1, 2017",7:00p,Cleveland Cavaliers,107,Indiana Pacers,124,Indiana Pacers,"20,562"
