Date,Start Time,Home,Home Points,Visitor,Visitor Points,Winner,Attendance
"Fri, Oct 28, 2016",7:30p,Brooklyn Nets,103,Indiana Pacers,94,Brooklyn Nets,"17,732"
"Fri, Oct 28, 2016",7:30p,Detroit Pistons,108,Orlando Magic,82,Detroit Pistons,"19,122"
"Fri, Oct 28, 2016",8:00p,Oklahoma City Thunder,113,Phoenix Suns,110,Oklahoma City Thunder,"18,203"
"Fri, Oct 28, 2016",8:00p,Miami Heat,91,Charlotte Hornets,97,Charlotte Hornets,"19,600"
"Fri, Oct 28, 2016",8:30p,Dallas Mavericks,98,Houston Rockets,106,Houston Rockets,"20,163"
"Fri, Oct 28, 2016",9:00p,Utah Jazz,96,Los Angeles Lakers,89,Utah Jazz,"19,911"
"Fri, Oct 28, 2016",9:30p,New Orleans Pelicans,114,Golden State Warriors,122,Golden State Warriors,"18,217"
"Sat, Oct 29, 2016",12:30p,Philadelphia 76ers,72,Atlanta Hawks,104,Atlanta Hawks,"16,312"
"Sat, Oct 29, 2016",7:00p,Charlotte Hornets,98,Boston Celtics,104,Boston Celtics,"18,708"
"Sat, Oct 29, 2016",7:30p,Cleveland Cavaliers,105,Orlando Magic,99,Cleveland Cavaliers,"20,562"
"Sat, Oct 29, 2016",7:30p,New York Knicks,111,Memphis Grizzlies,104,New York Knicks,"19,812"
"Sat, Oct 29, 2016",8:00p,San Antonio Spurs,98,New Orleans Pelicans,79,San Antonio Spurs,"18,418"
"Sat, Oct 29, 2016",8:00p,Milwaukee Bucks,110,Brooklyn Nets,108,Milwaukee Bucks,"12,570"
"Sat, Oct 29, 2016",8:00p,Chicago Bulls,118,Indiana Pacers,101,Chicago Bulls,"21,373"
"Sat, Oct 29, 2016",9:00p,Denver Nuggets,113,Portland Trail Blazers,115,Portland Trail Blazers,"18,055"
"Sat, Oct 29, 2016",10:30p,Sacramento Kings,106,Minnesota Timberwolves,103,Sacramento Kings,"17,608"
"Sun, Oct 30, 2016",4:30p,Los Angeles Clippers,88,Utah Jazz,75,Los Angeles Clippers,"19,060"
"Sun, Oct 30, 2016",6:00p,Detroit Pistons,98,Milwaukee Bucks,83,Detroit Pistons,"15,161"
"Sun, Oct 30, 2016",6:00p,Miami Heat,99,San Antonio Spurs,106,San Antonio Spurs,"19,678"
"Sun, Oct 30, 2016",6:00p,Phoenix Suns,100,Golden State Warriors,106,Golden State Warriors,"17,011"
"Sun, Oct 30, 2016",7:00p,Oklahoma City Thunder,113,Los Angeles Lakers,96,Oklahoma City Thunder,"18,203"
"Sun, Oct 30, 2016",8:00p,Houston Rockets,93,Dallas Mavericks,92,Houston Rockets,"18,055"
"Sun, Oct 30, 2016",8:00p,Memphis Grizzlies,112,Washington Wizards,103,Memphis Grizzlies,"15,573"
"Mon, Oct 31, 2016",7:30p,Atlanta Hawks,106,Sacramento Kings,95,Atlanta Hawks,"12,501"
"Mon, Oct 31, 2016",7:30p,Brooklyn Nets,88,Chicago Bulls,118,Chicago Bulls,"15,842"
"Mon, Oct 31, 2016",7:30p,Toronto Raptors,105,Denver Nuggets,102,Toronto Raptors,"19,800"
"Mon, Oct 31, 2016",10:30p,Los Angeles Clippers,116,Phoenix Suns,98,Los Angeles Clippers,"19,060"
"Tue, Nov 1, 2016",6:00p,Cleveland Cavaliers,128,Houston Rockets,120,Cleveland Cavaliers,"20,562"
"Tue, Nov 1, 2016",7:00p,Indiana Pacers,115,Los Angeles Lakers,108,Indiana Pacers,"15,348"
"Tue, Nov 1, 2016",7:00p,Philadelphia 76ers,101,Orlando Magic,103,Orlando Magic,"12,529"
"Tue, Nov 1, 2016",7:30p,Detroit Pistons,102,New York Knicks,89,Detroit Pistons,"13,087"
"Tue, Nov 1, 2016",7:30p,Miami Heat,108,Sacramento Kings,96,Miami Heat,"19,612"
"Tue, Nov 1, 2016",8:00p,Minnesota Timberwolves,116,Memphis Grizzlies,80,Minnesota Timberwolves,"14,774"
"Tue, Nov 1, 2016",8:00p,New Orleans Pelicans,113,Milwaukee Bucks,117,Milwaukee Bucks,"15,515"
"Tue, Nov 1, 2016",8:30p,San Antonio Spurs,91,Utah Jazz,106,Utah Jazz,"18,418"
"Tue, Nov 1, 2016",10:00p,Portland Trail Blazers,104,Golden State Warriors,127,Golden State Warriors,"19,393"
"Wed, Nov 2, 2016",7:00p,Charlotte Hornets,109,Philadelphia 76ers,93,Charlotte Hornets,"15,275"
"Wed, Nov 2, 2016",7:00p,Washington Wizards,103,Toronto Raptors,113,Toronto Raptors,"19,581"
"Wed, Nov 2, 2016",7:30p,Atlanta Hawks,116,Los Angeles Lakers,123,Los Angeles Lakers,"13,800"
"Wed, Nov 2, 2016",7:30p,Brooklyn Nets,109,Detroit Pistons,101,Brooklyn Nets,"13,650"
"Wed, Nov 2, 2016",7:30p,New York Knicks,99,Houston Rockets,118,Houston Rockets,"19,812"
"Wed, Nov 2, 2016",8:00p,Boston Celtics,107,Chicago Bulls,100,Boston Celtics,"18,624"
"Wed, Nov 2, 2016",8:00p,Memphis Grizzlies,89,New Orleans Pelicans,83,Memphis Grizzlies,"15,881"
"Wed, Nov 2, 2016",9:00p,Utah Jazz,97,Dallas Mavericks,81,Utah Jazz,"19,318"
"Wed, Nov 2, 2016",10:00p,Phoenix Suns,118,Portland Trail Blazers,115,Phoenix Suns,"17,284"
"Wed, Nov 2, 2016",10:30p,Los Angeles Clippers,83,Oklahoma City Thunder,85,Oklahoma City Thunder,"19,060"
"Thu, Nov 3, 2016",7:00p,Orlando Magic,102,Sacramento Kings,94,Orlando Magic,"17,026"
"Thu, Nov 3, 2016",8:00p,Cleveland Cavaliers,128,Boston Celtics,122,Cleveland Cavaliers,"20,562"
"Thu, Nov 3, 2016",8:00p,Milwaukee Bucks,125,Indiana Pacers,107,Milwaukee Bucks,"11,374"
"Thu, Nov 3, 2016",8:00p,Minnesota Timberwolves,99,Denver Nuggets,102,Denver Nuggets,"11,219"
"Thu, Nov 3, 2016",10:30p,Golden State Warriors,122,Oklahoma City Thunder,96,Golden State Warriors,"19,596"
"Fri, Nov 4, 2016",7:00p,Washington Wizards,95,Atlanta Hawks,92,Washington Wizards,"14,663"
"Fri, Nov 4, 2016",7:30p,Brooklyn Nets,95,Charlotte Hornets,99,Charlotte Hornets,"15,775"
"Fri, Nov 4, 2016",7:30p,Toronto Raptors,96,Miami Heat,87,Toronto Raptors,"19,800"
"Fri, Nov 4, 2016",8:00p,Chicago Bulls,104,New York Knicks,117,New York Knicks,"22,376"
"Fri, Nov 4, 2016",8:00p,Memphis Grizzlies,88,Los Angeles Clippers,99,Los Angeles Clippers,"17,115"
"Fri, Nov 4, 2016",8:00p,New Orleans Pelicans,111,Phoenix Suns,112,Phoenix Suns,"15,379"
"Fri, Nov 4, 2016",8:30p,Dallas Mavericks,95,Portland Trail Blazers,105,Portland Trail Blazers,"19,475"
"Fri, Nov 4, 2016",9:00p,Utah Jazz,86,San Antonio Spurs,100,San Antonio Spurs,"19,911"
"Fri, Nov 4, 2016",10:30p,Los Angeles Lakers,117,Golden State Warriors,97,Los Angeles Lakers,"18,997"
"Sat, Nov 5, 2016",6:00p,Oklahoma City Thunder,112,Minnesota Timberwolves,92,Oklahoma City Thunder,"18,203"
"Sat, Nov 5, 2016",7:00p,Detroit Pistons,103,Denver Nuggets,86,Detroit Pistons,"16,218"
"Sat, Nov 5, 2016",7:00p,Indiana Pacers,111,Chicago Bulls,94,Indiana Pacers,"17,020"
"Sat, Nov 5, 2016",7:00p,Orlando Magic,88,Washington Wizards,86,Orlando Magic,"18,846"
"Sat, Nov 5, 2016",7:00p,Philadelphia 76ers,101,Cleveland Cavaliers,102,Cleveland Cavaliers,"20,497"
"Sat, Nov 5, 2016",7:30p,Atlanta Hawks,112,Houston Rockets,97,Atlanta Hawks,"16,895"
"Sat, Nov 5, 2016",8:00p,Milwaukee Bucks,117,Sacramento Kings,91,Milwaukee Bucks,"16,021"
"Sat, Nov 5, 2016",8:30p,San Antonio Spurs,92,Los Angeles Clippers,116,Los Angeles Clippers,"18,418"
"Sun, Nov 6, 2016",12:00p,New York Knicks,109,Utah Jazz,114,Utah Jazz,"19,812"
"Sun, Nov 6, 2016",3:30p,Memphis Grizzlies,94,Portland Trail Blazers,100,Portland Trail Blazers,"16,233"
"Sun, Nov 6, 2016",6:00p,Toronto Raptors,91,Sacramento Kings,96,Sacramento Kings,"19,800"
"Sun, Nov 6, 2016",7:00p,Dallas Mavericks,86,Milwaukee Bucks,75,Dallas Mavericks,"19,345"
"Sun, Nov 6, 2016",7:30p,Boston Celtics,107,Denver Nuggets,123,Denver Nuggets,"17,452"
"Sun, Nov 6, 2016",9:30p,Los Angeles Lakers,119,Phoenix Suns,108,Los Angeles Lakers,"18,997"
"Mon, Nov 7, 2016",7:00p,Charlotte Hornets,122,Indiana Pacers,100,Charlotte Hornets,"16,880"
"Mon, Nov 7, 2016",7:00p,Philadelphia 76ers,84,Utah Jazz,109,Utah Jazz,"14,168"
"Mon, Nov 7, 2016",7:00p,Washington Wizards,106,Houston Rockets,114,Houston Rockets,"13,173"
"Mon, Nov 7, 2016",8:00p,Chicago Bulls,112,Orlando Magic,80,Chicago Bulls,"21,320"
"Mon, Nov 7, 2016",8:00p,Oklahoma City Thunder,97,Miami Heat,85,Oklahoma City Thunder,"18,203"
"Mon, Nov 7, 2016",10:30p,Golden State Warriors,116,New Orleans Pelicans,106,Golden State Warriors,"19,596"
"Mon, Nov 7, 2016",10:30p,Los Angeles Clippers,114,Detroit Pistons,82,Los Angeles Clippers,"19,060"
"Tue, Nov 8, 2016",7:00p,Cleveland Cavaliers,106,Atlanta Hawks,110,Atlanta Hawks,"20,562"
"Tue, Nov 8, 2016",7:30p,Brooklyn Nets,119,Minnesota Timberwolves,110,Brooklyn Nets,"13,610"
"Tue, Nov 8, 2016",8:00p,Memphis Grizzlies,108,Denver Nuggets,107,Memphis Grizzlies,"15,109"
"Tue, Nov 8, 2016",10:00p,Portland Trail Blazers,124,Phoenix Suns,121,Portland Trail Blazers,"19,239"
"Tue, Nov 8, 2016",10:30p,Los Angeles Lakers,97,Dallas Mavericks,109,Dallas Mavericks,"18,997"
"Tue, Nov 8, 2016",10:30p,Sacramento Kings,102,New Orleans Pelicans,94,Sacramento Kings,"17,608"
"Wed, Nov 9, 2016",7:00p,Charlotte Hornets,104,Utah Jazz,98,Charlotte Hornets,"15,712"
"Wed, Nov 9, 2016",7:00p,Indiana Pacers,122,Philadelphia 76ers,115,Indiana Pacers,"15,360"
"Wed, Nov 9, 2016",7:00p,New York Knicks,110,Brooklyn Nets,96,New York Knicks,"19,812"
"Wed, Nov 9, 2016",7:00p,Orlando Magic,107,Minnesota Timberwolves,123,Minnesota Timberwolves,"17,102"
"Wed, Nov 9, 2016",7:00p,Washington Wizards,118,Boston Celtics,93,Washington Wizards,"12,675"
"Wed, Nov 9, 2016",7:30p,Atlanta Hawks,115,Chicago Bulls,107,Atlanta Hawks,"16,354"
"Wed, Nov 9, 2016",8:00p,Oklahoma City Thunder,102,Toronto Raptors,112,Toronto Raptors,"18,203"
"Wed, Nov 9, 2016",9:00p,Phoenix Suns,107,Detroit Pistons,100,Phoenix Suns,"16,719"
"Wed, Nov 9, 2016",9:30p,San Antonio Spurs,99,Houston Rockets,101,Houston Rockets,"18,418"
"Wed, Nov 9, 2016",10:30p,Golden State Warriors,116,Dallas Mavericks,95,Golden State Warriors,"19,596"
"Wed, Nov 9, 2016",10:30p,Los Angeles Clippers,111,Portland Trail Blazers,80,Los Angeles Clippers,"19,060"
"Thu, Nov 10, 2016",8:00p,Miami Heat,95,Chicago Bulls,98,Chicago Bulls,"19,600"
"Thu, Nov 10, 2016",8:00p,Milwaukee Bucks,106,New Orleans Pelicans,112,New Orleans Pelicans,"12,159"
"Thu, Nov 10, 2016",9:00p,Denver Nuggets,101,Golden State Warriors,125,Golden State Warriors,"17,569"
"Thu, Nov 10, 2016",10:30p,Sacramento Kings,91,Los Angeles Lakers,101,Los Angeles Lakers,"17,608"
"Fri, Nov 11, 2016",7:00p,Charlotte Hornets,111,Toronto Raptors,113,Toronto Raptors,"18,107"
"Fri, Nov 11, 2016",7:00p,Orlando Magic,74,Utah Jazz,87,Utah Jazz,"18,846"
"Fri, Nov 11, 2016",7:00p,Philadelphia 76ers,109,Indiana Pacers,105,Philadelphia 76ers,"17,643"
"Fri, Nov 11, 2016",7:00p,Washington Wizards,94,Cleveland Cavaliers,105,Cleveland Cavaliers,"20,356"
"Fri, Nov 11, 2016",7:30p,Boston Celtics,115,New York Knicks,87,Boston Celtics,"18,624"
"Fri, Nov 11, 2016",8:00p,Oklahoma City Thunder,108,Los Angeles Clippers,110,Los Angeles Clippers,"18,203"
"Fri, Nov 11, 2016",8:30p,San Antonio Spurs,96,Detroit Pistons,86,San Antonio Spurs,"18,418"
"Fri, Nov 11, 2016",10:00p,Portland Trail Blazers,122,Sacramento Kings,120,Portland Trail Blazers,"19,918"
"Sat, Nov 12, 2016",7:00p,Indiana Pacers,99,Boston Celtics,105,Boston Celtics,"17,923"
"Sat, Nov 12, 2016",7:00p,New Orleans Pelicans,99,Los Angeles Lakers,126,Los Angeles Lakers,"17,138"
"Sat, Nov 12, 2016",7:30p,Atlanta Hawks,117,Philadelphia 76ers,96,Atlanta Hawks,"17,399"
"Sat, Nov 12, 2016",7:30p,Toronto Raptors,118,New York Knicks,107,Toronto Raptors,"19,800"
"Sat, Nov 12, 2016",8:00p,Chicago Bulls,106,Washington Wizards,95,Chicago Bulls,"21,962"
"Sat, Nov 12, 2016",8:00p,Houston Rockets,100,San Antonio Spurs,106,San Antonio Spurs,"18,055"
"Sat, Nov 12, 2016",8:00p,Miami Heat,91,Utah Jazz,102,Utah Jazz,"19,600"
"Sat, Nov 12, 2016",8:00p,Minnesota Timberwolves,105,Los Angeles Clippers,119,Los Angeles Clippers,"14,494"
"Sat, Nov 12, 2016",8:30p,Milwaukee Bucks,106,Memphis Grizzlies,96,Milwaukee Bucks,"14,327"
"Sat, Nov 12, 2016",9:00p,Denver Nuggets,95,Detroit Pistons,106,Detroit Pistons,"13,997"
"Sat, Nov 12, 2016",9:00p,Phoenix Suns,104,Brooklyn Nets,122,Brooklyn Nets,"17,126"
"Sun, Nov 13, 2016",3:30p,Cleveland Cavaliers,100,Charlotte Hornets,93,Cleveland Cavaliers,"20,562"
"Sun, Nov 13, 2016",7:00p,Minnesota Timberwolves,125,Los Angeles Lakers,99,Minnesota Timberwolves,"14,432"
"Sun, Nov 13, 2016",7:00p,Oklahoma City Thunder,117,Orlando Magic,119,Orlando Magic,"18,203"
"Sun, Nov 13, 2016",8:00p,Golden State Warriors,133,Phoenix Suns,120,Golden State Warriors,"19,596"
"Sun, Nov 13, 2016",9:00p,Portland Trail Blazers,112,Denver Nuggets,105,Portland Trail Blazers,"19,362"
"Mon, Nov 14, 2016",7:00p,Indiana Pacers,88,Orlando Magic,69,Indiana Pacers,"14,825"
"Mon, Nov 14, 2016",7:30p,Detroit Pistons,104,Oklahoma City Thunder,88,Detroit Pistons,"14,172"
"Mon, Nov 14, 2016",7:30p,New York Knicks,93,Dallas Mavericks,77,New York Knicks,"19,812"
"Mon, Nov 14, 2016",8:00p,Houston Rockets,115,Philadelphia 76ers,88,Houston Rockets,"13,183"
"Mon, Nov 14, 2016",8:00p,New Orleans Pelicans,106,Boston Celtics,105,New Orleans Pelicans,"15,001"
"Mon, Nov 14, 2016",8:30p,San Antonio Spurs,94,Miami Heat,90,San Antonio Spurs,"18,418"
"Mon, Nov 14, 2016",9:00p,Utah Jazz,96,Memphis Grizzlies,102,Memphis Grizzlies,"18,176"
"Mon, Nov 14, 2016",10:30p,Los Angeles Clippers,127,Brooklyn Nets,95,Los Angeles Clippers,"19,060"
"Tue, Nov 15, 2016",7:00p,Cleveland Cavaliers,121,Toronto Raptors,117,Cleveland Cavaliers,"20,562"
"Tue, Nov 15, 2016",7:30p,Miami Heat,90,Atlanta Hawks,93,Atlanta Hawks,"19,600"
"Tue, Nov 15, 2016",8:00p,Minnesota Timberwolves,108,Charlotte Hornets,115,Charlotte Hornets,"10,349"
"Tue, Nov 15, 2016",10:00p,Portland Trail Blazers,88,Chicago Bulls,113,Chicago Bulls,"19,393"
"Tue, Nov 15, 2016",10:30p,Los Angeles Lakers,125,Brooklyn Nets,118,Los Angeles Lakers,"18,426"
"Wed, Nov 16, 2016",7:00p,Indiana Pacers,103,Cleveland Cavaliers,93,Indiana Pacers,"17,022"
"Wed, Nov 16, 2016",7:00p,Orlando Magic,89,New Orleans Pelicans,82,Orlando Magic,"16,127"
"Wed, Nov 16, 2016",7:00p,Philadelphia 76ers,109,Washington Wizards,102,Philadelphia 76ers,"14,863"
"Wed, Nov 16, 2016",7:30p,Atlanta Hawks,107,Milwaukee Bucks,100,Atlanta Hawks,"14,656"
"Wed, Nov 16, 2016",7:30p,Boston Celtics,90,Dallas Mavericks,83,Boston Celtics,"18,624"
"Wed, Nov 16, 2016",7:30p,New York Knicks,105,Detroit Pistons,102,New York Knicks,"19,812"
"Wed, Nov 16, 2016",8:00p,Oklahoma City Thunder,105,Houston Rockets,103,Oklahoma City Thunder,"18,203"
"Wed, Nov 16, 2016",8:00p,Toronto Raptors,121,Golden State Warriors,127,Golden State Warriors,"21,050"
"Wed, Nov 16, 2016",9:00p,Denver Nuggets,120,Phoenix Suns,104,Denver Nuggets,"10,247"
"Wed, Nov 16, 2016",10:30p,Los Angeles Clippers,107,Memphis Grizzlies,111,Memphis Grizzlies,"19,060"
"Wed, Nov 16, 2016",10:30p,Sacramento Kings,105,San Antonio Spurs,110,San Antonio Spurs,"17,608"
"Thu, Nov 17, 2016",7:00p,Washington Wizards,119,New York Knicks,112,Washington Wizards,"16,704"
"Thu, Nov 17, 2016",7:30p,Miami Heat,96,Milwaukee Bucks,73,Miami Heat,"19,600"
"Thu, Nov 17, 2016",8:00p,Houston Rockets,126,Portland Trail Blazers,109,Houston Rockets,"15,550"
"Thu, Nov 17, 2016",8:00p,Minnesota Timberwolves,110,Philadelphia 76ers,86,Minnesota Timberwolves,"16,866"
"Thu, Nov 17, 2016",10:30p,Utah Jazz,77,Chicago Bulls,85,Chicago Bulls,"19,911"
"Fri, Nov 18, 2016",7:00p,Charlotte Hornets,100,Atlanta Hawks,96,Charlotte Hornets,"17,989"
"Fri, Nov 18, 2016",7:00p,Indiana Pacers,96,Phoenix Suns,116,Phoenix Suns,"16,780"
"Fri, Nov 18, 2016",7:30p,Cleveland Cavaliers,104,Detroit Pistons,81,Cleveland Cavaliers,"20,562"
"Fri, Nov 18, 2016",8:00p,Boston Celtics,88,Golden State Warriors,104,Golden State Warriors,"18,624"
"Fri, Nov 18, 2016",8:00p,New Orleans Pelicans,113,Portland Trail Blazers,101,New Orleans Pelicans,"15,552"
"Fri, Nov 18, 2016",8:00p,Oklahoma City Thunder,124,Brooklyn Nets,105,Oklahoma City Thunder,"18,203"
"Fri, Nov 18, 2016",8:30p,Dallas Mavericks,64,Memphis Grizzlies,80,Memphis Grizzlies,"19,715"
"Fri, Nov 18, 2016",9:00p,Denver Nuggets,111,Toronto Raptors,113,Toronto Raptors,"12,476"
"Fri, Nov 18, 2016",10:30p,Los Angeles Lakers,107,San Antonio Spurs,116,San Antonio Spurs,"18,997"
"Fri, Nov 18, 2016",10:30p,Sacramento Kings,115,Los Angeles Clippers,121,Los Angeles Clippers,"17,608"
"Sat, Nov 19, 2016",5:00p,Houston Rockets,111,Utah Jazz,102,Houston Rockets,"14,760"
"Sat, Nov 19, 2016",7:00p,Detroit Pistons,92,Boston Celtics,94,Boston Celtics,"16,107"
"Sat, Nov 19, 2016",7:00p,New Orleans Pelicans,121,Charlotte Hornets,116,New Orleans Pelicans,"15,739"
"Sat, Nov 19, 2016",7:00p,Orlando Magic,95,Dallas Mavericks,87,Orlando Magic,"18,846"
"Sat, Nov 19, 2016",7:00p,Washington Wizards,111,Miami Heat,114,Miami Heat,"15,848"
"Sat, Nov 19, 2016",7:30p,Philadelphia 76ers,120,Phoenix Suns,105,Philadelphia 76ers,"18,125"
"Sat, Nov 19, 2016",8:00p,Memphis Grizzlies,93,Minnesota Timberwolves,71,Memphis Grizzlies,"17,112"
"Sat, Nov 19, 2016",8:30p,Milwaukee Bucks,121,Golden State Warriors,124,Golden State Warriors,"18,717"
"Sat, Nov 19, 2016",10:30p,Los Angeles Clippers,102,Chicago Bulls,95,Los Angeles Clippers,"19,060"
"Sun, Nov 20, 2016",12:00p,New York Knicks,104,Atlanta Hawks,94,New York Knicks,"19,812"
"Sun, Nov 20, 2016",3:30p,Brooklyn Nets,109,Portland Trail Blazers,129,Portland Trail Blazers,"16,608"
"Sun, Nov 20, 2016",7:00p,Oklahoma City Thunder,111,Indiana Pacers,115,Indiana Pacers,"18,203"
"Sun, Nov 20, 2016",9:00p,Denver Nuggets,105,Utah Jazz,91,Denver Nuggets,"12,565"
"Sun, Nov 20, 2016",9:00p,Sacramento Kings,102,Toronto Raptors,99,Sacramento Kings,"17,608"
"Sun, Nov 20, 2016",9:30p,Los Angeles Lakers,110,Chicago Bulls,118,Chicago Bulls,"18,997"
"Mon, Nov 21, 2016",7:00p,Charlotte Hornets,90,Memphis Grizzlies,105,Memphis Grizzlies,"14,181"
"Mon, Nov 21, 2016",7:00p,Indiana Pacers,83,Golden State Warriors,120,Golden State Warriors,"17,923"
"Mon, Nov 21, 2016",7:00p,Philadelphia 76ers,101,Miami Heat,94,Philadelphia 76ers,"16,477"
"Mon, Nov 21, 2016",7:00p,Washington Wizards,106,Phoenix Suns,101,Washington Wizards,"12,790"
"Mon, Nov 21, 2016",7:30p,Detroit Pistons,96,Houston Rockets,99,Houston Rockets,"13,632"
"Mon, Nov 21, 2016",8:00p,Milwaukee Bucks,93,Orlando Magic,89,Milwaukee Bucks,"12,306"
"Mon, Nov 21, 2016",8:00p,Minnesota Timberwolves,93,Boston Celtics,99,Boston Celtics,"13,167"
"Mon, Nov 21, 2016",8:30p,San Antonio Spurs,96,Dallas Mavericks,91,San Antonio Spurs,"18,418"
"Mon, Nov 21, 2016",10:30p,Los Angeles Clippers,123,Toronto Raptors,115,Los Angeles Clippers,"19,060"
"Tue, Nov 22, 2016",7:30p,Atlanta Hawks,94,New Orleans Pelicans,112,New Orleans Pelicans,"19,120"
"Tue, Nov 22, 2016",7:30p,New York Knicks,107,Portland Trail Blazers,103,New York Knicks,"19,812"
"Tue, Nov 22, 2016",9:00p,Denver Nuggets,110,Chicago Bulls,107,Denver Nuggets,"14,328"
"Tue, Nov 22, 2016",10:30p,Los Angeles Lakers,111,Oklahoma City Thunder,109,Los Angeles Lakers,"18,997"
"Wed, Nov 23, 2016",7:00p,Charlotte Hornets,114,San Antonio Spurs,119,San Antonio Spurs,"18,515"
"Wed, Nov 23, 2016",7:00p,Cleveland Cavaliers,137,Portland Trail Blazers,125,Cleveland Cavaliers,"20,562"
"Wed, Nov 23, 2016",7:00p,Indiana Pacers,85,Atlanta Hawks,96,Atlanta Hawks,"16,032"
"Wed, Nov 23, 2016",7:00p,Orlando Magic,87,Phoenix Suns,92,Phoenix Suns,"17,069"
"Wed, Nov 23, 2016",7:00p,Philadelphia 76ers,99,Memphis Grizzlies,104,Memphis Grizzlies,"15,880"
"Wed, Nov 23, 2016",7:30p,Brooklyn Nets,92,Boston Celtics,111,Boston Celtics,"16,210"
"Wed, Nov 23, 2016",7:30p,Detroit Pistons,107,Miami Heat,84,Detroit Pistons,"14,520"
"Wed, Nov 23, 2016",8:00p,Houston Rockets,102,Toronto Raptors,115,Toronto Raptors,"18,055"
"Wed, Nov 23, 2016",8:30p,Dallas Mavericks,104,Los Angeles Clippers,124,Los Angeles Clippers,"20,042"
"Wed, Nov 23, 2016",9:00p,Utah Jazz,108,Denver Nuggets,83,Utah Jazz,"19,229"
"Wed, Nov 23, 2016",9:30p,New Orleans Pelicans,117,Minnesota Timberwolves,96,New Orleans Pelicans,"15,555"
"Wed, Nov 23, 2016",10:30p,Golden State Warriors,149,Los Angeles Lakers,106,Golden State Warriors,"19,596"
"Wed, Nov 23, 2016",10:30p,Sacramento Kings,116,Oklahoma City Thunder,101,Sacramento Kings,"17,608"
"Fri, Nov 25, 2016",1:00p,Boston Celtics,103,San Antonio Spurs,109,San Antonio Spurs,"18,624"
"Fri, Nov 25, 2016",7:00p,Orlando Magic,91,Washington Wizards,94,Washington Wizards,"17,103"
"Fri, Nov 25, 2016",7:30p,Cleveland Cavaliers,128,Dallas Mavericks,90,Cleveland Cavaliers,"20,562"
"Fri, Nov 25, 2016",7:30p,Detroit Pistons,108,Los Angeles Clippers,97,Detroit Pistons,"17,023"
"Fri, Nov 25, 2016",7:30p,New York Knicks,113,Charlotte Hornets,111,New York Knicks,"19,812"
"Fri, Nov 25, 2016",7:30p,Philadelphia 76ers,89,Chicago Bulls,105,Chicago Bulls,"18,234"
"Fri, Nov 25, 2016",8:00p,Indiana Pacers,118,Brooklyn Nets,97,Indiana Pacers,"16,083"
"Fri, Nov 25, 2016",8:00p,Memphis Grizzlies,81,Miami Heat,90,Miami Heat,"17,222"
"Fri, Nov 25, 2016",8:00p,Milwaukee Bucks,99,Toronto Raptors,105,Toronto Raptors,"16,223"
"Fri, Nov 25, 2016",8:00p,Utah Jazz,95,Atlanta Hawks,68,Utah Jazz,"19,911"
"Fri, Nov 25, 2016",9:00p,Denver Nuggets,129,Oklahoma City Thunder,132,Oklahoma City Thunder,"14,327"
"Fri, Nov 25, 2016",9:00p,Phoenix Suns,85,Minnesota Timberwolves,98,Minnesota Timberwolves,"16,728"
