Date,Start Time,Home,Home Points,Visitor,Visitor Points,Winner,Attendance
"Tue, Oct 25, 2016",7:30p,Cleveland Cavaliers,117,New York Knicks,88,Cleveland Cavaliers,"20,562"
"Tue, Oct 25, 2016",10:00p,Portland Trail Blazers,113,Utah Jazz,104,Portland Trail Blazers,"19,446"
"Tue, Oct 25, 2016",10:30p,Golden State Warriors,100,San Antonio Spurs,129,San Antonio Spurs,"19,596"
"Wed, Oct 26, 2016",7:00p,Indiana Pacers,130,Dallas Mavericks,121,Indiana Pacers,"17,923"
"Wed, Oct 26, 2016",7:00p,Orlando Magic,96,Miami Heat,108,Miami Heat,"19,298"
"Wed, Oct 26, 2016",7:30p,Toronto Raptors,109,Detroit Pistons,91,Toronto Raptors,"19,800"
"Wed, Oct 26, 2016",7:30p,Boston Celtics,122,Brooklyn Nets,117,Boston Celtics,"18,624"
"Wed, Oct 26, 2016",8:00p,Milwaukee Bucks,96,Charlotte Hornets,107,Charlotte Hornets,"18,717"
"Wed, Oct 26, 2016",8:00p,New Orleans Pelicans,102,Denver Nuggets,107,Denver Nuggets,"15,869"
"Wed, Oct 26, 2016",8:00p,Memphis Grizzlies,102,Minnesota Timberwolves,98,Memphis Grizzlies,"18,119"
"Wed, Oct 26, 2016",8:00p,Philadelphia 76ers,97,Oklahoma City Thunder,103,Oklahoma City Thunder,"20,487"
"Wed, Oct 26, 2016",10:00p,Phoenix Suns,94,Sacramento Kings,113,Sacramento Kings,"18,055"
"Wed, Oct 26, 2016",10:30p,Los Angeles Lakers,120,Houston Rockets,114,Los Angeles Lakers,"18,997"
"Thu, Oct 27, 2016",7:30p,Atlanta Hawks,114,Washington Wizards,99,Atlanta Hawks,"19,049"
"Thu, Oct 27, 2016",8:00p,Chicago Bulls,105,Boston Celtics,99,Chicago Bulls,"21,501"
"Thu, Oct 27, 2016",10:30p,Portland Trail Blazers,106,Los Angeles Clippers,114,Los Angeles Clippers,"19,500"
"Thu, Oct 27, 2016",10:30p,Sacramento Kings,94,San Antonio Spurs,102,San Antonio Spurs,"17,608"
"Fri, Oct 28, 2016",7:00p,Toronto Raptors,91,Cleveland Cavaliers,94,Cleveland Cavaliers,"19,800"
