Date,Start Time,Home,Home Points,Visitor,Visitor Points,Winner,Attendance
"Tue, Oct 27, 2015",8:00p,Chicago Bulls,97,Cleveland Cavaliers,95,Chicago Bulls,"21,957"
"Tue, Oct 27, 2015",8:00p,Atlanta Hawks,94,Detroit Pistons,106,Detroit Pistons,"19,187"
"Tue, Oct 27, 2015",10:30p,Golden State Warriors,111,New Orleans Pelicans,95,Golden State Warriors,"19,596"
"Wed, Oct 28, 2015",7:00p,Orlando Magic,87,Washington Wizards,88,Washington Wizards,"18,846"
"Wed, Oct 28, 2015",7:30p,Boston Celtics,112,Philadelphia 76ers,95,Boston Celtics,"18,624"
"Wed, Oct 28, 2015",7:30p,Brooklyn Nets,100,Chicago Bulls,115,Chicago Bulls,"17,732"
"Wed, Oct 28, 2015",7:30p,Detroit Pistons,92,Utah Jazz,87,Detroit Pistons,"18,434"
"Wed, Oct 28, 2015",7:30p,Toronto Raptors,106,Indiana Pacers,99,Toronto Raptors,"19,800"
"Wed, Oct 28, 2015",7:30p,Miami Heat,104,Charlotte Hornets,94,Miami Heat,"19,724"
"Wed, Oct 28, 2015",8:00p,Milwaukee Bucks,97,New York Knicks,122,New York Knicks,"18,717"
"Wed, Oct 28, 2015",8:00p,Oklahoma City Thunder,112,San Antonio Spurs,106,Oklahoma City Thunder,"18,203"
"Wed, Oct 28, 2015",8:00p,Memphis Grizzlies,76,Cleveland Cavaliers,106,Cleveland Cavaliers,"18,119"
"Wed, Oct 28, 2015",8:00p,Houston Rockets,85,Denver Nuggets,105,Denver Nuggets,"18,240"
"Wed, Oct 28, 2015",10:00p,Phoenix Suns,95,Dallas Mavericks,111,Dallas Mavericks,"18,055"
"Wed, Oct 28, 2015",10:00p,Portland Trail Blazers,112,New Orleans Pelicans,94,Portland Trail Blazers,"19,393"
"Wed, Oct 28, 2015",10:00p,Sacramento Kings,104,Los Angeles Clippers,111,Los Angeles Clippers,"17,458"
"Wed, Oct 28, 2015",10:30p,Los Angeles Lakers,111,Minnesota Timberwolves,112,Minnesota Timberwolves,"18,997"
"Thu, Oct 29, 2015",7:00p,Indiana Pacers,103,Memphis Grizzlies,112,Memphis Grizzlies,"18,165"
"Thu, Oct 29, 2015",8:00p,New York Knicks,101,Atlanta Hawks,112,Atlanta Hawks,"19,812"
"Thu, Oct 29, 2015",10:30p,Los Angeles Clippers,104,Dallas Mavericks,88,Los Angeles Clippers,"19,218"
"Fri, Oct 30, 2015",7:00p,Cleveland Cavaliers,102,Miami Heat,92,Cleveland Cavaliers,"20,562"
"Fri, Oct 30, 2015",7:00p,Philadelphia 76ers,71,Utah Jazz,99,Utah Jazz,"17,122"
"Fri, Oct 30, 2015",7:00p,Orlando Magic,136,Oklahoma City Thunder,139,Oklahoma City Thunder,"18,846"
"Fri, Oct 30, 2015",7:30p,Boston Celtics,103,Toronto Raptors,113,Toronto Raptors,"16,898"
"Fri, Oct 30, 2015",7:30p,Detroit Pistons,98,Chicago Bulls,94,Detroit Pistons,"16,035"
"Fri, Oct 30, 2015",8:00p,Atlanta Hawks,97,Charlotte Hornets,94,Atlanta Hawks,"17,024"
"Fri, Oct 30, 2015",8:00p,Milwaukee Bucks,113,Washington Wizards,118,Washington Wizards,"13,858"
"Fri, Oct 30, 2015",8:30p,San Antonio Spurs,102,Brooklyn Nets,75,San Antonio Spurs,"18,418"
"Fri, Oct 30, 2015",9:00p,Denver Nuggets,78,Minnesota Timberwolves,95,Minnesota Timberwolves,"17,660"
"Fri, Oct 30, 2015",9:30p,Houston Rockets,92,Golden State Warriors,112,Golden State Warriors,"18,142"
"Fri, Oct 30, 2015",10:00p,Sacramento Kings,132,Los Angeles Lakers,114,Sacramento Kings,"17,391"
"Fri, Oct 30, 2015",10:30p,Phoenix Suns,110,Portland Trail Blazers,92,Phoenix Suns,"18,055"
"Sat, Oct 31, 2015",7:00p,Indiana Pacers,76,Utah Jazz,97,Utah Jazz,"14,412"
"Sat, Oct 31, 2015",7:00p,Washington Wizards,110,New York Knicks,117,New York Knicks,"20,356"
"Sat, Oct 31, 2015",7:30p,New Orleans Pelicans,120,Golden State Warriors,134,Golden State Warriors,"18,406"
"Sat, Oct 31, 2015",8:00p,Memphis Grizzlies,101,Brooklyn Nets,91,Memphis Grizzlies,"16,013"
"Sat, Oct 31, 2015",10:00p,Portland Trail Blazers,90,Phoenix Suns,101,Phoenix Suns,"17,906"
"Sat, Oct 31, 2015",10:30p,Los Angeles Clippers,114,Sacramento Kings,109,Los Angeles Clippers,"19,060"
"Sun, Nov 1, 2015",2:00p,Charlotte Hornets,92,Atlanta Hawks,94,Atlanta Hawks,"18,691"
"Sun, Nov 1, 2015",3:30p,Boston Celtics,87,San Antonio Spurs,95,San Antonio Spurs,"17,461"
"Sun, Nov 1, 2015",6:00p,Miami Heat,109,Houston Rockets,89,Miami Heat,"19,600"
"Sun, Nov 1, 2015",6:00p,Toronto Raptors,106,Milwaukee Bucks,87,Toronto Raptors,"19,800"
